projektname;kurzzusammenfassung;art;einsatzbereich;status;organisation;webseite_link;quelle;lizenz;lizenz_organisation
ACTIVATE bei Diabetes;;['Digitale Plattformen'];['Gesundheit'];Unbekannt;CITRIS Health, USA;;https://pubmed.ncbi.nlm.nih.gov/37201542/;CC-BY 4.84;https://civic-data.de/
ADIS;ADIS basiert auf schiffsgestützten Kameras und künstlicher Intelligenz. In der Sondierungsphase des Projekts wurden über 10 Millionen (20 TB) Offshore-Bilder mit GPS-fähigen Action-Kameras im Außenbereich gesammelt. Es wurde ein Algorithmus zur Objekterkennung mittels künstlicher Intelligenz entwickelt, der die Bilder automatisch nach treibenden Makroplastik-Teilen scannt. Alle Objekterkennungen werden von einem Team von Freiwilligen auf falsch-positive Ergebnisse gefiltert, bevor sie zu georeferenzierten numerischen Dichtedaten aggregiert werden. In dieser Sitzung werden Ergebnisse aus den Sondierungsdaten sowie künftige Entwicklungspläne vorgestellt. Bei einer Hochskalierung hat ADIS das Potenzial, eine kontinuierlichere und globalere Datenbank für Makroplastik-Konzentrationen (>50 cm) an der Meeresoberfläche bereitzustellen.;['Datenreporting', 'Karten & Verzeichnisse', 'Künstliche Intelligenz', 'Wirkungsmessung'];['Klima & Umwelt'];Unbekannt;The Ocean Cleanup Projects B.V.;https://theoceancleanup.com/updates/using-artificial-intelligence-to-monitor-plastic-density-in-the-ocean/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AI Assist Vision;Wir planen eine innovative App, die mittels KI blinden und sehbehinderten Menschen im Alltag helfen soll. Mit Hilfe von Bilderkennung und Sprachsteuerung unterstützt sie alltägliche Aufgaben und ermöglicht so Betroffenen mehr Selbstständigkeit und Teilhabe im täglichen Leben.;['Künstliche Intelligenz', 'Open-Source-Software'];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ai-assist-vision/955;https://www.civic-coding.de/community/projekt/ai-assist-vision/955;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI Freitagsschule;Wir möchten das sehr gefragte Konzept der Freitagsschule bei unserem Verein Bildung für alle e.V. zur Unterstützung von Azubis beim Ausbau ihrer Sprachkompetenz und Bildungsteilhabe an Berufs- und Gewerbeschulen auf ein digitales next level heben.;['Fortbildung'];['Anti Dismkriminierung', 'Arbeit & Soziales', 'Bildung', 'Flucht & Migration', 'Soziale Dienste'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/ai-freitagsschule/1364;https://www.civic-coding.de/community/projekt/ai-freitagsschule/1364;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI for Reporters;Ein KI-gestützter digitaler Nachrichtendienst, der automatisch Nachrichtenartikel, Entwürfe und zugehörige Medieninhalte aus strukturierten legislativen Informationsquellen generieren kann.;['Datenanalyse', 'Datenerhebung', 'Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen', 'Öffentliche Daten'];['Anti Dismkriminierung', 'Inklusion & Teilhabe', 'Internationale Projekte', 'Klima & Umwelt', 'Organisation & Professionalisierung'];Unbekannt;Institute for Advanced Technology and Public Policy, California Polytechnic State University;https://iatpp.calpoly.edu/initiatives;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AI for addressing urban inequality;Urban inequality is a critical issue for Western societies: unequal distributions of income within cities has negative impact on well-being, segregation, and individual development. We develop a new, highly granular mapping of urban inequality through AI to support policy-makers.;['Datenanalyse', 'Künstliche Intelligenz'];['Anti Dismkriminierung', 'Inklusion & Teilhabe', 'Soziale Dienste', 'Stadtentwicklung'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ai-for-addressing-urban-inequality/564;https://www.civic-coding.de/community/projekt/ai-for-addressing-urban-inequality/564;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI on the Fly;„Gemeinwohlorientierte und innovative KI-Anwendungen“ müssen eine breite Öffentlichkeit erreichen. Sie müssen attraktiv sein, Rezipienten faszinieren und sich viral verbreiten. Im „Fliegenden Klassenzimmer“, der IL 18 in Erfurt, werden KI-Varianten erlebt und gemeinsam ausgebaut.;['Datenerhebung', 'Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen'];['Bildung', 'Inklusion & Teilhabe', 'Jugendhilfe', 'Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-innovation.de/wettbewerb/praemierte-ideen/runde-2/ai-on-the-fly;https://www.civic-innovation.de/wettbewerb/praemierte-ideen/runde-2/ai-on-the-fly;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI playground as a service;Allow visitors to experience a collection of existing AI models in practice, but letting them submit their data and seeing when models do and do not work.;['Datenanalyse', 'Künstliche Intelligenz', 'Webanwendungen'];['Arbeit & Soziales'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/ai-playground-as-a-service/336;https://www.civic-coding.de/community/projekt/ai-playground-as-a-service/336;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI-Academy;Die AI Akademie stellt eine interaktive Webseite dar, die einen Self-Service-Bereich für unterschiedliche Zielgruppen bietet. Dieser Guide ist darauf ausgerichtet, Nutzern zu assistieren, KI-Lösungen zu identifizieren, die den Anforderungen der EU AI-Act entsprechen.;['Datenanwendung für Öffentlichkeit', 'Open-Source-Software', 'Wissensorganisation'];['Arbeit & Soziales', 'Bildung'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ai-academy/991;https://www.civic-coding.de/community/projekt/ai-academy/991;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI-Chatbot for political discourse;Es wurde ein KI-Chat-Assistent entwickelt, der als skalierbarer Echtzeit-Moderator in spaltenden politischen Gesprächen fungiert. Der Assistent macht maßgeschneiderte Vorschläge zur Umformulierung spezifischer Texte im Verlauf einer Live-Online-Diskussion, ohne den politischen Inhalt oder die eingenommene Position in den Nachrichten grundlegend zu beeinflussen.;[];[];In Betrieb;Brigham Young University, Duke University, University of Washington;https://www.pnas.org/doi/full/10.1073/pnas.2311627120;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AI.CAN - AI. Citizen Science Aqua Network;Bürger-Wasser-KI: wir wollen mit Sensor-Boxen Wasserqualitätsdaten sammeln und auswerten. Dafür vernetzen wir uns mit Organisationen und Institutionen entlang der gesamten Oder. Problemstellung: Es existiert kein grenzübergreifendes System zur Verbesserung der Gewässerökologie!;['Datenanalyse', 'Künstliche Intelligenz', 'Open-Source-Software'];['Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/aican-ai-citizen-science-aqua-network/969;https://www.civic-coding.de/community/projekt/aican-ai-citizen-science-aqua-network/969;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI2 Climate Modeling;Es wird Open-Source-Software entwickelt, damit die breitere Klimamodellierungsgemeinschaft diese Fortschritte leicht übernehmen kann. Die Partnerschaft mit dem GFDL stellt sicher, dass die Arbeit auf dessen wertvoller Erfahrung aufbaut und schnellstmögliche Wirkung erzielt. Diese Zusammenarbeit bringt die Innovation des Teams mit der Klimamodellierungserfahrung und den Rechenressourcen des GFDL zusammen, um schnellere Effekte zu erzielen, die als Vorbild für andere Klimamodellierungszentren dienen können.;['Datenanalyse', 'Künstliche Intelligenz'];['Klima & Umwelt'];Unbekannt;Allen Institute for Artificial Intelligence;https://allenai.org/climate-modeling;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AI2destination - KI-basiertes System für stationäres Bettenmanagement und Krankenhausverlegungen;Es soll ein intelligentes Be- und Verlegungsmanagementsystem an der Schnittstelle zwischen Rettungsdienst und Krankenhaus entwickelt werden, das bei Sekundäreinsätzen und Großschadenslagen durch Vorschläge geeigneter Transportmittel und Zielkliniken unterstützt.;['Automatisierung', 'Datenanalyse', 'Künstliche Intelligenz'];['Gesundheit'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ai2destination-ki-basiertes-system-fur-stationaeres-bettenmanagement-und-krankenhausverlegungen/842;https://www.civic-coding.de/community/projekt/ai2destination-ki-basiertes-system-fur-stationaeres-bettenmanagement-und-krankenhausverlegungen/842;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI4Biodiv;Es sollen KI-Methoden und -Technologien entwickelt werden, die eine effiziente, schnelle und automatisierte Überwachung der biologischen Vielfalt in verschiedenen Lebensräumen und Landschaften ermöglichen, um die Entwicklung von Ökosystemen, Artengemeinschaften und Populationen zu verfolgen und die Ursachen von Veränderungen zu analysieren.;['Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen', 'Wirkungsmessung'];['Klima & Umwelt'];In Betrieb;Uni Ilmenau;https://www.tu-ilmenau.de/unionline/forschung/details/wir-brauchen-ki-zum-erhalt-der-biodiversitaet-1143;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AI4Grids;AI4Grids zielt darauf ab, Generatoren und Verbraucher der Energiewende effizient in Stromnetze zu integrieren, indem KI-basierte Algorithmen für intelligentes Netzmanagement und die Betriebsführung von Stromnetzen entwickelt werden. Dies soll eine bessere Synchronisierung von Energiemengen und Netzkapazitäten ermöglichen.;['Automatisierung', 'Bildverarbeitung', 'Künstliche Intelligenz', 'Virtuelle Assistenz'];['Klima & Umwelt'];Im Testbetrieb;HTWG-Konstanz;https://www.htwg-konstanz.de/hochschule/projekte/ai4grids/;https://publicinterest.ai/tool/map/project/ai4grids;CC-BY 4.0;https://publicinterest.ai/
AI4HumanRights - Technologiegetriebene Lösungen zum Schutz der Menschenrechte;AI4HumanRights (AI4HR) empowert Personen und Organisationen, die Menschenrechte schützen durch einfach bedienbare, technologiebasierte Lösungen. AI4HumanRights Lösungen vereinfachen die Identifikation, Dokumentation und Verfolgung von Menschenrechtsverletzungen weltweit.;['Datenanalyse', 'Künstliche Intelligenz', 'Open-Source-Software'];['Anti Dismkriminierung', 'Demokratie & Soziale Rechte', 'Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ai4humanrights-technologiegetriebene-loesungen-zum-schutz-der-menschenrechte/1098;https://www.civic-coding.de/community/projekt/ai4humanrights-technologiegetriebene-loesungen-zum-schutz-der-menschenrechte/1098;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AI4grids;KI-basierte Planung und Betriebsführung von Verteilnetzen und Microgrids zur Optimierung der Integration erneuerbarer Erzeuger und schwankender Lasten im Rahmen der Energiewende.;['Automatisierung', 'Datenanalyse', 'Wirkungsmessung'];['Klima & Umwelt', 'Stadtentwicklung'];Unbekannt;Zukunft – Umwelt – Gesellschaft (ZUG) gGmbH;https://www.htwg-konstanz.de/hochschule/projekte/ai4grids/ueber-ai4grids/;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AIR – AI-basierter Recommender für nachhaltigen Tourismus;Das Projekt AIR entwickelt KI-basierte Verfahren für ein nachhaltigeres Tourismusmanagement, indem es Besucherströme ausgleicht. Ziel ist es, die temporäre Überlastung von Reisezielen durch gezielte Besucherinformationen zu vermeiden und passende Alternativen aufzuzeigen.;['Datenanalyse', 'Digitale Plattformen', 'Recomender System', 'Virtuelle Assistenz', 'Wirkungsmessung'];['Klima & Umwelt', 'Stadtentwicklung'];In Betrieb;PT Zukunft - Umwelt - Gesellschaft (ZUG) gGmbH, NIT in Kiel;https://air-tourism.de/en/home/, https://adhocracy.plus/air/;https://publicinterest.ai/tool/map/project/air-ai-basierter-recommender-fur-nachhaltigen-tourismus;CC-BY 4.0;https://publicinterest.ai/
AISUM;Das Projekt zielte darauf ab, eine Plattform für nachhaltige urbane Mobilität zu etablieren, in der Klimaschutz und Ressourceneffizienz strukturell verankert sind. Das Ergebnis war ein Prototyp.;['Datenmanagement', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Webanwendungen', 'Öffentliche Daten'];['Klima & Umwelt', 'Stadtentwicklung'];Unbekannt;HTW Berlin;https://www.htw-berlin.de/forschung/online-forschungskatalog/projekte/projekt/?eid=2913;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
AIceberg - eine wertebasierte KI-Lernassistenz;;[];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];Unbekannt;Decentrale;;https://www.decentrale.co/projekte-und-kooperationen/unsere-projekte/;CC-BY 4.77;https://civic-data.de/
AInsight;Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Wir wollen ein Browser-Plugin für ChatGPT implementieren, das die nutzende Person über dessen CO2-Emissionen aufklärt und somit ein Bewusstsein für Ressourcenverbräuche von KI schafft.;['Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen'];['Klima & Umwelt'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ainsight/1011;https://www.civic-coding.de/community/projekt/ainsight/1011;CC-BY-NC-ND 4.0;https://www.civic-coding.de
ANT-E: ANTISEMITISMUS ERKENNEN! Handy-App für junge Menschen zur Erkennung von Antisemitismus im Medienalltag;Entwicklung eines KI-basierten Tools, das junge Menschen bild- sprach- und gaming-basiert dazu befähigt, antisemitische Kommunikationsinhalte und -Muster durch einen Selbsttest zu erkennen, zu reflektieren und sich dagegen stark zu machen.;['Datenanwendung für Öffentlichkeit', 'Künstliche Intelligenz', 'Webanwendungen'];['Anti Dismkriminierung', 'Bildung', 'Demokratie & Soziale Rechte', 'Inklusion & Teilhabe', 'Organisation & Professionalisierung', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/ant-e-antisemitismus-erkennen-handy-app-fur-junge-menschen-zur-erkennung-von-antisemitismus-im-medienalltag/759;https://www.civic-coding.de/community/projekt/ant-e-antisemitismus-erkennen-handy-app-fur-junge-menschen-zur-erkennung-von-antisemitismus-im-medienalltag/759;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AQUA-KI;KI-basierte optische Methoden zum Nachweis von Mikroorganismen in aquatischen Ökosystemen.;['Datenanalyse', 'Künstliche Intelligenz'];['Klima & Umwelt'];Unbekannt;IGB Leibniz-Institut für Gewässerökologie und Binnenfischerei;https://www.igb-berlin.de/projekt/aqua-ki;https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx;CC-BY 4.0;https://publicinterest.ai/
ARS-Tool;Der Amtliche Regionalschlüssel (ARS) definiert eine eindeutige ID für jedes verwaltungspolitische Gebiet in Deutschland (Stadt, Gemeinde, Landkreis, Bundesland, etc.). Der ARS erweitert den Amtlichen …;['Webanwendungen'];['Stadtentwicklung'];In Betrieb;Code for Germany;https://opengovtech.de/ars/, https://github.com/codedust/ars-tool/;https://codefor.de/projekte/da-ars-tool/;CC-BY 4.0;https://codefor.de
ARTTEMIS;ARTTEMIS ist ein Assistent für den Büroalltag, er ist in der Lage Dokumentations- Such- und Kommunikationsaufgaben zu übernehmen. Mit Hilfe von KI und Big Data Analytics ist er in der Lage sich selbst und sein Umfeld laufend zu verbessern.;['Automatisierung', 'Datenanwendung für Öffentlichkeit', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Webanwendungen'];['Arbeit & Soziales', 'Gesundheit'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/arttemis/228;https://www.civic-coding.de/community/projekt/arttemis/228;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Abracadabra;Abracadabra ist ein interaktives Tool zum Erstellen von Angeboten, Kostenvoranschlägen und Verträgen bis zur Fertigstellung einer Rechnung. KI-basierte Starthilfe für Freiberufler. Optimiert für alle digitalen Berufe wie z.B. Designer, Entwickler, Übersetzer und Content Manager;['Datenanwendung für Öffentlichkeit', 'Künstliche Intelligenz', 'Webanwendungen'];['Anti Dismkriminierung', 'Arbeit & Soziales'];In Betrieb;Civic Coding;https://abracadabra.work;https://www.civic-coding.de/community/projekt/abracadabra/765;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Abschiebungen;2012 wurden in Deutschland 6919 Menschen auf dem Luftweg, 722 Menschen auf dem Landweg und 10 Menschen auf dem Seeweg abgeschoben. 3037 Menschen wurden in andere EU-Länder überstellt, darunter 456 …;['Datenanalyse', 'Datenmanagement', 'Datenreporting', 'Öffentliche Daten'];['Demokratie & Soziale Rechte', 'Flucht & Migration'];Unbekannt;OK Lab Berlin, Code for Germany;https://github.com/jochenklar/abschiebungen;https://codefor.de/projekte/abschiebungen/;CC-BY 4.0;https://codefor.de
Access Map;Little project that aims at raising awareness for accessibility in public transport systems. It uses a simple slider to visualize how the public transport system looks like if all the non-accessible …;['Datenreporting', 'Karten & Verzeichnisse', 'Open-Source-Software', 'Webanwendungen'];['Inklusion & Teilhabe', 'Stadtentwicklung'];Unbekannt;OK Lab Berlin, Code for Germany;http://arduina.github.io/access_map/;https://codefor.de/projekte/accessmap/;CC-BY 4.0;https://codefor.de
Accessful AI – der erste KI-basierte PDF Accessibility Agent;Accessful AI nutzt KI, um PDFs automatisiert zugänglicher zu machen. Unser Tool unterstützt Unternehmen dabei, Vorgaben wie BFSG und EAA effizient umzusetzen – und wichtige Dokumente inklusiv, verständlich und technisch zugänglich aufzubereiten.;['Automatisierung', 'Digitale Plattformen', 'Künstliche Intelligenz', 'Open-Source-Software'];['Bildung', 'Gesundheit', 'Inklusion & Teilhabe'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/accessful-ai-der-erste-ki-basierte-pdf-accessibility-agent/1279;https://www.civic-coding.de/community/projekt/accessful-ai-der-erste-ki-basierte-pdf-accessibility-agent/1279;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Actually Relevant - AI-powered news curation;Actually Relevant is an AI-powered news curation services that evaluates news based on how important they are for humanity and its long-term future. It features stories on a website, a newsletter, and a podcast.;['Digitale Plattformen', 'Open-Source-Software', 'Webanwendungen'];['Klima & Umwelt'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/actually-relevant-ai-powered-news-curation/1194;https://www.civic-coding.de/community/projekt/actually-relevant-ai-powered-news-curation/1194;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Addressing diverse learners' challenges by leveraging KI technologies;Learners from diverse cultural and linguistic backgrounds need adequate support in terms of emotional wellbeing and academic achievement at educational institutions. An AI agent helps universities and schools with fostering students' integration and supporting mental health.;['Datenanalyse'];['Anti Dismkriminierung', 'Bildung', 'Inklusion & Teilhabe', 'Soziale Dienste'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/addressing-diverse-learners-challenges-by-leveraging-ki-technologies/341;https://www.civic-coding.de/community/projekt/addressing-diverse-learners-challenges-by-leveraging-ki-technologies/341;CC-BY-NC-ND 4.0;https://www.civic-coding.de
Agorai | Update Democracy;Wir glauben, dass jeder Mensch im Herzen politisch ist. Mithilfe unserer App wollen wir Bürger*innen dazu befähigen, das Land aktiv zu gestalten sowie unkompliziert und unmittelbar ihre Interessen zu formulieren. Es wird höchste Zeit unserer Demokratie ein Update zu verpassen!;['Digitale Plattformen', 'Künstliche Intelligenz', 'Öffentliche Daten'];['Anti Dismkriminierung', 'Demokratie & Soziale Rechte', 'Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/agorai-update-democracy/440;https://www.civic-coding.de/community/projekt/agorai-update-democracy/440;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AiApply: Bewerbungsschreiben leicht gemacht;"Ein Bewerbungsprozess ist zeitaufwändig, voller Stolpersteine und in Zeiten von ""Robo-Recruitern"" schwieriger denn je. AiApply unterstützt den Bürger dabei, in Rekordzeit eine erfolgreiche Bewerbung zu erstellen - maßgeschneidert auf eine vorhandene Stellenausschreibung.";['Datenanalyse', 'Künstliche Intelligenz', 'Sprachtechnologie', 'Webanwendungen'];['Anti Dismkriminierung', 'Arbeit & Soziales', 'Inklusion & Teilhabe'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/aiapply-bewerbungsschreiben-leicht-gemacht/775;https://www.civic-coding.de/community/projekt/aiapply-bewerbungsschreiben-leicht-gemacht/775;CC-BY-NC-ND 4.0;https://www.civic-coding.de
AidMax;Suizid ist die häufigste Todesursache bei 15- bis 25-Jährigen, denn Therapie ist nur schwer verfügbar. AidMax löst das Problem als kostenfreier Chatbot für alle, der empathische Gespräche führt, dabei Notfälle erkennt und diese an professionelle Hilfsangebote weiterleitet.;['Datenreporting', 'Künstliche Intelligenz', 'Webanwendungen'];['Anti Dismkriminierung', 'Gesundheit', 'Inklusion & Teilhabe', 'Jugendhilfe', 'Soziale Dienste'];In Betrieb;Civic Coding;https://aidmax.org;https://www.civic-coding.de/community/projekt/aidmax/1405;CC-BY-NC-ND 4.0;https://www.civic-coding.de
