Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Status;Kurzzusammenfassung;Organisation;Projekt-Abkürzung
https://citylab-berlin.org/de/projects/hilf-mir-berlin/;Hilf-Mir.Berlin;Digitale Plattform, Interaktive Karte, Datenanwendung für Öffentlichkeit, Verzeichnis / Karte;Mentale Gesundheit, Beratung, Gesundheit, Soziale Arbeit, Stadt;https://www.hilf-mir.berlin;In Weiterentwicklung;Hilf-Mir.Berlin ist ein digitaler Wegweiser, der psychologische Beratungsangebote in Berlin übersichtlich zusammenfasst. Die Plattform ermöglicht Hilfesuchenden, mit wenigen Klicks und Filteroptionen schnell passende Unterstützung zu finden.;CityLAB Berlin, Senatsverwaltung für Wissenschaft, Gesundheit und Pflege, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/talking-treebot/;Talking Treebot;KI Anwendung, Interaktive App, Datenanalyse, Datenerhebung, Monitoring;Umwelt, Umweltschutz, Stadt, Partizipation, Klima;https://citylab-berlin.org/de/projects/talking-treebot/;In Weiterentwicklung;Der Talking Treebot ist eine mobile Chatbox, die Berliner Stadtbäumen mittels Künstlicher Intelligenz und Umweltsensoren eine Stimme gibt. Ziel ist es, Nutzer:innen in einen Dialog mit der Umwelt zu bringen und Bewusstsein für die Bedeutung und Gefährdung von Bäumen zu schaffen.;CityLAB Berlin, Technologiestiftung Berlin, Regierender Bürgermeister Berlin;
https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;Bürgeramt der Zukunft;Datenerhebung, Datenanalyse, Umfrage, Digitale Plattform, Prozessautomatisierung, Monitoring, Entscheidungsassistent, Skalierung der Wirkungsmessung;Verwaltung, Stadt, Digitalisierung, Teilhabe, Wirkungsmessung;https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;In Weiterentwicklung;"Das Projekt ""Bürgeramt der Zukunft"" zielt darauf ab, die Abläufe in Berliner Bürgerämtern nutzerorientierter und effizienter zu gestalten. Durch eine Tagebuchstudie, Shadowing und die Entwicklung eines Check-In-Systems sollen Wartezeiten reduziert und die Terminvergabe verbessert werden, wobei die Integration in bestehende IT-Infrastrukturen geprüft wird.";Ausbildungsbürgeramt Friedrichshain-Kreuzberg, IT-Dienstleistungszentrum (ITDZ), CityLAB Berlin, Senatsverwaltung für Inneres, Digitalisierung und Sport, Bundesministerium des Innern und für Heimat, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Roadshow;Vernetzungsassistent, Beratung, Wissensmanagement, Prozessautomatisierung, Dokumentations- und Netzwerktool;Verwaltung, Stadt, Partizipation, Teilhabe, Mentoring, Wissensmanagement;https://citylab-berlin.org/de/projects/citylab-roadshow/;In Weiterentwicklung;Die CityLAB Roadshow besucht Berliner Verwaltungen, um über Verwaltungsinnovationen zu informieren, den Austausch zu fördern und Mitarbeitende in digitalen Arbeitsweisen zu coachen. Ziel ist es, Herausforderungen der Digitalisierung zu verstehen und gemeinsame Projekte anzustoßen.;CityLAB Berlin, Technologiestiftung Berlin, Der Regierende Bürgermeister von Berlin;
https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;Berliner EnergieCheckpoint;Interaktive Karte, Visualisierung mit Karten, Datenanalyse, Offene Daten, Monitoring;Energie, Nachhaltigkeit, Umweltschutz, Stadt, Transparenz, Offene Daten;https://energiecheckpoint.odis-berlin.de;In Betrieb;Der Berliner EnergieCheckpoint ist eine interaktive Webkarte, die Daten zum Energieverbrauch und zu Energieeinsparungen öffentlicher Gebäude in Berlin visualisiert. Ziel ist es, Aufmerksamkeit für das Energiewendegesetz und Energieeinsparung zu schaffen und die Datenlage zu verbessern.;Open Data Informationsstelle (ODIS), CityLAB Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/smart_city/;Gemeinsam Digital: Berlin;Dokumentations- und Netzwerktool, Wissensmanagement, Beratung, Community Building, Reporting, Evaluation, Prozessbegleitung, Skalierung der Wirkungsmessung;Smart City, Stadtentwicklung, Nachhaltigkeit, Partizipation, Verwaltung, Wirkungsmessung, Demokratie, Wissensmanagement;https://gemeinsamdigital.berlin.de/de/, https://gemeinsamdigital.berlin.de/de/handbuch/;In Weiterentwicklung;"Das Projekt unterstützt die Senatskanzlei Berlin bei der Umsetzung der Smart City Strategie ""Gemeinsam Digital: Berlin"" durch methodische und fachliche Expertise sowie Community Building. Es fördert Partizipation, Wissensaustausch und die kontinuierliche Weiterentwicklung der Strategie.";CityLAB Berlin, Senatskanzlei Berlin, Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen (BMWSB), KfW, Berlin Partner, Politics4Tomorrow;GD:B
https://citylab-berlin.org/de/projects/ki-zum-anfassen-unsere-interaktiven-exponate/;KI zum Anfassen – Unsere interaktiven Exponate;KI Anwendung, Interaktive App, Generative KI, Large Language Model (LLM), Chatbot, Visualisierung, Ausstellung, Datenanwendung für Öffentlichkeit;KI, Verwaltung, Zivilgesellschaft, Stadt, Stadtplanung, Nachhaltigkeit, Partizipation;https://citylab-berlin.org/de/projects/ki-zum-anfassen-unsere-interaktiven-exponate/, https://ki-portrait.citylab-berlin.org/;In Betrieb;Das Projekt „KI zum Anfassen“ präsentiert vier interaktive KI-Experimente, die Künstliche Intelligenz für Verwaltung und Zivilgesellschaft zugänglich und erfahrbar machen sollen. Es umfasst einen Chatbot, Ideenwürfel und ein KI-Kunst-Tool, die spielerisch die Potenziale von KI aufzeigen.;CityLAB Berlin, Technologiestiftung Berlin, Regierender Bürgermeister Berlin;
https://citylab-berlin.org/de/projects/labcamp/;LabCamp;Vernetzungsassistent, Dokumentations- und Netzwerktool, Wissensmanagement;Demokratie, Partizipation, Transparenz, Verwaltung, Wissensmanagement, Stadt, International;https://citylab-berlin.org/de/projects/labcamp/, https://www.notion.so/politicsfortomorrow/LabCamp-Vernetzungstreffen-ffentlicher-Innovationslabore-344f776f4ddd46f8b20dfe93f8e29a4f;In Betrieb;Das LabCamp ist ein regelmäßiges Netzwerktreffen für öffentliche Innovationslabore, das den Austausch von Praktiker:innen fördert und gute Ansätze im Bereich gemeinwohlorientierter Digitalisierung sichtbar macht. Ziel ist es, eine Community of Practice zu schaffen und voneinander zu lernen.;CityLAB Berlin, Politics for Tomorrow;
https://citylab-berlin.org/de/projects/summerschool/;Summer School;Prototyping, Datenanalyse, Datenerhebung, Digitale Plattform, Entscheidungsassistent, Veranstaltung, Wissensmanagement, Hackathon;Stadtplanung, Stadtentwicklung, Digitalisierung, Migration, Integration, Gesundheit, Umwelt, Nachhaltigkeit, Verwaltung, Partizipation, Mobilität, Wohnen, Offene Daten;https://citylab-berlin.org/de/projects/summerschool/;In Weiterentwicklung;Die Summer School des CityLAB Berlin ist ein jährliches, interdisziplinäres Programm, das Studierende und Praxispartner zusammenbringt, um innovative Prototypen und Lösungen für urbane Herausforderungen mit neuen Technologien und datenbasierten Ansätzen zu entwickeln.;CityLAB Berlin, Technologiestiftung Berlin, HTW Berlin, HWR Berlin, TU Berlin;
https://citylab-berlin.org/de/projects/berliner-weihnachtsmarkt-finder/;Berliner Weihnachtsmarkt-Finder;Interaktive Karte, Datenanwendung für Öffentlichkeit, Visualisierung mit Karten, Offene Daten;Stadt, Offene Daten, Transparenz, Partizipation;https://weihnachtsmaerkte.odis-berlin.de/?id=;In Weiterentwicklung;Der Berliner Weihnachtsmarkt-Finder ist eine interaktive Karte, die eine umfassende Übersicht über Weihnachtsmärkte in Berlin bietet, basierend auf offenen Daten der Senatsverwaltung für Wirtschaft, Energie und Betriebe. Nutzer können Informationen filtern und sich anzeigen lassen, um ihren Besuch zu planen.;Open Data Informationsstelle (ODIS), CityLAB Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/digitalwerkstatt/;Digitalwerkstatt Verwaltung;Datenerhebung, Datenanalyse, Interaktiver Fragebogen, Partizipation;Verwaltung, Partizipation, Demokratie, Stadt;https://citylab-berlin.org/de/projects/digitalwerkstatt/;In Weiterentwicklung;Die Digitalwerkstatt Verwaltung organisiert Workshops, um gemeinsam mit Bürger:innen Online-Verwaltungsformulare zu testen und zu verbessern. Ziel ist es, die Akzeptanz und Nutzerfreundlichkeit von Online-Angeboten der Verwaltung zu erhöhen, indem die Erkenntnisse in zukünftige Formulargestaltungen einfließen.;CityLAB Berlin, Senatsverwaltung für Inneres und Sport, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/werkstatt-im-citylab/;Werkstatt im CityLAB;Datenanalyse, Datenerhebung, Digitale Plattform, Dokumentations- und Netzwerktool, Partizipation;Stadt, Stadtplanung, Partizipation, Wissensmanagement, Demokratie;https://citylab-berlin.org/de/projects/werkstatt-im-citylab/;In Betrieb;Die Werkstatt im CityLAB ist ein Raum für Experimente mit Methoden der Elektrotechnik und Informatik, die sich auf aktuelle digitale Stadtthemen beziehen. Sie bietet offene Werkstattnachmittage und Workshops an, um Stadtbürger:innen zur Gestaltung der Stadtzukunft zu befähigen und frei lizenzierte Bildungsmaterialien zu erstellen.;Technologiestiftung Berlin, CityLAB Berlin;
https://citylab-berlin.org/de/projects/hacking-box-goes-citylab/;Hacking Box goes CityLAB Berlin;Digitale Plattform, Datenanwendung für Öffentlichkeit, Vernetzung;Bildung, Partizipation, Stadt, Wissensmanagement;https://www.technologiestiftung-berlin.de/projekte/hacking-box;In Betrieb;Die Technologiestiftung Berlin verleiht Hardwareboxen für Schulprojekte, Workshops und Hackathons, um den kreativen und selbstbestimmten Umgang mit digitaler Hardware zu fördern. Das Angebot wurde ins CityLAB Berlin verlegt, um die Community vor Ort zu unterstützen.;Technologiestiftung Berlin, CityLAB Berlin;
https://citylab-berlin.org/de/projects/digitalvereint/;Digital Vereint;Digitale Plattform, Vernetzungsassistent, Wissensmanagement, Workshop-Angebot;Ehrenamt, Zivilgesellschaft, Partizipation, Wissensmanagement, Vernetzung;https://digital-vereint.berlin/de;Eingestellt;Digital Vereint war eine Plattform, die Berliner Ehrenamtliche mit digitalen Tools, Informationen und Anregungen unterstützte, um ihre Arbeit effizienter zu gestalten. Es bot Zugang zu offener Software, Datenschutzhinweise und die Möglichkeit zur Anmeldung für Workshops.;CityLAB Berlin, MOTIF – Institute for digital Culture;
https://citylab-berlin.org/de/projects/qtrees/;Quantified Trees: Intelligente Bewässerungsvorhersage für Stadtbäume;KI Anwendung, Datenanalyse, Vorhersage, Digitale Plattform, Interaktive App, Visualisierung mit Karten, Datensatz und Visualisierung, Datenerhebung, Datenanwendung für Öffentlichkeit;Umweltschutz, Klimawandel, Stadt, Nachhaltigkeit, Verwaltung;https://baumblick.qtrees.ai;Eingestellt;Das Projekt Quantified Trees (Qtrees) entwickelte ein KI-gestütztes Vorhersagesystem, um von Trockenheit gefährdete Stadtbäume frühzeitig zu identifizieren und dem Baumsterben entgegenzuwirken. Die daraus entstandene Web-Anwendung Baumblick visualisiert den Zustand und die Wasserversorgung von Stadtbäumen in Berlin und ermöglicht die Bürgerbeteiligung.;Technologiestiftung Berlin, Birds on Mars GmbH, Straßen- und Grünflächenamt Mitte Berlin, Bundesministerium für Umwelt, Naturschutz und nukleare Sicherheit, Zukunft für Internet und Gesellschaft;Qtrees
https://citylab-berlin.org/de/projects/afs-dashboard/;Verwaltungsdashboard;Dashboard, Datenanalyse, Interne Datenanwendung, Reporting;Verwaltung, Transparenz, Offene Daten;https://www.berlin.de/rbmskzl/politik/verwaltungssteuerung/aktuelles/artikel.1097486.php;Eingestellt;Das Projekt unterstützte die Konzeption einer zentralen Dashboardlösung für die Berliner Verwaltung. Ziel war es, Daten leichter darzustellen, zugänglich zu machen und die verwaltungsübergreifende Zusammenarbeit zu erleichtern.;Amt für Statistik, Senatskanzlei, Senatsverwaltung für Inneres und Sport, CityLAB Berlin;
https://citylab-berlin.org/de/projects/stadtpuls/;Stadtpuls – Deine Sensoren erklären Berlin;Digitale Plattform, Offene Daten, Datenerhebung, Datenanalyse, Visualisierung, Monitoring, Datenanwendung für Öffentlichkeit, Datensatz und Visualisierung;Stadt, Umwelt, Umweltschutz, Partizipation, Offene Daten, Transparenz, Bildung, Verwaltung;http://www.stadtpuls.com, https://stories.stadtpuls.com/wrangelkiez, https://stories.stadtpuls.com/wenn-dies-dann-das;Eingestellt;Stadtpuls ist eine offene IoT-Datenplattform, die es ermöglicht, Sensordaten zu erfassen, zu visualisieren und bereitzustellen, um städtische Umweltphänomene zu erklären. Sie richtet sich an die Zivilgesellschaft, um Citizen Science und datenbasierten Journalismus zu fördern.;CityLAB Berlin, Technologiestiftung Berlin;Stadtpuls
https://citylab-berlin.org/de/projects/pixelwelt/;Pixelwelt;Digitale Plattform, Interaktive Karte, Vernetzungsassistent;Partizipation, Vernetzung;https://play.workadventu.re/_/global/technologiestiftung.github.io/pixelwelt/map.json;Eingestellt;Die Pixelwelt ist ein digitales 2D-Modell des CityLAB, das für virtuelle Veranstaltungen entwickelt wurde. Es ermöglicht Besucher:innen, den Arbeitsplatz spielerisch zu erkunden und spontane soziale Interaktionen durch Videochats zu ermöglichen.;CityLAB Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/prototypenwerkstatt/;Prototypenwerkstatt;Prozessautomatisierung, Digitale Plattform, Interne Datenanwendung, Datensatz und Visualisierung;Senioren, Verwaltung, Stadt;https://citylab-berlin.org/de/projects/prototypenwerkstatt/;Eingestellt;Das Projekt Prototypenwerkstatt entwickelte prototypische digitale Lösungen zur Ablösung von IT-Kleinstverfahren in der Verwaltung. Als Pilotprojekt wurde die Optimierung der Gratulations- und Jubilarsdatenbanken der Berliner Bezirke durchgeführt.;CityLAB Berlin, IT-Dienstleistungszentrum (ITDZ), Senatsverwaltung für Integration, Arbeit und Soziales (SenIAS);
https://citylab-berlin.org/de/projects/prozessanalyse-radinfrastruktur-pari/;Prozessanalyse Radinfrastruktur;Datenanalyse, Prozessautomatisierung;Stadtplanung, Umweltschutz, Nachhaltigkeit, Verwaltung, Transparenz;https://citylab-berlin.org/de/projects/prozessanalyse-radinfrastruktur-pari/;Eingestellt;Das Projekt analysierte Prozesse und Verfahren der Berliner Radinfrastruktur, um deren Gestaltung zu beschleunigen und transparenter zu machen. Ziel war es, auf Basis des Berliner Mobilitätsgesetzes den Bau neuer Radwege effizienter umzusetzen.;CityLAB Berlin, verschiedene Verwaltungen, Technologiestiftung Berlin;PARI
https://citylab-berlin.org/de/projects/digitale-tools-fuer-radwegeplanung/;FixMyBerlin – Digitale Tools für Radwegeplanung;Digitale Plattform, Karte, Datenanalyse, Partizipation, Umfrage, Datenerhebung;Stadtplanung, Partizipation, Verwaltung, Stadt;https://fixmyberlin.de, https://www.meetup.com/de-DE/Datacycle-Meetup-Fahrraddaten-fur-Berlin/;Eingestellt;FixMyBerlin entwickelte digitale Werkzeuge zur datenbasierten Radverkehrsplanung in Berlin. Das Projekt schuf eine Grundlage für den Dialog zwischen Verwaltung und Bürgern und entwickelte Partizipationsformate.;CityLAB Berlin, Technologiestiftung Berlin;FixMyBerlin
https://citylab-berlin.org/de/projects/schatten/;Berliner Erfrischungskarte;Visualisierung mit Karten, Offene Daten, Datenanalyse, Karte;Klimaanpassung, Umweltschutz, Gesundheit, Stadt, Offene Daten;https://erfrischungskarte.odis-berlin.de;Eingestellt;Die Berliner Erfrischungskarte ist eine Webkarte, die Temperaturverhältnisse, Kaltluftverhältnisse und Schattenbereiche im Berliner Stadtgebiet visualisiert. Sie basiert auf Open Data und soll Bürgern helfen, erfrischende Orte an heißen Tagen zu finden und klimatische Unterschiede in der Stadt zu verstehen.;Open Data Informationsstelle (ODIS), CityLAB Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/clair/;Clair Berlin;Datenerhebung, Datenanalyse, Digitale Plattform, Monitoring, Offene Daten, Datensatz und Visualisierung;Gesundheit, Stadt, Umweltschutz, Transparenz;https://clair-berlin.de/;Eingestellt;Clair Berlin war eine gemeinwohlorientierte Initiative zur Messung der Luftqualität in öffentlichen Räumen. Sie stellte eine Open Source-Plattform zur Verfügung, um Betreiber:innen von öffentlichen Räumen, insbesondere während der Pandemie, bei der Einhaltung der Hygieneregeln zu unterstützen.;HTW Berlin, CityLAB Berlin, Technologiestiftung Berlin;Clair
https://citylab-berlin.org/de/projects/aiforberlin/;AI for Berlin;KI Anwendung;Stadt, KI;https://citylab-berlin.org/de/projects/aiforberlin/;Eingestellt;AI for Berlin war eine Workshopreihe, die das Potenzial von KI-Technologien in urbanen Räumen Berlins explorierte. Ziel war es, den Nutzen von KI in reale, nachhaltige Umsetzungsprojekte zu überführen und Prototypen zu entwickeln.;CityLAB Berlin, Technologiestiftung Berlin, Birds on Mars;
https://citylab-berlin.org/de/projects/bikesharing/;Shared Mobility Flows;Datenanalyse, Visualisierung mit Karten, Digitale Plattform, Datenstandards;Stadt, Stadtplanung, Verwaltung;https://bikesharing.citylab-berlin.org/;Eingestellt;Das Projekt Shared Mobility Flows entwickelte Datenstandards für Mobilitäts-Sharing-Anbieter und einen digitalen Prototypen, der Leihfahrradrouten auf einer Karte analysiert und visualisiert. Ziel war es, wertvolle Einsichten für die Verwaltung und Stadtplanung in Berlin zu liefern.;CityLAB Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/trafficcount/;Open Traffic Count;Analyse von Sensordaten und ML, Datenerhebung, Datenanalyse, Monitoring, Evaluierung;Verkehr, Stadt, Datenschutz;https://citylab-berlin.org/de/projects/trafficcount/;Eingestellt;Open Traffic Count war ein Projekt zur Evaluierung und zum Test von Systemen zur Verkehrszählung. Es hat ein Open Source-basiertes Zählsystem für Autos, Fahrräder und Fußgänger unter strengen Datenschutzvorgaben im Berliner Stadtgebiet eingesetzt.;Technologiestiftung Berlin, HTW Berlin, Reach Now;OpenTrafficCount
https://citylab-berlin.org/de/projects/districtprofiles/;Bezirksregionen digital;Interaktive App, Datenanalyse, Datensatz und Visualisierung, Bericht, Offene Daten;Stadt, Verwaltung, Offene Daten, Transparenz;https://bezirksregionenprofile-ts.netlify.app/;Eingestellt;Dieses Projekt entwickelte ein interaktives Tool, um die langen, unhandlichen PDF-Berichte zur sozio-ökonomischen Situation der Berliner Bezirksregionen zugänglicher zu machen und die zugrundeliegenden Daten für Weiterverwendungen bereitzustellen. Der Prototyp wurde mit realen Daten getestet, um die Gebrauchstauglichkeit zu prüfen.;CityLAB Berlin, Open Data Informationsstelle, Technologiestiftung Berlin, Bezirksamt Tempelhof-Schöneberg;
https://citylab-berlin.org/de/projects/stadtvisionen/;Algorithmische Stadtvisionen;KI Anwendung, Generative KI, Visualisierung;Stadtplanung, Stadt;https://citylab-berlin.org/de/projects/stadtvisionen/;Eingestellt;Das Projekt nutzte KI und maschinelles Lernen für Architektur und Stadtplanung. Ein neuronales Netz wurde trainiert, um fiktive Stadt-Entwürfe zu generieren und zu visualisieren.;CityLAB Berlin, Technologiestiftung Berlin, Birds on Mars;
https://citylab-berlin.org/de/projects/startupmapping/;Berlin Urban Tech-Datenbank;Datenerhebung, Datenanalyse, Datenbank, Digitale Plattform, Verzeichnis / Karte, Vernetzung;Stadt, Stadtplanung, Nachhaltigkeit, Verwaltung, Vernetzung, Wissensmanagement;https://citylab-berlin.org/de/projects/startupmapping/;Eingestellt;Das Projekt entwickelte eine Datenbank für Berliner Urban Tech und Smart City Start-ups, um der Berliner Verwaltung einen besseren Überblick zu verschaffen und die Vernetzung der Akteure zu verbessern.;Technologiestiftung Berlin, HTW Berlin, Urban Impact;
https://citylab-berlin.org/de/projects/prototype/;Prototype Your Future City!;Prototyping, Ideenentwicklung, Workshop;Stadt, Stadtplanung, Partizipation;https://citylab-berlin.org/de/projects/prototype/;Eingestellt;Studierende der HTW Berlin arbeiteten in interdisziplinären Workshops an persönlichen Ideen für das Berlin der Zukunft und setzten diese in Form von Prototypen um. Ziel war es, die Anwendung technischer Fähigkeiten zur Zukunftsgestaltung zu demonstrieren.;Technologiestiftung Berlin, HTW Berlin;
;;;;;;;;
