id,title,content,topic_label,location,address,links,topics,top3_matches
13,Wegweiser.UX-für-KI,"['Das Projekt ""Wegweiser.UX-für-<abbr title=""Künstliche Intelligenz"">KI</abbr>"" wird mittels einer Online-Lehrplattform mit Selbstlernmedien den aktuellen Forschungsstand und praxisnahes Wissen über User-Experience-Design für KI-Anwendungen an gemeinwohlorientierte Projekte vermitteln. Zielgruppen dieser Lehrinhalte sind UX-Quereinsteiger*innen, Programmierer*innen und Product Owner*innen aus dem gemeinwohlorientierten Sektor mit wenig UX-für-KI-Erfahrung, denen die Lehrplattform als Wegweiser dienen soll.']","Bildung, Gesellschaft und Engagement",{'label': 'Lübeck'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/wegweiserux-fuer-ki/13', 'name': 'Weitere Informationen'}]",,Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86); Automatisierte Fragebogenauswertung mit Generativer KI (86)
14,Comms4Good (C4G),"['Der Projektverbund, bestehend aus der <i>IU Internationale Hochschule</i>, dem Start-up <i>Producer Media UG</i> und der gemeinnützigen Aktiengesellschaft <i>Phineo</i>, entwickelt den <abbr title=""Künstliche Intelligenz"">KI</abbr>-basierten, virtuellen Assistenten <i>Comms4Good</i> zur Unterstützung der Öffentlichkeitsarbeit von sozialen und gemeinnützigen Organisationen. Dadurch soll auch Nicht-Expert*innen eine professionelle Öffentlichkeitsarbeit zu geringen Kosten ermöglicht werden.']",Arbeit und Soziales,{'label': 'Erfurt'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/comms4good-c4g/14', 'name': 'Weitere Informationen'}]",[{'label': 'Virtuelle Assistenten'}],Claim (45); codo - Das Datentool für Mentoringprojekte (43); OMoS - Online-Migrationsberatung ohne Sprachbarrieren (43)
15,KIkKa: Künstliche Intelligenz für klimaneutrale Kläranlagen,['Bei biologischen Abwasserreinigungen kann klimaschädliches Lachgas (N2O) freigesetzt werden. Mithilfe eines datengetriebenen Ansatzes sollen schnell und kostengünstig Regelstrategien an kommunalen und industriellen Belebungsbecken zur biologischen Abwasserreinigung etabliert werden.'],"Umwelt-, Klima- und Verbraucherschutz",{'label': 'Göppingen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kikka-kuenstliche-intelligenz-fuer-klimaneutrale-klaeranlagen/15', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Spracherkennung'}]",Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); R Wrapper für die KoboToolbox API (86); Webscraping Angebote für Wohnungslose (86)
16,KIWA,"['Das Projekt Kiwa hat das Ziel, Waldbrandgefahren früher zu erkennen und effektiver zu bekämpfen, indem Künstliche Intelligenz, Drohnen und Entscheidungsunterstützungssysteme kombiniert einsetzt. Spezielle Unmanned Aerial Vehicles, die <abbr title=""Künstliche Intelligenz"">KI</abbr>-basierte Computer-Vision-Anwendungen erlauben, sollen flächendeckend und ressourceneffizient bei der Frühdetektion von Gefahrenstellen Feuer und Rauch unterstützen. Ein Fokus liegt hierbei auf der Einbettung in bestehende Organisationsprozess-Ketten, um eine möglichst hohe Anwender*innen-Nähe zu schaffen.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'München'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kiwa/16', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Spracherkennung'}]",KI² (90); Disabled Railway (68); Kitafinder Flensburg (68)
17,NADIKI: Umweltindikatoren für digitale Infrastruktur & KI Anwendungen,"['Das Projekt NADIKI zielt darauf ab, die Umweltauswirkungen von Künstlicher Intelligenz (KI) transparent zu machen. Hierfür wird eine Schnittstelle entwickelt, die Echtzeitdaten über den Energieverbrauch, Ressourcennutzung und CO2-Ausstoß von KI-Anwendungen bereitstellt. Ziel ist es, Entwicklerinnen und Nutzerinnen für nachhaltigere Entscheidungen zu sensibilisieren, <abbr title=""zum Beispiel"">z. B.</abbr> durch die zeitliche oder örtliche Verschiebung von KI-Lernvorgängen. Dies trägt dazu bei, die Lücke zwischen physischer und digitaler Infrastruktur zu schließen.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Hamburg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/nadiki-umweltindikatoren-fuer-digitale-infrastruktur-ki-anwendungen/17', 'name': 'Weitere Informationen'}]",,Mithilfe von KI Wirkungsmessung skalieren (86); Auswertung einer Umfrage zu KI im Ehrenamt (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86)
18,TinyAIoT: Energie- und ressourceneffiziente künstliche Intelligenz für moderne IoT-Anwendungen,"['Das Projekt TinyAIoT hat das Ziel, den Ressourcenbedarf bestehender <abbr title=""Künstliche Intelligenz"">KI</abbr>-Verfahren für umweltbezogene <abbr title=""Internet of Things"">IoT</abbr>-Anwendungen zu reduzieren. Es basiert auf Mikrocontrollern, die mit verschiedenen Sensoren ausgestattet sind, um Umweltvariablen wie meteorologische Werte, Feinstaubbelastung und andere Parameter zu messen. Im Rahmen des Projektes sollen effiziente und energiesparende KI-Verfahren entwickelt werden, welche auf den Mikrocontrollern selbst für die Datensammlung und -analyse eingesetzt werden können.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Münster'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/tinyaiot-energie-und-ressourceneffiziente-kuenstliche-intelligenz-fuer-moderne-iot-anwendungen/18', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Automatisiertes Qualitätsmanagement für ein Mentoringprogramm (86); Open Data aus Bürger- und Jugendbeteiligungsprojekten (86)
19,AI.CAN: AI Citizen Science Aqua Network,"['Das Projekt soll der Verbesserung der Gewässerökologie dienen. Mithilfe von Sensor-Boxen werden Wasserqualitätsdaten durch Bürger*inneninitiativen, <abbr title=""Nicht-Regierungsorganisationen"">NGOs</abbr>, Umweltverbände und andere Akteur*innen gesammelt und mithilfe einer <abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendung ausgewertet. Dabei würden erstmalig offizielle und bürger*innenwissenschaftlich erhobene Wasserdaten zusammengebracht und verstetigt werden. Das Projekt ist an der Oder verortet und neben dem dort angelaufenen Odermonitoring mit dem IGB besteht eine Kooperation mit der re:edu (SenseBox). Es besteht grundsätzlich die Möglichkeit der Übertragbarkeit auf andere Gewässerkörper.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Kienitz'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/aican-ai-citizen-science-aqua-network/19', 'name': 'Weitere Informationen'}]","[{'label': 'Datenanalyse'}, {'label': 'Datenvisualisierung'}]",AI.CAN - AI. Citizen Science Aqua Network (98); Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform (86); Equitable AI: Prevent and mitigate gender bias in Early Warning Systems for school dropouts (86)
20,AI-Academy: KI-Guide für die Verwaltung,"['Das Team von „AI Academy“ will einen Guide entwickeln, der bei der Auswahl des passenden <abbr title=""Künstliche Intelligenz"">KI</abbr>-Tools in der Verwaltung unterstützt. Er soll Nutzer*innen ermöglichen, KI-Lösungen zu identifizieren, die den Anforderungen des AI Acts entsprechen. Darüber hinaus stellen Bewertungskriterien hinsichtlich Ressourceneffizienz und Diversität sicher, dass die ausgewählten Tools nicht nur leistungsfähig und effizient sind, sondern auch ethischen und rechtlichen Standards entsprechen.']","Bildung, Gesellschaft und Engagement",{'label': 'Hoppstädten-Weiersbach'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ai-academy/20', 'name': 'Weitere Informationen'}]",,AI-Academy (90); Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen (86); Automatisiertes Qualitätsmanagement für ein Mentoringprogramm (86)
21,SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen,"['Mittels Dropdown-Kameras und Tiefensonar dem Seegras in der Ostsee auf die Spur kommen: Wo sind bestehende Seegrasbestände und Potenzialflächen zur Wiederansiedlung in der Ostsee? Eine Open-Source-<abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendung kann zu einem effektiveren Schutz der Meeresumwelt beitragen.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Stralsund'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/seagrasswatch-kuesten-ki-fuer-den-schutz-von-seegraswiesen/21', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Datenanalyse'}]",SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen (100); Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen (86); Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI) (86)
22,RentenNavi,"['Immer mehr Menschen erreichen das Renteneintrittsalter, stehen aber vor der Herausforderung einen Überblick über das Thema zu gewinnen und die erforderlichen Unterlagen korrekt auszufüllen. Ein <abbr title=""Künstliche Intelligenz"">KI</abbr>-Assistent in einfacher Sprache soll hier unterstützend wirken.']",Arbeit und Soziales,{'label': 'Stuttgart'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/rentennavi/22', 'name': 'Weitere Informationen'}]","[{'label': 'Maschinelles Lernen (ML)'}, {'label': 'Data Science'}, {'label': 'Open Source'}, {'label': 'Mensch-Maschine-Interaktion'}]",RentenNavi (100); EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland. (66); Prototypenwerkstatt – Am Beispiel der Seniorendatenbank (63)
23,Reimagine Spaces,"['Wir finden durch Geodatenanalyse gelungene Beispiele für barrierefreie und nachhaltige Orte. Mit dem Training einer <abbr title=""Künstliche Intelligenz"">KI</abbr>-Anwendung werden Lösungen mit dem aktuellen Zustand des zu gestaltenden städtischen Raums verglichen und Optionen aufgezeigt.']","Bildung, Gesellschaft und Engagement",{'label': 'Bremen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/reimagine-spaces/23', 'name': 'Weitere Informationen'}]","[{'label': 'Large Language Models (LLM)'}, {'label': 'Maschinelles Lernen (ML)'}, {'label': 'Datenanalyse'}]",Reimagine Spaces (100); Inclusive Mobility: Public And Collaborative Trusted Spaces (86); Navigable knowledge spaces and personalised learning paths to approach global challenges with 21st century skills (86)
24,Wasser für den hohen Fläming – KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene,"['Im trockenen Gebiet des hohen Flämings in Deutschland entwickeln wir eine regionale <abbr title=""Künstliche Intelligenz"">KI</abbr>-gestützte Entscheidungshilfe für landschaftliche Maßnahmen zur Wasserrückhaltung und Waldbrandprävention. Unser Ziel ist es die Auswirkungen und Kosten ganzheitlich zu bewerten. Hiermit fördern wir auf Kooperation dieser Sektoren und schaffen neue Praxisbeispiele für die Anpassung an den Klimawandel.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Rabenstein/Fläming'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/wasser-fuer-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fuer-massnahmen-zu-wasserrueckhalt-auf-landschaftsebene/24', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene (100); Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86)
25,Aufbau GPT: Hilfestellung bei der Planung von inklusiven Spielplätzen,"['Das Projekt zielt darauf ab, einen <abbr title=""Künstliche Intelligenz"">KI</abbr>-basierten Ratgeber für inklusive Spielplatzplanung zu entwickeln, der Expert*innenwissen mit KI-Analysen kombiniert, um Empfehlungen für inklusive Spielplatzdesign zu bieten. Die KI zeigt vorhandenes Wissen auf, schlägt Planungs- und Lösungsansätze vor, erweitert bestehende Konzepte und berücksichtigt aktuelle Normen und Bedürfnisse aller Menschen.']","Bildung, Gesellschaft und Engagement",{'label': 'Westoverledingen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/aufbau-gpt-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/25', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Aufbau GPT als Hilfestellung bei der Planung von inklusiven Spielplätzen (98); Mithilfe von KI Wirkungsmessung skalieren (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86)
26,Claim	,"['Mit „Claim“ können Nutzer:innen anonymisiert herausfinden, auf welche staatlichen Förderungen sie Anspruch haben und sich dazu beraten lassen. Das <abbr title=""Künstliche Intelligenz"">KI</abbr>-Tool berechnet individuelle Ansprüche auf Basis eines einzigen Formulars – und erleichtert damit den Zugang zu staatlichen Hilfen.   \r\n\r\nAuch Sozialarbeiter:innen und Berater:innen können von der Anwendung profitieren, da diese Claim gemeinsam mit ihren Klient:innen durchgehen oder sie dorthin verweisen können und sich somit der Beratungsaufwand reduziert.']",Arbeit und Soziales,{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/claim/26', 'name': 'Weitere Informationen'}]","[{'label': 'Maschinelles Lernen (ML)'}, {'label': 'Natural Language Processing (NLP)'}]",Claim (100); Clair Berlin (80); Climate Argumentation Assistant (80)
27,"BAT, das Bewerbungs-Assistenz-Tool","['BAT ist ein Bewerbungs-Assistenz-Tool, das mithilfe von <abbr title=""Künstliche Intelligenz"">KI</abbr> Menschen aller Herkunft bei der Bewältigung schwieriger Bewerbungssituationen unterstützt. Durch KI-gestützte Trainingssimulationen und Transkription in die Muttersprache fördert BAT Chancengleichheit und bekämpft Diskriminierung im Bewerbungsprozess, zunächst mit Schwerpunkt auf Pflegeberufe.']",Arbeit und Soziales,{'label': 'Koblenz'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/der-into-the-job-power-coach-itjo-poc/27', 'name': 'Weitere Informationen'}]","[{'label': 'Spracherkennung'}, {'label': 'Text-to-Speech-Technologie (TTS)'}]",Dashboard für das Tracking von Websitezugriffszahlen (86); GLAICE - KI-basierte Assistenz für ein Leben mit Diabetes (86); Digital Vereint – mit digitalen Tools das Berliner Ehrenamt stärken (86)
28,StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung,"['Entwicklung eines digitalen Assistenten, der mithilfe von Sprachmodellen komplexe Behördeninformationen vereinfacht. Ziel ist das Überbrücken von Wissenslücken und der Abbau bürokratischer Hürden bei der Beantragung staatlicher Ansprüche durch Bürger*innen.']","Bildung, Gesellschaft und Engagement",{'label': 'Karlsruhe'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/staatklar-dein-digitaler-assistent-fuer-die-beantragung-von-staatlicher-unterstuetzung/28', 'name': 'Weitere Informationen'}]",[{'label': 'Large Language Models (LLM)'}],StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung (100); Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86)
29,helpme.ai,"['helpme.ai ist ein <abbr title=""Künstliche Intelligenz"">KI</abbr>-gestützter Chatbot, der die Lücke bei der Unterstützung von Asylbewerbern und Flüchtlingen schließt und sofortige, zentralisierte und personalisierte Hilfe bietet.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/helpmeai/29', 'name': 'Weitere Informationen'}]","[{'label': 'Maschinelles Lernen (ML)'}, {'label': 'Natural Language Processing (NLP)'}]",helpme.ai (100); AIR – AI-basierter Recommender für nachhaltigen Tourismus (86); Consequences of AI for Urban Societies (86)
