Index;Quelle;Projektname;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;Projekt-Abkürzung;Art;Einsatzbereich
16;https://www.civic-coding.de/community/projekt/dreammachine-ki-gestutzte-visionsentwicklung-im-dialog/1421;DREAMmachine — KI-gestützte Visionsentwicklung im Dialog;https://www.civic-coding.de/community/projekt/dreammachine-ki-gestutzte-visionsentwicklung-im-dialog/1421;Civic Coding;Unbekannt;Von der Einzelmeinung zur strategischen Erkenntnis. Die DREAMmachine macht Bürger:innen-Bedarfe durch KI-gestützte Visualisierung messbar und verständlich. Ein Civic-Tech-Ansatz für mehr Resonanz, höhere Engagement-Raten und datengestützte Entscheidungen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Plattform, Datenvisualisierung;Stadtplanung, Demokratie, Partizipation, Politische Bildung
17;https://www.civic-coding.de/community/projekt/reasonaide-assistenz-fur-diskursiven-austausch-im-alltag/1420;reasonAide - Assistenz für diskursiven Austausch im Alltag;https://www.civic-coding.de/community/projekt/reasonaide-assistenz-fur-diskursiven-austausch-im-alltag/1420;Civic Coding;Unbekannt;reasonAide überbrückt Alltagsgespräche und Online-Diskurse. Statt repetitiver Debatten ermöglicht reasonAide mit KI-Assistenz an ein strukturiertes Netz von Argumenten anzuknüpfen, Perspektiven zu verstehen und sich konstruktiv am öffentlichen Diskurs zu beteiligen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Interaktive Datenexploration, Web-App, Natural Language Processing, Knowledge Graph, Datenstandards, Plattform;Demokratie, Inklusion, Partizipation, KI, Gesellschaft
18;https://www.civic-coding.de/community/projekt/migstart-eine-plattform-fur-migrantinnen-fur-einen-schnellen-zugang-zum-dt-arbeitsmarkt-einfach-barrierearm/1419;MIGStart - eine Plattform für Migrant*innen für einen schnellen Zugang zum dt. Arbeitsmarkt - einfach & barrierearm;https://www.civic-coding.de/community/projekt/migstart-eine-plattform-fur-migrantinnen-fur-einen-schnellen-zugang-zum-dt-arbeitsmarkt-einfach-barrierearm/1419;Civic Coding;Unbekannt;MIGStart ist eine KI-gestützte Plattform, die Geflüchteten und Migrant*innen digital, niederschwellig und individuell den Einstieg in den deutschen Arbeitsmarkt erleichtert – mit Sprach- und Formularverarbeitung, Jobmatching und Netzwerkzugang für Talente und Unternehmen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;MIGStart;Plattform, KI Anwendung, Prozessautomatisierung;Arbeit, Migration, Inklusion, Integration, KI, Chancengleichheit
19;https://www.civic-coding.de/community/projekt/evidenceseeker-boilerplate/1418;EvidenceSeeker-Boilerplate;https://www.civic-coding.de/community/projekt/evidenceseeker-boilerplate/1418;Civic Coding;Laufend;EvidenceSeeker-Boilerplate ist ein Open Source Code Template mit dem Organisationen eigene KI basierte Political Tech Apps zum Fact-Checking unkompliziert auf Grundlage vorhandener Wissensdatenbanken aufzusetzen können.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Open Source, KI Anwendung, Plattform;Demokratie, Politische Bildung, KI, Datenanalyse, Transparenz, Medienaufsicht, Information Retrieval
20;https://www.civic-coding.de/community/projekt/resonance-spaces/1416;Resonance Spaces;https://www.civic-coding.de/community/projekt/resonance-spaces/1416;Civic Coding;Unbekannt;Resonance Spaces trainiert Menschen mittels KI in empathischer Kommunikation und Konfliktbewältigung. Unser Prototyp stärkt demokratische Teilhabe und macht Diskurse resilienter – für eine digitale Welt, in der auch Zuhören zählt.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Maschinelles Lernen, Large Language Model (LLM), Plattform, E-Learning, Open-Source, Datenanalyse, Datenvisualisierung;Gesundheit, Arbeit, Bildung, Demokratie, Soziale Arbeit, Inklusion, Klima
21;https://www.civic-coding.de/community/projekt/five-engagement-die-app-die-freiwilliges-engagement-einfach-und-flexibel-macht/1412;five. engagement – die App, die freiwilliges Engagement einfach und flexibel macht;https://www.civic-coding.de/community/projekt/five-engagement-die-app-die-freiwilliges-engagement-einfach-und-flexibel-macht/1412;Civic Coding;Unbekannt;five. engagement ist ein gemeinwohlorientiertes Social Startup, das einen neuen Rahmen für freiwilliges Engagement schafft: digital, flexibel und zugänglich. Mithilfe von KI werden passgenaue Tätigkeiten vorgeschlagen, abgestimmt auf Interessen und Verfügbarkeit der Freiwilligen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;five.;Web-App, KI Anwendung, Interaktive Datenexploration, Datenvisualisierung, Plattform, Datenanwendung für Öffentlichkeit, Interaktive App;Soziale Arbeit, Inklusion, Bildung, Demokratie, Jugendarbeit, Migration, Nachhaltigkeit
22;https://www.civic-coding.de/community/projekt/checkmate/1411;CheckMate;https://www.civic-coding.de/community/projekt/checkmate/1411;Civic Coding;Unbekannt;CheckMate ist ein KI-Chatbot, der komplexe Netzwerke aus u.a. Politiker*innen, Gesetzestexten, Abstimmungen, und Nebentätigkeiten analysiert. Alle Analysen sind transparent durch Quellen belegt und für alle Bürger*innen zugänglich.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, KI-Anwendung, Maschinelles Lernen, Web-App, Datenanalyse, Open Source, Datenvisualisierung;Transparenz, Demokratie, Politische Bildung, KI, Chancengerechtigkeit, Teilhabe, Gesellschaft und Engagement
23;https://www.civic-coding.de/community/projekt/praeventionsguide-psyche-chatbot/1410;Präventionsguide Psyche Chatbot;https://www.civic-coding.de/community/projekt/praeventionsguide-psyche-chatbot/1410;Civic Coding;Unbekannt;Der Präventionsguide Psyche wurde mit dem Ziel entwickelt, Berater:innen und Lots:innen von Betrieben eine strukturierte Übersicht über relevante Angebote und Anlaufstellen im Bereich Prävention und psychische Gesundheit bereitzustellen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Web-App, Datenanwendung für Öffentlichkeit;Arbeit, Gesundheit
24;https://www.civic-coding.de/community/projekt/ki-gestutzes-produkt-zur-staerkung-von-inklusion-in-wirtschaft-gesellschaft/1409;KI-gestützes Produkt zur Stärkung von Inklusion in Wirtschaft & Gesellschaft;https://www.civic-coding.de/community/projekt/ki-gestutzes-produkt-zur-staerkung-von-inklusion-in-wirtschaft-gesellschaft/1409;Civic Coding;Unbekannt;Standardisierte und objektive Messung des Inklusionsreifegrads von Unternehmen, sowie des Business Case Inklusion mit dem Ziel einer inklusiveren Wirtschaft und Gesellschaft.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Maschinelles Lernen, Natural Language Processing, Datenstandards, Web-App, Plattform, Interaktives Dashboard, Empfehlungssystem;Inklusion, Wirtschaft, Chancengleichheit, Politik, Menschen mit Behinderung, International, Business
25;https://www.civic-coding.de/community/projekt/ki-starten-zukunft-gestalten-einfuhrung-und-nutzung-von-ki-ohne-microsoft-oekosystem/1406;"„KI starten. Zukunft gestalten."" – Einführung und Nutzung von KI ohne Microsoft-Ökosystem";https://www.civic-coding.de/community/projekt/ki-starten-zukunft-gestalten-einfuhrung-und-nutzung-von-ki-ohne-microsoft-oekosystem/1406;Civic Coding;Laufend;„KI starten. Zukunft gestalten.“ befähigt Mitarbeitende durch gezielte Schulungen, KI sicher und kreativ im Arbeitsalltag zu nutzen – ohne Microsoft-Ökosystem. Wir setzen auf unabhängige, datenschutzfreundliche Tools, offene Lernkultur und agile Einführung.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Open-Source, E-Learning, KI Anwendung, Beratung, Prozessautomatisierung;Arbeit, Datenschutz, Soziale Arbeit, Öffentliche Einrichtung, Gesundheit, Non-Profit, Bildung
26;https://www.civic-coding.de/community/projekt/aidmax/1405;AidMax;https://aidmax.org;Civic Coding;Laufend;Suizid ist die häufigste Todesursache bei 15- bis 25-Jährigen, denn Therapie ist nur schwer verfügbar. AidMax löst das Problem als kostenfreier Chatbot für alle, der empathische Gespräche führt, dabei Notfälle erkennt und diese an professionelle Hilfsangebote weiterleitet.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;AidMax;KI Anwendung, Web-App, Interaktive App, Maschinelles Lernen, Datenvisualisierung;Gesundheit, Jugend, Inklusion, Soziale Arbeit, Chancengleichheit
27;https://www.civic-coding.de/community/projekt/was-waere-wenn/1404;Was Wäre Wenn?;https://www.zibra.de;Civic Coding;Laufend;"""Was Wäre Wenn?"" ist eine Lernsoftware zur Förderung von Konfliktfähigkeit, die mit Rollenspielen funktioniert. Damit kannst du dich in Konfliktsituationen ausprobieren und deine Handlungsfähigkeit trainieren. Spiele die Szenarien so oft du möchtest. Kein Durchlauf ist gleich.";CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Simulation, E-Learning, Web-App, KI Anwendung;Arbeit, Soziale Arbeit, Bildung, Gesundheit, Krankenpflege, Weiterbildung, Arbeitswelt
28;https://www.civic-coding.de/community/projekt/foemo-der-foerdermittel-monitor/1403;fömo - Der Fördermittel Monitor;www.fömo.de;Civic Coding;Laufend;fömo soll gemeinnützigen sozio-kulturellen Einrichtungen, die auf öffentliche Förderungen angewiesen sind, bei der Suche nach Fördermittelausschreibungen unterstützen. Mit fömo wird diese Suche einfach, schnell, präzise, übersichtlich und immer Up-To-Date.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;fömo;Monitoring, Webapplikation, KI Anwendung, Large Language Model (LLM), Plattform, Datenanwendung für Öffentlichkeit;Soziale Arbeit, Kultur, Inklusion, Chancengleichheit, Gesundheit, Bildung, Umweltschutz
29;https://www.civic-coding.de/community/projekt/private-prompts-wwwprivatepromptsorg/1402;Private Prompts (www.privateprompts.org);www.privateprompts.org;Civic Coding;Laufend;KI kann uns unterstützen – aber nur, wenn wir Kontrolle behalten Private Prompts ist ein vom Prototype Fund gefördertes Tool zur sicheren KI-Nutzung. Nach breiter Medienresonanz wird es nun für Teams, Vereine und Verbände weiterentwickelt – für datenschutzkonforme Zusammenarbeit;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Open-Source, KI Anwendung, Web-App, Datenstandards, Datenanwendung für Öffentlichkeit, Vernetzung;Bildung, Zivilgesellschaft, NGOs, Vereine, öffentliche Einrichtungen, Datenschutz, Verbraucherschutz
30;https://www.civic-coding.de/community/projekt/nestfreund-digitale-unterstutzung-fur-soziale-beratung/1399;NestFreund - Digitale Unterstützung für Soziale Beratung;https://www.civic-coding.de/community/projekt/nestfreund-digitale-unterstutzung-fur-soziale-beratung/1399;Civic Coding;Unbekannt;NestFreund ist ein KI-gestütztes Beratungstool, das Berater*innen in ihrer täglichen Arbeit unterstützt – und zwar durch deutlich reduzierte Dokumentationszeit, rechtlich geprüfte Handlungsempfehlungen und eine lernende Wissensbasis.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Web-App, Maschinelles Lernen, Wissensmanagement, Datenanalyse, Prozessautomatisierung, Datenanwendung für Öffentlichkeit;Soziale Arbeit, Armut, Chancengleichheit, Inklusion, Wohlfahrt
31;https://www.civic-coding.de/community/projekt/demokratie-plattform/1397;Demokratie-Plattform;https://www.civic-coding.de/community/projekt/demokratie-plattform/1397;Civic Coding;Unbekannt;Die digitale Demokratie-Plattform macht Demokratie-Angebote an einem Ort zentral sichtbar, ermöglicht koordiniertes Handeln in der Demokratiearbeit und verknüpft bereits jetzt über 300 unterschiedlichste Organisationen mit Interessierten und untereinander.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Plattform, KI Anwendung, Vernetzung;Demokratie, Antidiskriminierung, Bildung, Zivilgesellschaft, Verwaltung
32;https://www.civic-coding.de/community/projekt/chancen-von-ki-zur-foerderung-digitaler-teilhabe-von-menschen-mit-lernschwierigkeiten/1395;Chancen von KI zur Förderung digitaler Teilhabe von Menschen mit Lernschwierigkeiten;https://www.civic-coding.de/community/projekt/chancen-von-ki-zur-foerderung-digitaler-teilhabe-von-menschen-mit-lernschwierigkeiten/1395;Civic Coding;Laufend;Unser Ziel ist es, KI praxisnah anzuwenden. Analysieren von KI als wirkungsvolles Werkzeug um die Effektivität und Qualität unserer Leistungsangebote und Prozesse in der Behindertenhilfe zu steigern. Chancen von KI zur Unterstützung und Förderung unserer Klientel entdecken.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Web-App, Soziale Innovationen;Inklusion, Soziale Arbeit, Behindertenhilfe, Teilhabe, Chancengleichheit
33;https://www.civic-coding.de/community/projekt/civilsociety4people/1391;civilsociety4people;https://github.com/JelmenGuhlke;Civic Coding;Unbekannt;Im Projekt civilsociety4people (cs4p) wird mithilfe von KI und NLP die Arbeit zivilgesellschaftlicher Akteur:innen sichtbar gemacht. Ziele und Forderungen werden semantisch vernetzt, sodass sie transparent, niedrigschwellig und einfach abrufbar sind.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;cs4p;KI Anwendung, Natural Language Processing, Web-App, Knowledge Graph, Datenvisualisierung, Vernetzung, API;Zivilgesellschaft, Teilhabe, Inklusion, Gesellschaft und Engagement, Technologie, Soziale Innovationen, Open Source
34;https://www.civic-coding.de/community/projekt/steward-ownership-guide/1390;Steward-Ownership Guide;https://www.civic-coding.de/community/projekt/steward-ownership-guide/1390;Civic Coding;Unbekannt;Der Steward-Ownership Guide ist ein interaktives KI-Tool, das Wissen über Verantwortungseigentum (Steward-Ownership) einfach und verständlich zugänglich macht. Der Guide trägt zu einer Wirtschaft bei, die sozialen und ökologischen Standards gerecht wird.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Interaktive App;Nachhaltigkeit, Soziale Arbeit, Demokratie, Inklusion, KI
35;https://www.civic-coding.de/community/projekt/familymind/1389;familymind;https://www.civic-coding.de/community/projekt/familymind/1389;Civic Coding;Unbekannt;familymind AI hilft Familien, gesünder zu leben und Aufgaben fairer zu verteilen – für weniger Mental Load, mehr Gleichberechtigung und echte Vereinbarkeit. Entwickelt von Müttern für Familien. Jetzt mehr erfahren auf www.familymind.ai 💜;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Web-App, Wissensmanagement, Datenanwendung für Öffentlichkeit;Gleichstellung, Familie, Geschlechtergerechtigkeit, Arbeit, Soziale Arbeit
36;https://www.civic-coding.de/community/projekt/pfadfinden-digital/1387;Pfadfinden digital;https://www.civic-coding.de/community/projekt/pfadfinden-digital/1387;Civic Coding;Unbekannt;Pfadfinden digital entwickelt eine offene Lernplattform mit zehn modularen Lernpfaden, die Auszubildende und KMU in Mitteldeutschland praxisnah für Digitalisierung, Nachhaltigkeit und Demokratiekompetenz qualifiziert und in 20 Workshops pilotiert.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;E-Learning, Workshops, KI Anwendung, Web-App, Open-Source, Datenportal, Natural Language Processing;Arbeit, Bildung, Nachhaltigkeit, Demokratie, Digitalisierung, KMU, Soziales
37;https://www.civic-coding.de/community/projekt/ki4send-ki-gestutzte-kommunikation/1384;KI4SEND - KI gestützte Kommunikation;https://www.civic-coding.de/community/projekt/ki4send-ki-gestutzte-kommunikation/1384;Civic Coding;Unbekannt;Wir entwickeln ein KI-gestütztes Ticketsystem zur strukturierten E-Mail-Bearbeitung und integrieren einen lernenden Website-Chatbot. So verbessern wir unsere Kommunikation mit über 700 Mitgliedern und unterstützen Sozialunternehmen schneller und gezielter.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;KI4SEND;Prozessautomatisierung, KI Anwendung, Maschinelles Lernen, Datenanwendung für Öffentlichkeit;Soziale Arbeit, Gesellschaft, Arbeit, Organisation, Wohlfahrt, Klimaschutz, Integration
38;https://www.civic-coding.de/community/projekt/ki-zur-erkennung-von-betrugsfaellen-im-nachhaltigkeitsbereich/1381;KI zur Erkennung von Betrugsfällen im Nachhaltigkeitsbereich;https://www.civic-coding.de/community/projekt/ki-zur-erkennung-von-betrugsfaellen-im-nachhaltigkeitsbereich/1381;Civic Coding;Laufend;Wir benutzen Erklärabre KI um Nachhaltigkeitsbetrug in ESG Berichten und Marketing Kampagnen zu erkennen, um Verbraucher und die Gesellschaft vom sog. Greenwashing zu beschützen. Wir machen das für NGOs, Verwaltungen, etc.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;Legal Pythia;KI Anwendung, Erklärbare KI, Natural Language Processing, Maschinelles Lernen, Datenanalyse, Datenanwendung für Öffentlichkeit, Interaktive App;Umwelt, Klimaschutz, Nachhaltigkeit, Transparenz, Verbraucherschutz, Antidiskriminierung
39;https://www.civic-coding.de/community/projekt/rag4good-ki-wissensarchiv-fur-transparenten-verbraucherschutz-bei-foodwatch/1379;RAG4Good: KI-Wissensarchiv für transparenten Verbraucherschutz bei foodwatch;https://www.civic-coding.de/community/projekt/rag4good-ki-wissensarchiv-fur-transparenten-verbraucherschutz-bei-foodwatch/1379;Civic Coding;Laufend;foodwatch-Expertise aus über 20 Jahren sammelt sich im Datenarchiv, dieses ist aber kaum durchsuchbar - Expertise geht verloren. Mit dem RAG-Protoyp werden die Daten, angefangen mit Pressemitteilungen, durch KI befragbar, das Wissen steht so wieder der Organisation zur Verfügung.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;RAG4Good;Open Source, KI Anwendung, Wissensmanagement, Web-App, Information Retrieval, Datenanwendung für Öffentlichkeit;Verbraucherschutz, Zivilgesellschaft, Gesellschaft und Engagement, Wissensmanagement
40;https://www.civic-coding.de/community/projekt/halle-giesst/1378;Halle gießt;https://www.civic-coding.de/community/projekt/halle-giesst/1378;Civic Coding;Unbekannt;Motivation und Unterstützung von Gießpaten für Stadtbäume;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Datenanalyse, Datenvisualisierung, Prozessautomatisierung, Beratung;Klimaschutz, Ökologische Nachhaltigkeit, Gesellschaft und Engagement
