,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung
21,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015,,,,,,,
22,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014,,,,,,,
23,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012,,,,,,,
24,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011,,,,,,,
25,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010,,,,,,,
26,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009,,,,,,,
27,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008,,,,,,,
28,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007,,,,,,,
29,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006,,,,,,,
30,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005,,,,,,,
31,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004,,,,,,,
32,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003,,,,,,,
33,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002,,,,,,,
34,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001,,,,,,,
35,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000,,,,,,,
36,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999,,,,,,,
37,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998,,,,,,,
38,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997,,,,,,,
39,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996,,,,,,,
40,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/futero-jobs-zum-anpacken/995,,,,,,,
41,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoskills-navigator/994,,,,,,,
42,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/connectcare/993,,,,,,,
43,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/femailab/992,,,,,,,
44,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-academy/991,,,,,,,
45,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/flavourflip-der-greatery-gmbh/990,,,,,,,
46,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/reimagine-spaces/989,,,,,,,
47,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizencontract/988,,,,,,,
48,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/laizee-language-made-easy-einfach-leichte-sprache-fur-jeden-text-website-oder-dokumente/986,,,,,,,
49,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/neow-the-new-now/985,,,,,,,
50,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/travelsync-dynamischer-mitfahr-routenplaner-mit-oeffi-anbindung/984,,,,,,,
51,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/chatbot-gegen-rechte-hetze/983,,,,,,,
52,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/climate-argumentation-assistant/982,,,,,,,
53,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deliberaide-the-ai-co-pilot-for-democratic-participation/978,,,,,,,
54,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kipp-ki-sprachassistent-zur-ermittlung-der-persoenlichkeitsprofile-fur-eine-gemeinsame-nutzung-von-wohnraum/975,,,,,,,
55,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aican-ai-citizen-science-aqua-network/969,,,,,,,
56,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/rentennavi/968,,,,,,,
57,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-assist-vision/955,,,,,,,
58,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/newsbuddies-wir-entwickeln-unsere-eigene-ki-news-app/942,,,,,,,
59,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/citizen-knowledge-graph/913,,,,,,,
60,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fairsync-ai/864,,,,,,,
61,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mutter-erde-ki-wir-geben-mutter-erde-eine-stimme/860,,,,,,,
62,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/nect-ident-online-identifizieren-mit-ki/856,,,,,,,
63,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/synergie-contract-ki-gestutzt-gemeinschaftlich-strom-erzeugen-verteilen-und-nutzen/855,,,,,,,
64,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/skyla-die-digitale-assistenz-fur-die-zusammenarbeit-der-zukunft-in-klassenraum-und-kollegium/850,,,,,,,
65,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/sprechende-bilder-reanimierte-vergangenheit/847,,,,,,,
66,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/durch-intelligenten-ad-hoc-verlegung-von-rettungswaegen-leben-retten/845,,,,,,,
67,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/die-stille-reserve-fur-die-kinderbetreuung-mobilisieren/844,,,,,,,
68,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/1-bild-sagt-mehr-als-1000-worte/843,,,,,,,
69,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai2destination-ki-basiertes-system-fur-stationaeres-bettenmanagement-und-krankenhausverlegungen/842,,,,,,,
70,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/anymate-live/841,,,,,,,
71,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/foerderbot/840,,,,,,,
72,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/edtech-for-diversity-in-ai-kompetenzen-fur-die-diversitaetssensible-einfuhrung-menschenzentrierter-ki-in-unternehmen/839,,,,,,,
73,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/gomi-recycle-upcycle-reduce/838,,,,,,,
74,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-foerderagent-foerdermittel-automatisch-finden-damit-mehr-zeit-furs-wesentliche-bleibt-hat/837,,,,,,,
75,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligent-invoice-manager/836,,,,,,,
76,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/motioncomposer-lite/835,,,,,,,
77,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kimup-ki-gestutztes-monitoring-zur-unterstutzung-in-der-haeuslichen-pflege/827,,,,,,,
78,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-intelligente-genderstern/826,,,,,,,
79,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/individuelles-lernen-der-deutschen-sprache-fur-zugewanderte-ermoeglichen/825,,,,,,,
80,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entscheidung-der-hr-verbessern-diskriminierungen-und-vorbehalte-mindern-und-effektiv-entscheidungen-treffen/824,,,,,,,
81,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gestutzte-moderation-von-online-diskussionen-diskriminierungsarm-gestalten-ki-modi/821,,,,,,,
82,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/org-ai-nisation-smartes-dienstplanungstool-fur-faire-arbeitsbedingungen-im-gesundheitswesen/819,,,,,,,
83,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/tinder-fur-arbeitsplaetze-fur-mehr-matches-auf-dem-arbeitsmarkt/815,,,,,,,
84,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/stereoff-automatisierte-identifikation-und-analyse-von-geschlechterstereotypen/814,,,,,,,
85,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/112-ki-rettet-leben/813,,,,,,,
86,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kiring-new-employees-effiziente-social-media-praesenz-durch-innovative-technologie/811,,,,,,,
87,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/senior-residenz-soziale-aktivitaeten-vorschlagende-und-organisatorin/810,,,,,,,
88,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fr-ai-willig-ki-asisstent-fur-vereine/809,,,,,,,
89,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/speaksense-ai-diagnostics-a-voice-based-ai-solution-for-detecting-and-diagnosing-depression/807,,,,,,,
90,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/karriere-ki-ckstart/805,,,,,,,
91,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ideationai-neue-ideen-und-loesungen-durch-ki-gestutzte-ideation/803,,,,,,,
92,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-unterstutztes-sensemaking-als-mittel-zur-depolarisierung-der-gesellschaft/802,,,,,,,
93,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/omos-online-migrationsberatung-ohne-sprachbarrieren/801,,,,,,,
94,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-basierte-assistenz-fur-ein-aktiveres-und-eigenstaendigeres-leben-mit-diabetes/800,,,,,,,
95,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/leed-ai-legal-education-ai/799,,,,,,,
96,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-lehrplattform/790,,,,,,,
97,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mi4people-machine-intelligence-fur-das-gemeinwohl/786,,,,,,,
98,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/feminist-ai-and-digital-policy-roundtable-eine-feministische-zukunftsvision/783,,,,,,,
99,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-basierte-burgerkommunikation-fur-soziales-und-oekologisches-loswerden-von-dingen/782,,,,,,,
100,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/blowi/781,,,,,,,
101,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-luftanalyse-von-schimmelsporen-pollen-und-anderen-gesundheitsschaedlichen-partikeln-einsetzbar-von-und-fur-jeden/778,,,,,,,
102,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/selbstmanagement-to-go-wie-ki-gestutzte-apps-menschen-mit-behinderung-am-uebergang-ausbildung-beruf-begleiten-koennen/776,,,,,,,
103,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aiapply-bewerbungsschreiben-leicht-gemacht/775,,,,,,,
104,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/coach2life/773,,,,,,,
105,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gestutzte-hybride-lehre/772,,,,,,,
106,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-gerechte-lehre-und-evaluation/771,,,,,,,
107,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/oer-lehrvideo-assistent/770,,,,,,,
108,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/konstruktiver-zugang-zu-ki-im-bildungswesen/767,,,,,,,
109,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/diskriminierung-in-ki-erkennen-und-vermeiden/766,,,,,,,
110,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/abracadabra/765,,,,,,,
111,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mit-sensoren-und-ki-einfache-prototypen-entwickeln-ganz-ohne-it-faehigkeiten/764,,,,,,,
112,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/barrierefreie-informationen-end-to-end-auf-knopfdruck-inhalte-in-leichter-sprache-inklusive-bebilderung-erstellen/763,,,,,,,
113,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/tagged-ki-teilhabe-fur-menschen-mit-geistiger-behinderung-durch-ki-fur-ambient-assisted-living-resilienz-austausch/762,,,,,,,
114,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/dementia-voicebot/760,,,,,,,
115,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ant-e-antisemitismus-erkennen-handy-app-fur-junge-menschen-zur-erkennung-von-antisemitismus-im-medienalltag/759,,,,,,,
116,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-leicht-gemacht-mit-dem-humanoiden-roboter-zum-selberbauen-ki-anwendungen-einfach-verstehen-und-selbst-anwenden/757,,,,,,,
117,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/automatisiert-lernendes-und-selbst-optimierendes-personal-vertretungsmanagement-system-inklusion-und-schulbegleitung/756,,,,,,,
118,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/objekterkennung-zum-erkennen-und-warnen-vor-gefahren/754,,,,,,,
119,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/digitaler-lehr-und-lernassistent/752,,,,,,,
120,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kultur-fur-alle-software-zur-vermittlung-von-kostenlosen-karten-fur-kulturveranstaltungen/747,,,,,,,
121,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/cybercraft-die-vernetzung-von-mensch-maschine-und-idee/743,,,,,,,
122,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-ampelsteuerung/742,,,,,,,
123,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/persoinformation/741,,,,,,,
124,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ethischer-rahmen-zur-unterstutzung-von-innovationen/738,,,,,,,
125,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/jeder-kann-ki-einfach-und-sicher-texte-und-bilder-mit-ki-generieren-und-audio-transkribieren/736,,,,,,,
126,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/firework-das-erste-charakterbasierte-netzwerk-der-welt/733,,,,,,,
127,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/surfbuddy/732,,,,,,,
128,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/gemeinsame-nutzung-von-arbeits-und-wohnraum-zur-foerderung-des-mobilen-arbeitens-und-gesellschaftlichen-zusammenhalts/730,,,,,,,
129,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligentes-management-von-elektroenergieverbrauchern-unter-berucksichtigung-des-voraussichtlichen-angebots/729,,,,,,,
130,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/software-als-infrastruktur-verstehen-und-einfuhren/728,,,,,,,
131,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/offene-datenplattform-zur-skalierung-der-energiewende/727,,,,,,,
132,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/bewerbungen-fur-jeden/726,,,,,,,
133,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/barrierefreies-bewegen-im-netz-der-editor-fur-leichte-sprache/689,,,,,,,
134,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/die-herzenswunsch-team-app-schnelle-einsatzplanung-u-kommunikation-mit-der-app-fur-die-herzenswunsch-initiative/685,,,,,,,
135,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/corona-schnelltesterkennung-fur-blinde-und-sehbeeintraechtige-menschen/626,,,,,,,
136,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/untlitz-de-indentifizierung-von-personenbildern-fur-verbesserte-oeffentlichkeitsarbeit/618,,,,,,,
137,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/cpu-architekture-etwas-anders/588,,,,,,,
138,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/learning-machine-into-own-direction/587,,,,,,,
139,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/digistadtv-digitale-souveraenitaet-fur-alle-kommunalen-und-staedtischen-verwaltungen/565,,,,,,,
140,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-for-addressing-urban-inequality/564,,,,,,,
141,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/onda-one-deafworld-app/563,,,,,,,
142,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-nutzen-ki-basierter-sprachanalysen-bei-einer-mediation/562,,,,,,,
143,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/telemarie/561,,,,,,,
144,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/schreibenlernen-mit-ki/553,,,,,,,
145,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/schmusebaer-mit-knopf-im-ohr/548,,,,,,,
146,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/selbstlernendes-barrierefreies-kommunikations-tablet/546,,,,,,,
147,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/pia-persoenlicher-informations-assistent/544,,,,,,,
148,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/regle-deinen-kram-mit-aktiver-vorsorge-vorausschauend-und-verantwortungsbewusst-handeln/538,,,,,,,
149,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/respeak-powerful-dialogs-for-better-relationships/537,,,,,,,
150,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/sgb-antraege-vernetzen/534,,,,,,,
151,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/universal-app-fur-freie-smartphone-netzwerk-verbindungen-ohne-unmittelbaren-internetzugang/533,,,,,,,
152,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/beezle-bug-ki-gesteuertes-assistenzsystem-fur-jugendliche/526,,,,,,,
153,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/digital-flow-smart-education-mit-ki/507,,,,,,,
154,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/jobluchs-luchs-dir-jetzt-dein-traumjob-app/457,,,,,,,
155,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/techmentor-ki-gestutztes-matching-mit-it-mentoren/443,,,,,,,
156,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/rechtsberatung-und-sematische-suchmaschine-fur-gesetze/442,,,,,,,
157,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/agorai-update-democracy/440,,,,,,,
158,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/meta-der-weltweit-erste-antidiskriminierungschatbot/359,,,,,,,
159,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/merlin-aio-das-freie-all-in-one-ki-system-fur-alle/350,,,,,,,
160,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/flying-eye-die-autonom-fliegende-baustellenuberwachungsdrohne/349,,,,,,,
161,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/key2beme-community-zur-berufsorientierung/348,,,,,,,
162,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/mehr-chancengleichheit-durch-bias-erkennung-und-bereinigung-in-datensaetzen/346,,,,,,,
163,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/explainable-ai-made-simple/345,,,,,,,
164,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/she-leaders-at/344,,,,,,,
165,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/addressing-diverse-learners-challenges-by-leveraging-ki-technologies/341,,,,,,,
166,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/home-office-arbeitssicherheit-und-gesundheitsschutz-von-remote-arbeitsplaetzen/340,,,,,,,
167,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-unterstutzten-job-suche/339,,,,,,,
168,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kidia-ki-demonstrator-fur-lebenswerte-industriearbeit/337,,,,,,,
169,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/teachers-match-eine-plattform-die-lehrerinnen-ein-netzwerk-zur-optimierung-des-digitalen-unterrichts-anbietet/333,,,,,,,
170,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/kollaborative-strategieentwicklung-auf-basis-ki-generierter-informationen/331,,,,,,,
171,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/casablancaai/323,,,,,,,
172,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/flottenintelligenz-mittels-federated-learning/320,,,,,,,
173,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fraeulein-digital-automatisierte-kontrolle-und-korrektur-differenzierter-freiarbeitsaufgaben-fur-erstklaessler-mit-ipad/316,,,,,,,
174,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/personalisierte-finanzplanung-fur-soloselbststaendige/314,,,,,,,
175,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/find-the-best-therapist-for-you/313,,,,,,,
176,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligente-app-zur-staerkung-der-mentalen-gesundheit-von-jugendlichen/310,,,,,,,
177,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-dusb-schutzt-den-arbeitnehmer-vor-ueberraschungen-er-liefert-die-wichtigsten-absicherungen-gegen-risiken-aller-art/304,,,,,,,
178,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/digitalisierungsinitiative-kmu-datenschutz-ist-arbeitnehmerschutz/300,,,,,,,
179,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lets-listen-der-online-raum-in-dem-menschen-sich-zuhoeren/299,,,,,,,
180,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/intelligentes-wahrnehmen-und-handeln-fur-kooperative-roboter-zur-unterstutzung-der-fachkraefte-auf-baustellen/265,,,,,,,
181,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lernprogramm-unsere-ki/263,,,,,,,
182,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/fallacy-ai/256,,,,,,,
183,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/simplfai-texte-fur-alle-verstaendlich/251,,,,,,,
184,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/nutzung-intelligenter-technik-als-ergaenzende-assistenz-zum-selbstbestimmten-wohnen-von-menschen-mit-behinderungen/249,,,,,,,
185,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/navigable-knowledge-spaces-and-personalised-learning-paths-to-approach-global-challenges-with-21st-century-skills/248,,,,,,,
186,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/the-presentation-trainer-goes-ai/247,,,,,,,
187,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/emotionserkennung-durch-analyse-der-koerperpose/246,,,,,,,
188,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-digitale-ingenieur-als-assistent-fur-technische-weiterbildung/245,,,,,,,
189,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/guta-praegnanter-austausch-guter-arbeitspraktiken-in-dezentralen-fachgruppen-chats/244,,,,,,,
190,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-basierte-optimierung-der-arbeitsablaeufe-in-webanwendungen/240,,,,,,,
191,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/cocreate-network-semantisches-wissensnetz/239,,,,,,,
192,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/soulmate-ein-smarter-und-interaktiver-achtsamkeits-spiegel-mental-stark-in-zeiten-der-unsicherheit/237,,,,,,,
193,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ask-know-create-berufsorientierung-motivation-und-netzwerken-fur-eine-kreative-zukunft/235,,,,,,,
194,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/vielfalt-diversity-footprint-tool-fur-unternehmen-inklusive-ki-basierter-auswertung-von-handlungsempfehlungen/230,,,,,,,
195,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/understandr-plattform-fur-aggregierte-argumente-und-differenzierte-meinungen/229,,,,,,,
196,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/arttemis/228,,,,,,,
