Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001;Claim;KI Anwendung, Entscheidungsassistent;Verwaltung, Beratung, Wohlfahrt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001;Civic Coding;In Betrieb;Claim ist ein KI-unterstütztes Tool, das Nutzern hilft, anonymisiert herauszufinden, auf welche staatlichen Förderungen sie Anspruch haben, und unterstützt sie bei der Beantragung dieser. Nutzer füllen ein Formular aus, woraufhin Claim ihre Ansprüche berechnet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000;Deine-I.de;Digitale Plattform, Datenanwendung für Öffentlichkeit, Visualisierung;Partizipation, Demokratie, Stadt, Verwaltung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000;Civic Coding;In Planung;Eine Plattform, die Kommunen und Politik ermöglicht, Ideen aus Bürgerbeteiligungsprojekten übersichtlich zu visualisieren und deren Status nachzuverfolgen. Sie beantwortet Fragen nach dem Verbleib der Ideen und dem aktuellen Stand.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilvoelkerung-loki/999;Lokaler KI-Assistent für die Zivilbevölkerung (LoKI);KI Anwendung, Digitale Plattform, Entscheidungsassistent;Verwaltung, Partizipation;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilvoelkerung-loki/999;Civic Coding;In Planung;Der Lokale KI-Assistent für die Zivilbevölkerung (LoKI) wird ein digitales Kommunikationssystem. Es soll Bürgerinnen und Bürger bei Fragen zu Behördenprozessen oder anderen zivilgesellschaftlich relevanten Themen unterstützen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998;EcoAdvisor: Der Digitale Energieberater für nachhaltiges Wohnen;KI Anwendung, Interaktive App, Datenanalyse, Entscheidungsassistent;Energie, Nachhaltigkeit, Wohnen, Umweltschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998;;In Planung;EcoAdvisor ist eine KI-gesteuerte App, die Privathaushalten hilft, Energie effizient zu nutzen, Kosten zu sparen und ökologisch bewusster zu leben, indem sie personalisierte Einsparungstipps und Produktvorschläge bietet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997;Aufbau GPT als Hilfestellung bei der Planung von inklusiven Spielplätzen;Large Language Model (LLM), KI Anwendung, Entscheidungsassistent;Inklusion, Barrierefreiheit, Stadtplanung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997;Civic Coding;In Planung;Das Projekt zielt darauf ab, einen KI-basierten Ratgeber für die Planung barrierefreier Spielplätze zu entwickeln, um Inklusion zu ermöglichen. Dieser Ratgeber kombiniert Expertenwissen mit KI-Analysen, um Empfehlungen für barrierefreies Spielplatzdesign bereitzustellen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996;KI-Co-Pilot (KICoP);Generative KI, KI Anwendung, Digitale Plattform, Prozessautomatisierung;KI, Demokratie, Wissensmanagement, Partizipation;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996;Civic Coding;In Weiterentwicklung;Der KI-Co-Pilot (KICoP) ist eine Anbindung von generativen KI-Lösungen wie ChatGPT an eine Block-basierte No-Code-Plattform. Mittels generativer KI können so neue Blöcke erzeugt werden, was die Fähigkeiten des No-Code Konzepts multipliziert.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene;KI Anwendung, Entscheidungsassistent, Datenanalyse;Umweltschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;;In Planung;Das Projekt plant eine regionale, KI-basierte Entscheidungshilfe, um sinnvolle landschaftliche Maßnahmen zum Wasserrückhalt und zur Vermeidung von Waldbränden im Hohen Fläming hinsichtlich ihrer Wirkungen und Kosten einzuschätzen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015;EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland;KI Anwendung, Entscheidungsassistent, Digitale Plattform;Migration, Integration, Verwaltung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015;Civic Coding;In Planung;Ein KI-gestützter Chatbot, der internationale Fachkräfte bei der Einreise und Arbeitssuche in Deutschland unterstützt. Er hilft bei Visumsanträgen und behördlichen Prozessen, um Integration und Berufseinstieg zu erleichtern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;KI²;KI Anwendung;Soziale Arbeit, Barrierefreiheit, Migration, Inklusion;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;Civic Coding;In Weiterentwicklung;Das Vorhaben zielt darauf ab, künstliche Intelligenz (KI) in der sozialen Arbeit einzusetzen, um Barrieren für Menschen mit Behinderungen und Menschen mit Migrationsgeschichte abzubauen. Es soll ein barrierefreier Zugang zur sozialen Gesellschaft gefördert werden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012;Human Work Hub;KI Anwendung, Digitale Plattform, Matching, Entscheidungsassistent, Prozessautomatisierung;Geflüchtete, Migration, Integration, Antidiskriminierung, Chancengleichheit, Umwelt, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012;Civic Coding;In Planung;Der Human Work Hub ist eine KI-gestützte Job-Matching-Plattform, die Immigrant:innen und Geflüchtete mit Unternehmen verbindet. Sie anonymisiert sensible Daten, um Diskriminierung zu vermeiden, und bietet zudem Fort- und Weiterbildungen, insbesondere in umweltrelevanten Berufen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;AInsight;KI Anwendung, Large Language Model (LLM), Interaktive App;Umweltschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;;In Weiterentwicklung;Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Das Projekt implementiert ein Browser-Plugin für ChatGPT, das Nutzende über dessen CO2-Emissionen aufklärt und so Bewusstsein für Ressourcenverbräuche von KI schafft.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010;helpme.ai;KI Anwendung, Interaktive App, Entscheidungsassistent;Gesundheit, Armut, Soziale Arbeit, Beratung, Barrierefreiheit;;;In Weiterentwicklung;helpme.ai ist ein KI-gestützter Chatbot, der über eine App zugänglich ist und darauf abzielt, die Lücke im Gesundheitszugang für sozial benachteiligte Gemeinschaften zu schließen. Er vereinfacht die Komplexität des Gesundheitssystems und bietet sofortige, personalisierte Unterstützung.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;Prisma3D Explain;KI Anwendung, Interaktive App, Visualisierung;KI, Umweltschutz, Jugendarbeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;;In Weiterentwicklung;"Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos dank KI-gestütztem Motion Capture in nur 5 Minuten. Durch die App entwickeln Schüler*innen 3D-gestalterische Kompetenzen für umweltrelevante Berufe."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;Scan Your Trash;Interaktive App, KI Anwendung, Datenerhebung, Crowd-Sourced Daten, Analyse von Sensordaten und ML;Umwelt, Umweltschutz, Nachhaltigkeit, Partizipation;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;;Unbekannt;Scan Your Trash verbindet Recycling, Machine Learning und Aufklärung. Es wird eine Citizen-Science-App entwickelt, die es den Anwender*innen ermöglicht, ihren LVP-Abfall zu fotografieren und mit diesen Bildern menschliches und maschinelles Lernen zu verbinden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Der Into-the-job-Power-Coach (Itjo-Poc);KI Anwendung, Entscheidungsassistent;Arbeit, Beratung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Civic Coding;In Planung;Itjo-Poc ist ein digitaler Trainer, der Nutzer auf Bewerbungsgespräche und den Berufsalltag vorbereitet. Er simuliert verschiedene Jobprofile und Gesprächsszenarien mit unterschiedlichen Schwierigkeitsgraden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;"Predictive maintanance für den ""Foodcube"", ein Aquaponik-Lehrsystem für umwelttechnologische Nachwuchsförderung";Analyse von Sensordaten und ML, KI Anwendung, Monitoring;Umwelt, Umweltschutz, Landwirtschaft, KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;;In Planung;"Das Projekt nutzt Predictive Maintenance für den ""Foodcube"", ein Aquaponik-Lehrsystem, um den ressourcensparenden Betrieb von Fisch- und Pflanzenzucht an Schulen zu stabilisieren. Es bringt zukunftsweisende Agrar- und Umwelttechnologie in die Nachwuchsförderung."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005;SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen;KI Anwendung, Datenerhebung, Datenanalyse;Umweltschutz, Meeresschutz, KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005;Civic Coding;In Weiterentwicklung;Das Projekt nutzt Dropdown-Kameras, Tiefensonar und KI, um Seegrasbestände in der Ostsee zu identifizieren und Potenzialflächen zur Wiederansiedlung zu kartieren. Es verbindet Meeresnaturschutz mit KI-Technologien.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004;StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung;KI Anwendung, Large Language Model (LLM), Entscheidungsassistent;Verwaltung, Transparenz, Demokratie, Teilhabe;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004;;In Weiterentwicklung;StaatKlar ist ein digitaler Assistent, der Sprachmodelle nutzt, um komplexe Behördeninformationen zu vereinfachen. Das Projekt zielt darauf ab, Wissenslücken zu überbrücken und bürokratische Hürden bei der Beantragung staatlicher Ansprüche abzubauen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003;KI Geisternetze Open Source;KI Anwendung, Datenanalyse, Digitale Plattform;Umweltschutz, Meeresschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003;Civic Coding;In Weiterentwicklung;Das KI-Geisternetz-Interface ermöglicht es Firmen und staatlichen Institutionen, ihre hydrografischen Daten hinsichtlich potenzieller Netzverdachtsstellen zu teilen, ohne dabei Nutzungsrechte abtreten oder die Daten übertragen zu müssen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002;DANKE - Digitaler Assistent für Nachhaltige Kommunale Entwicklung;KI Anwendung, Entscheidungsassistent, Visualisierung;Nachhaltigkeit, Verwaltung, Stadtplanung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002;;In Planung;Das Projekt DANKE ist ein KI-basierter visueller Nachhaltigkeitsassistent, der kommunale Entscheidungen systematisch auf ihre Nachhaltigkeitsfolgen hin abschätzt und visualisiert. Es wendet die in Cornwall (UK) entwickelte und praktizierte Cornwall Decision Making Wheel Methode automatisch auf Planungsdokumente an.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001;Claim;KI Anwendung, Entscheidungsassistent, Automatisierte Datenübermittlung;Armut, Beratung, Wohlfahrt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001;Civic Coding;In Weiterentwicklung;Claim ist ein KI-gestütztes Tool, das Nutzern hilft, ihre Ansprüche auf staatliche Förderungen anonymisiert zu ermitteln und sie bei der Beantragung zu unterstützen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000;Deine-I.de;Digitale Plattform, Visualisierung;Demokratie, Partizipation, Stadt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000;Civic Coding;In Planung;Deine-I.de ist eine einfach nutzbare Plattform für Kommunen und Politik, um Ideen aus Bürgerbeteiligungsprojekten zu visualisieren. Sie beantwortet übersichtlich, welche Ideen es gab, was aus ihnen wurde und wo man sich über deren Status auf dem Laufenden halten kann.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999;Lokaler KI-Assistent für die Zivilbevölkerung (LoKI);KI Anwendung, Entscheidungsassistent;Verwaltung, Beratung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999;Civic Coding;In Weiterentwicklung;Der Lokale KI-Assistent für die Zivilbevölkerung (LoKI) ist ein digitales Kommunikationssystem. Es unterstützt Bürgerinnen und Bürger bei Fragen zu Behördenprozessen und anderen für die Zivilgesellschaft relevanten Themen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998;EcoAdvisor: Der Digitale Energieberater für nachhaltiges Wohnen;KI Anwendung, Interaktive App, Entscheidungsassistent, Datenanalyse;Energie, Nachhaltigkeit, Umweltschutz, Wohnen;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998;Civic Coding;In Planung;EcoAdvisor ist eine KI-gesteuerte App, die Privathaushalten hilft, Energie effizient zu nutzen, Kosten zu sparen und ökologisch bewusster zu leben, indem sie personalisierte Einsparungstipps und Produktvorschläge bietet.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997;Aufbau GPT als Hilfestellung bei der Planung von inklusiven Spielplätzen;Generative KI, KI Anwendung, Entscheidungsassistent;Inklusion, Barrierefreiheit, Stadtplanung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997;Civic Coding;In Planung;Dieses Projekt entwickelt einen KI-basierten Ratgeber zur Unterstützung bei der Planung barrierefreier Spielplätze. Der Ratgeber kombiniert Expertenwissen mit KI-Analysen, um Empfehlungen für inklusives Spielplatzdesign zu liefern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996;KI-Co-Pilot (KICoP);Generative KI, KI Anwendung;KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996;Civic Coding;In Betrieb;Der KI-Co-Pilot (KICoP) ist eine Anbindung von generativen KI-Lösungen wie ChatGPT an eine Block-basierte No-Code-Plattform. Mittels generativer KI können so neue Blöcke erzeugt und die Fähigkeiten des No-Code-Konzepts multipliziert werden.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/futero-jobs-zum-anpacken/995;Futero - Jobs zum Anpacken;KI Anwendung, Digitale Plattform, Matching;Arbeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/futero-jobs-zum-anpacken/995;Civic Coding;In Weiterentwicklung;Futero zielt darauf ab, das Recruiting im Handwerk und der mittelständischen Industrie zu revolutionieren. Dafür wird eine Jobplattform mit nützlichen KI-Features ergänzt, um ein modernes und transparentes Recruitment zu schaffen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoskills-navigator/994;EcoSkills Navigator;KI Anwendung, Digitale Plattform;Nachhaltigkeit, Umwelt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoskills-navigator/994;Civic Coding;In Weiterentwicklung;Der 'EcoSkills Navigator' ist eine KI-gestützte Lernplattform. Sie schafft individuelle Lernpfade für Nachhaltigkeitswissen in Unternehmen, um den Übergang zu umweltrelevanten Zukunftsberufen zu fördern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/connectcare/993;ConnectCare;KI Anwendung, Digitale Plattform;Gesundheit, Mentale Gesundheit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/connectcare/993;Civic Coding;In Planung;ConnectCare ist eine KI-gestützte, kollaborative Plattform, die Menschen in ländlichen Regionen mit psychischen Erkrankungen und Einsamkeit verbindet und unterstützt, um die knappe psychologische Versorgung zu ergänzen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/femailab/992;FemAILab;KI Anwendung, Large Language Model (LLM);Frauen, Chancengleichheit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/femailab/992;Civic Coding;In Planung;Mit dem FemAILab ermutigen wir Frauen, mit Hilfe von KI ihre Potenziale zu entdecken. Die Frauen erfahren, wie sie mit dem richtigen Prompting ihre persönliche Berufs-Lern-Begleitung bzw. Tutoring generieren können.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-academy/991;AI-Academy;KI Anwendung, Digitale Plattform, Entscheidungsassistent;KI, Ethik, Wissensmanagement;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ai-academy/991;Civic Coding;In Weiterentwicklung;Die AI Akademie ist eine interaktive Webseite mit einem Self-Service-Bereich, die Nutzern dabei assistiert, KI-Lösungen zu identifizieren. Der Guide ist darauf ausgerichtet, KI-Lösungen zu finden, die den Anforderungen des EU AI-Act entsprechen.
