Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung
https://www.e-beratungsinstitut.de/projekte/kaimo/;KAIMO;Interne Datenanwendung, KI Anwendung, Entscheidungsassistent;Kinderschutz, Ethik;https://www.e-beratungsinstitut.de/projekte/kaimo/;Institut für E-Beratung, TH Nürnberg;abgeschlossen/ eingestellt;Der KAIMo-Prototyp ist ein mehrstufiges Assistenzsystem, das Fachkräfte im Kinderschutz evidenzbasiert bei der Urteilsfindung und ethischen Reflexion unterstützt. Es ermöglicht die strukturierte Erfassung, Auswertung und Visualisierung relevanter Falldaten, ordnet Informationen aus unterschiedlichen Quellen automatisiert nach Merkmalen und Akteur*innen und macht bestehende Lücken im Informationsstand sichtbar. ;KAIMo
https://correlaid.org/en/using-data/project-database/2021-07-SIL/;Silbernetz Dashboard;interne Datenanwendung, Dashboard, Monitoring;Senioren, Soziale Arbeit;https://correlaid.org/en/using-data/project-database/2021-07-SIL/;Silbernetz e.V.  und CorrelAid;online - in Betrieb;Silbernetz und CorrelAid-Team entwickelten ein interaktives Dashboard, das Anrufdaten automatisiert auswertet und visualisiert. So entfallen zeitaufwändige manuelle Auswertungen. Aussagekräftige Statistiken sowie Karten unterstützen Silbernetz wirkungsvoll bei interner Analyse und der Gewinnung von Fördermitteln.;
https://fair-text.com/;Fair Text;Datenanwendung für Öffentlichkeit, KI Anwendung, Large Language Model, Übersetzungsassistent;Barrierefreiheit, Teilhabe, Integration, Inklusion;https://fair-text.com/;laizee.ai GmbH;online - in Weiterentwicklung;Aus dem Projekt ErLesen der FH Aachen entstand Fair Text, ein KI-gestütztes Tool, um Texte in Leichte Sprache umzuwandeln. Ziel ist es, sprachliche Barrieren abzubauen und Menschen mit eingeschränkten Deutschkenntnissen oder Behinderungen mehr gesellschaftliche Teilhabe zu ermöglichen. ;Fair Text
www.caremates.de;CareMates;KI Anwendung, Datenerhebung, Prozessautomatisierung;Pflege;www.caremates.de;CareMates;online - in Weiterentwicklung;Mithilfe eines digitalen Aufnahmebogens werden Stammdaten und Pflegeanforderungen der Patient*innen erfasst. Damit erstellen DSGVO-konforme KI-Algorithmen automatisch Pflegedokumente, individuelle Pflegepläne, Kostenvoranschläge und Vertragsdokumente. Pflegekräfte prüfen und passen diese an.;CareMates
;CarDia;interne Datenanwendung, Erhebung, Dashboard;Beratung, Soziale Arbeit, Organisationsentwicklung;;Caritasverband Hannover;online - in Betrieb;"CarDia ist eine Software, die ermöglicht, Soziale Arbeit qualitativ zu bewerten und damit eine Brücke zu den kaufmännischen Schnittstellen im Unternehmen zu bauen. Beratende reflektieren damit ihre Arbeit datenbasiert, Führungskräfte entwickeln ihre Organisation werteorientiert, hierarchie- und professionsübergreifend. Ein Ansatz wie CarDia macht deutlich, wie viel mehr als eine Anzahl an Stunden und Menschen mit Sozialer Arbeit verbunden ist und dabei, unsere Dienste zu verbessern.
";
https://erfrischungskarte.odis-berlin.de/;Berliner Erfrischungskarte;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis, Open Data;Stadt, Umwelt, Gesundheit;https://erfrischungskarte.odis-berlin.de/;Open Data Informationssstelle Berlin, City Lab Berlin, Technologiestiftung;online - in Testbetrieb;Die Erfrischungskarte basiert auf der Simulation der Sonneneinstrahlung anhand eines digitalen Geländemodells und der Interpolation von klimatischen Modelldaten der Senatsverwaltung für Stadtentwicklung und Wohnen. Der Code des Tools ist Open Source und auf Github zu finden, sodass ihn jede*r weiterverwenden oder Vorschläge für Verbesserungen machen kann. Die Erfrischungskarte soll dazu anregen, die Stadt auf andere Art und Weise zu entdecken und gleichzeitig über das Thema Klimaanpassung zur Sicherstellung von Gesundheit und Lebensqualität in immer heißer werdenden Städten nachzudenken.;
https://drk-wohlfahrt.de/blog/eintrag/mit-webscraping-data-science-die-wohnungslosenhilfen-im-drk-verstehen/;Webscraping Angebote für Wohnungslose;Erhebung, Verzeichnis;Wohnungslosenhilfe, Kältehilfe, Armut, Soziale Arbeit;https://drk-wohlfahrt.de/blog/eintrag/mit-webscraping-data-science-die-wohnungslosenhilfen-im-drk-verstehen/;Deutsches Rotes Kreuz;abgeschlossen/ eingestellt;Gemeinsam mit Data Science for Social Good Berlin wurden mittels Web Scraping Webseiten von DRK Kreis- und Landesverbänden ausgelesen und nach Hilfsangeboten für wohnungslose Menschen durchsucht. Dadurch konnte eine analysier- und darstellbare Orientierung im Dschungel der Angebote geschaffen werden.;
www.cropburning.in, www.energyharvesttrust.com;Energy Harvest Trust, India;Datenanwendung für Öffentlichkeit, Dashboard, KI Anwendung, Machine Learning, Computer Vision;International, Indien, Energie, Landwirtschaft;www.cropburning.in, www.energyharvesttrust.com;Energy Harvest Trust, India;online - in Betrieb;MIthilfe von Satellitendaten idetifiziert die NGO Energy Harvest Trust Reisfelder, auf denen das Reisstroh verbrannt wird. Als Alternative zur Verbrennung wird den Bäuerinnen und Bauren angeboten, ihr Stroh an ein Biomassekraftwerk zu verkaufen. Zu Pellets verarbeitet, kann so Strom gewonnen werden, Luftverschmutzung verringert und den Bäuerinnen und Bauern ein zusätzliches Einkommen ermöglicht werden.;
https://shelter-associates.org/plus-code/;Plus Code;Erhebung, interaktive Karte/ Verzeichnis;International, Indien, Teilhabe, Armut;https://shelter-associates.org/plus-code/;Shelter Associates, India;online - in Weiterentwicklung;"Shelter Associates nutzt seit 30 Jahren Datenerhebung, um die Lebensrealitäten von Menschen in indischen Slums sichtbar zu machen und ihnen mit Hilfe von Geodaten (Längen- und Breitengrade werden zu ""Plus Codes"") eine eindeutige Adresse zu geben. So werden Haushalte, Geschäfte und Einrichtungen auffindbar und können von Post, Lieferdiensten sowie Rettungsdiensten schneller erreicht werden.";
https://shelter-associates.org/statistical-data-2/;Data for All;Datenanwendung für Öffentlichkeit, Erhebung, interaktive Karte/ Verzeichnis;International, Indien, Teilhabe, Armut, Gleichberechtigung;https://shelter-associates.org/statistical-data-2/;Shelter Associates, India;online - in Weiterentwicklung;Shelter Associates erhebt, organisiert und veröffentlicht Daten aus Slums auf Basis von Befragungen und bezieht dabei die Bewohner*innen selbst aktiv ein. Mitglieder der Communities werden in Datenerhebung und Kartenlesen geschult, wodurch sie ihre Lebensrealität sichtbar machen und als Partner im Entwicklungsprozess auftreten können. Die Daten zeigen Lücken in der kommunalen Versorgung auf, schaffen Augenhöhe zwischen Behörden, Zivilgesellschaft und Betroffenen und schließen zugleich eine wichtige Gender-Datenlücke, indem die Erfahrungen von Frauen und Mädchen systematisch erfasst werden.;
https://www.sightsavers.org/programmes/inclusive-data/;Sightsavers;Datenanwendung für Öffentlichkeit, Erhebung, interaktive Karte/ Verzeichnis;International, Kamerun, Teilhabe, Inklusion;https://www.sightsavers.org/programmes/inclusive-data/;Sightsavers, International;online - in Weiterentwicklung;Sightsavers setzt sich weltweit für die systematische Erhebung inklusiver Daten ein, die nach Behinderung, Geschlecht, Alter und weiteren Faktoren differenziert sind. Auf dieser Grundlage werden Ungleichheiten sichtbar gemacht und Verbesserungen im Zugang zu Gesundheits- und Unterstützungsangeboten angestoßen, etwa durch Studien zur augenmedizinischen Versorgung in Malawi und Uganda. Als unabhängige Forschungsorganisation kombiniert Sightsavers wissenschaftliche Analysen mit praktischer Hilfe und arbeitet eng mit Regierungen, Behindertenorganisationen und internationalen Partnern zusammen. Ziel ist es, Barrieren abzubauen und die Teilhabe von über 800 Millionen Menschen mit Behinderungen in Ländern mit niedrigem und mittlerem Einkommen zu stärken.;
https://www.impactsproject.com/;Inclusive Mobility: Public And Collaborative Trusted Spaces;Datenanwendung für Öffentlichkeit, Erhebung, Dashboard;International, Türkei, Kroatien, Stadt;https://www.impactsproject.com/;Impacts Project;abgeschlossen/ eingestellt;Im Forschungsprojekt IMPACTS wurden neue Ansätze für ein nutzerzentriertes öffentliches Verkehrssystem entwickelt und erprobt. Durch digitale Feedbackmechanismen wurden Fahrgäste in Communities vernetzt, konnten Probleme melden und Vertrauen über Bewertungsfunktionen aufbauen. Städte und Verkehrsanbieter erhielten dadurch Echtzeit-Einblicke in die Wahrnehmung ihrer Dienste und konnten Verbesserungen gezielt umsetzen. Das Pilotprojekt zeigte, dass sich so Mobilitätsangebote attraktiver gestalten, Verkehrsaufkommen reduzieren und städtische Räume effizienter nutzen lassen.;IMPACTS
https://de.mi4people.org/marinelitterdetectionviasatellites;Erkennung von Meeresmüll über Satelliten;Datenanwendung für die Öffentlichkeit, KI Anwendung, Machine Learning, interaktive Karte/ Verzeichnis, Computer Vision;International, Umwelt, Meeresschutz;https://de.mi4people.org/marinelitterdetectionviasatellites;MI4people;in Planung;Das Projekt von MI4people erstellt eine globale Karte von Meeresmüll mittels Computer-Vision. In Satellitenbildern werden Plastik und anderer Meeresmüll sowie dessen Position und Größe (fast) in Echtzeit identifiziert und verzeichnet. So tragen KI und maschinelles Lernen dazu bei, bessere Entscheidungen im Bezug auf Müllvermeidung und Meeresreinigung zu fällen. Außerdem tragen transparente Infromationen zur Bewusstseinsbildung bei der bevölkerung bei.;
https://de.mi4people.org/general-computer-vision-for-healthcare;General Computer Vision für das Gesundheitswesen;KI Anwendung, Machine Learning,Computer Vision;International, Gesundheit, Kongo;https://de.mi4people.org/general-computer-vision-for-healthcare;MI4people;in Planung;Länder mit mittlerem und niedrigem Einkommen sind ganz besonders von Magel in Gesunheitsberufen betroffen. Daher arbeitet ein Team bei MI4People an einem open-source Computer-Vision-System für die medizinische Bildanalyse, das Ärzt*innen weltweit bei der Diagnose unterstützen kann, auch wenn es sich nicht um ihr Fachgebiet handelt. Ziel ist ein frei verfügbares Tool, das ein breites Krankheitsspektrum abdeckt und unterschiedliche Bildtypen wie Fotos, Röntgen-, CT- oder MRT-Aufnahmen verarbeiten kann.;
https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/;CHAIN (Combined Homelessness and Information Network) ;Datenanwendung für die Öffentlichkeit, Erhebung, Dashboard;Wohnungslosenhilfe, Soziale Arbeit, Stadt;https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/;Homeless Link;online - in Betrieb;CHAIN (Combined Homelessness and Information Network) ist die umfassendste Datenbank zum Thema Obdachlosigkeit in Großbritannien. Das System wird von Homeless Link im Auftrag des Bürgermeisters von London betrieben und erfasst Informationen über Menschen, die auf der Straße leben oder einer Straßenlebensweise nachgehen. Outreach-Teams und spezialisierte Dienste dokumentieren Daten zu Unterstützungsbedarfen, Kontakten und Unterbringung, um Hilfe passgenau zu koordinieren und Doppelarbeit zu vermeiden. Die Berichte aus CHAIN liefern Entscheidungsträger\*innen wichtige Einblicke in Trends und Bedarfe und tragen so zur strategischen Weiterentwicklung der Obdachlosenhilfe bei.;CHAIN
https://socialmap-berlin.de/l/de;Socialmap Berlin;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Stadt, Soziale Arbeit, Beratung;https://socialmap-berlin.de/l/de;Paritätischer Wohlfahrtsverband Berlin;online - in Weiterentwicklung;socialmap berlin ist eine Online-Datenbank für Angebote der sozialen Arbeit, die von Mitgliedsorganisationen des Paritätischen Wohlfahrtsverbands Berlin bereitgestellt werden. Nutzer\*innen können Angebote nach Themen, Zielgruppen, Sprachen und Bezirken filtern und Kurzbeschreibungen mit Kontaktdaten sowie Standorten direkt ausdrucken oder per QR-Code abrufen. Die Plattform wird vom Paritätischen bereitgestellt, während die Organisationen ihre Einträge selbst pflegen.;socialmap
https://www.beratungsnetz-migration.de/l/de;Berliner Beratungsnetz für Zugewanderte;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Stadt, Soziale Arbeit, Integration, Migration ;https://www.beratungsnetz-migration.de/l/de;Verband für interkulturelle Arbeit (VIA) Regionalverband Berlin/Brandenburg e.V., GANGWAY – Straßensozialarbeit in Berlin e.V.;online - in Weiterentwicklung;Das „Berliner Beratungsnetz für Zugewanderte“ ist eine Online-Datenbank mit Beratungsangeboten für zugewanderte Menschen, die als Liste und Karte zur Verfügung steht. Dabei sind sowohl klassisch orientierende Migrationsberatungsstellen enthalten als auch die in den letzten Jahren entstandenen spezifischen Beratungs- und Unterstützungsangebote. Die Plattform richtet sich an Berater*innen und Fachkräfte, die Klient*innen weitervermitteln möchten.;BfZ
https://mittendrin.in/l/de;Mittendrin in Brandenburg;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Stadt, Senior*innen, Soziale Arbeit;https://mittendrin.in/l/de;Akademie 2. Lebenshälfte im Land Brandenburg e.V.;online - in Weiterentwicklung;mittendrin.in Brandenburg ist eine Informationsplattform für Menschen in der zweiten Lebenshälfte sowie für Ältere mit Pflegebedarf und ihre Angehörigen. Nutzerinnen und Anbieterinnen können Angebote aus Bereichen wie Freizeit, Beratung, Kultur oder Unterstützung selbst eintragen und abrufen. Alle Einträge werden geprüft und enthalten Angaben zu Kontakt und Barrierefreiheit. Ziel ist es, landesweit relevante Angebote zentral zugänglich zu machen, soziale und kulturelle Teilhabe zu fördern und digitale Kompetenzen zu stärken.;
https://beyond-ai-collective.org/de/projects/kimodi/;KI-MoDi;KI Anwendung, Toolanalyse;Teilhabe, Antidiskriminierung;https://beyond-ai-collective.org/de/projects/kimodi/;beyond AI Collective;abgeschlossen/ eingestellt;KIMODI untersucht das selbst entwickelte Content-Moderation-Assistenz-Systems KOSMO auf Diskriminierungsrisiken in Online-Diskussionen und erarbeitet dafür ein Modell zur Analyse und reduktion von Diskriminierung in KI-Sprachmodellen. Das Ziel ist, mit mathematisch-statistische, technischen und nicht-technischen Verfahren Diskriminierung durch KI-Sprachmnodelle zu vermeiden.;KI-MoDi
www.glaice.de;GLAICE - KI-basierte Assistenz für ein Leben mit Diabetes;Datenanwendung für Öffentlichkeit, KI Anwendung;Gesundheit, Diabetes;www.glaice.de;Glaice;online - in Testbetrieb;Glaice ist eine digitale Gesundheits-App, die Menschen mit Diabetes (Typ 1 und Typ 2) datenbasiert unterstützt. Das System analysiert persönliche Gesundheits-, Lebensstil- und Blutzuckerdaten mithilfe eines wissenschaftlich fundierten Algorithmus. Die App liefert nutzerzentrierte, verständliche Empfehlungen und maßgeschneiderte Beratung, um Sicherheit und Kontrolle im Alltag zu fördern. Dabei steht eine intuitive Benutzeroberfläche im Fokus, die auf sämtlichen Erfahrungsniveaus bedienbar ist.;GLAICE
https://www.dfki.de/web/forschung/projekte-publikationen/projekt/stereoff;StereOFF ‒ Automatisierte Identifikation und Analyse von Geschlechterstereotypen;KI Anwendung, Datenanalyse;Schule, Bildung, Antidiskriminierung, Gleichberechtigung, Teilhabe;https://www.dfki.de/web/forschung/projekte-publikationen/projekt/stereoff;Deutsches Forschungszentrum für Künstliche Intelligenz;abgeschlossen/ eingestellt;Das Projekt StereOFF entwickelt ein KI-Tool, das Geschlechterstereotype in Lehrmaterialien automatisch erkennt und analysiert. Ziel ist es, das Bewusstsein für Geschechterungleichheiten zu schärfen und eine gerechtere Bildung zu fördern.;StereOFF
https://integreat-app.de/;Integreat;Datenanwendung für die Öffentlichkeit, KI Anwendung, Open Source, Mehrsprachigkeit, Wissensplattform;Migration, Beratung, Teilhabe, Integration;https://integreat-app.de/;Tür an Tür – Digitalfabrik gGmbH;online - in Weiterentwicklung;Integreat ist eine offene Integrationsplattform, die Städten und Landkreisen ermöglicht, Informationen für Zugewanderte zentral, mehrsprachig und barrierefrei bereitzustellen – als App, Website und bei Bedarf auch in Druckform. Inhalte können ohne IT-Kenntnisse gepflegt, automatisch übersetzt und lokal angepasst werden. Über 100 Kommunen setzen Integreat ein. Die Software wird Open-Source entwickelt.;
https://tuerantuer.de/digitalfabrik/projekte/netzwerkobdachwohnen/;Netzwerk Obdach und Wohnen;Datenanwendung für die Öffentlichkeit, KI Anwendung, interaktive Karte/ Verzeichnis, Mehrsprachigkeit;Wohnungslosenhilfe, Kältehilfe;https://tuerantuer.de/digitalfabrik/projekte/netzwerkobdachwohnen/;Tür an Tür – Digitalfabrik gGmbH;online - in Testbetrieb;Netzwerk Obdach & Wohnen ist eine digitale Plattform, die wohnungslosen Menschen verständliche und aktuelle Informationen zu Beratungsstellen, Notübernachtungen und Unterstützungsangeboten bereitstellt. Inhalte werden direkt von kommunalen Verwaltungen und Hilfsorganisationen gepflegt und sind über eine barrierearme Webanwendung auf Smartphone und PC zugänglich. Mehrsprachigkeit und eine datensparsame Kartenfunktion erleichtern die Nutzung, sodass Betroffene informierte Entscheidungen treffen und passende Hilfen finden können.;
https://de.mi4people.org/dofe;DOfE - Data Open for Everyone;Datenanwendung für Öffentlichkeit, Dashboard, Open Data;Demokratie, Transparenz, Umwelt;https://de.mi4people.org/dofe;MI4people;online - in Testbetrieb;DOfE – Data Open for Everyone entwickelt eine Plattform, die wichtige Daten wie Inflation, Arbeitslosenquote und Temperaturen in Deutschland sammelt, übersichtlich darstellt und verständlich aufbereitet. Ziel ist es, Transparenz in politischen Entscheidungsprozessen zu fördern.;DOfE
https://unique-united.de/;Unique United;Datenanwendung für Öffentlichkeit,Wissensplattform, Crowd-Sourced Daten, KI Anwendung;Inklusion, Teilhabe;https://unique-united.de/;Unique United GmbH;online - in Weiterentwicklung;Unique United ist eine von Menschen mit Behinderung entwickelte Plattform, die barrierefreie Vernetzung in allen Lebensbereichen ermöglicht. Sie bietet digitale Werkzeuge wie KI-gestützte barrierefreie Videos, Tools für Leichte Sprache, Fotokurse oder Programme für digitale Kompetenzen. Durch den Austausch von Angeboten, Tutorials und Hilfestellungen fördert die Plattform Inklusion und schafft neue Chancen für Teilhabe und ein selbstbestimmtes Leben.;
https://consul.mehr-demokratie.info/;"Beteiligungsplattform ""Consul""";Datenanwendung für die Öffentlichkeit, Beteiligungsplattform, Open Source, Tool;Stadt, Demokratie, Teilhabe, Transparenz;"https://consul.mehr-demokratie.info/";Mehr Demokratie e.V.;online - in Betrieb;Consul ist eine Beteiligungsplattform für die Umsetzung von direkter Demokratie mit Fokus auf Städte, mit der Bürger*innen Vorschläge für politische Entscheidungsvorlagen eingereicht und darüber abstimmen können. Sie wurde ursprünglich in Spanien entwickelt und als Open Source Software durch Mehr Demokratie e.V. in Deutschland aufgegriffen.;
senf.app;Senf.app Köln;Datenanwendung für die Öffentlichkeit, Beteiligungsplattform, KI Anwendung, Dashboard, Tool;Stadt, Demokratie, Teilhabe, Transparenz;senf.app;Fuhr, Morino, Wild von Hohenborn GbR;online - in Betrieb;Senf ist eine digitale Beteiligungsplattform für Städteplanungsprojekte, um den Stadtraum aktiv mitzugestalten. Dort können Bürger*innen ihre Visionen für die Stadt auf einer interaktiven Karte teilen, liken und kommentieren. Die Auswertung erfolgt automatisiert mithilfe von KI.;
https://machine-vs-rage.bag-gegen-hass.net/;Machine Against the Rage;Datenanwendung für die Öffentlichkeit, Datenanalyse, Dashboard;Demokratie, Transparenz, Antirassismus;https://machine-vs-rage.bag-gegen-hass.net/;BAG »Gegen Hass im Netz«;online - in Weiterentwicklung;Machine against the rage ist ein Trendreport der BAG „Gegen Hass im Netz“, der Muster, Trends und Dynamiken digitalen Hasses untersucht. Mithilfe von Daten- und Netzwerkanalysen sowie qualitativer Forschung werden demokratiefeindliche Entwicklungen sichtbar gemacht und im vierteljährlich erscheinenden Report aufbereitet. Ergänzt durch ein visuelles Dashboard, Policy Briefs und Videos liefert der Report ein Frühwarnsystem für Politik und Öffentlichkeit, um extremistische Tendenzen und gefährliche Meinungsveränderungen frühzeitig zu erkennen und einzuordnen.;
https://frankfurter-plattform-55plus.de/;Frankfurter Plattform 55+;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis, Crowd-Sourced Daten;Teilhabe, Senioren;https://frankfurter-plattform-55plus.de/;VHS Frankfurt;online - in Betrieb;Die Frankfurter Plattform 55+ ist ein zentrales Online-Portal für Bildungs- und Beratungsangebote für ältere Menschen in Frankfurt am Main. Initiiert von der VHS Frankfurt im Auftrag der Stadt, bündelt die Plattform vielfältige Angebote in den Bereichen „Bildung & Begegnung“ sowie „Beratung & Hilfe“. Ziel ist es, Senior*innen einen schnellen und transparenten Überblick über ortsnahe Angebote zu geben, kulturelle Teilhabe zu fördern und lebenslanges Lernen zu unterstützen. Die Plattform lebt vom Mitwirken zahlreicher Anbietender und der aktiven Nutzung durch die Frankfurter Stadtgesellschaft.;FP55+
https://jugendhilfe.ai/;jugendhilfe.ai;Datenanwendung für die Öffentlichkeit, KI Anwendung, Tool;Soziale Arbeit, Jugendhilfe, Legal Tech;https://jugendhilfe.ai/;Social Impact gGmbH;online - in Weiterentwicklung;Jugendhilfe.ai bietet eine KI-gestützte Suchmaschine für Fachkräfte, die gesetzliche Ansprüche und Finanzierungsmöglichkeiten schnell auffindbar macht. Ein Sprachmodell (LLM) verarbeitet Gesetzestexte zu verständlichen Antworten, spart Arbeitszeit und erleichtert die Hilfeplanung.;JUGENDHILFE.ai
https://www.tmz-hamm.de/;telemedizin zentrum hamm;KI Anwendung, Telemedizin, Datenanwendung für die Öffentlichkeit;Demenz, pflegende Angehörige, gesundheit;https://www.tmz-hamm.de/;Hochschule Hamm Lippstadt;online - in Weiterentwicklung;Die Plattform unterstützt pflegende Angehörige, indem sie neben Online-Kursen und Beratungen auch telemedizinische KI-gestützte Anwendungen zur Demenzfrüherkennung entwickelt und anbietet.;TMZ Hamm
https://www.generationgermany.de/presse/;Generation Germany Jugendstudie;Datenanwendung für Öffentlichkeit, Erhebung, Datenanalyse, Datenvisualisierung;Demokratie, Partizipation, Jugendbeteiligung;https://www.generationgermany.de/presse/;Children for a better World e.V.;online - in Betrieb;Zur Förderung von Demokratie und Jugendbeteiligung veröffentlicht der spendenfinanzierte Verein Children for a better world regelmäßig begleitende Studien zu ihrem Demokratiefestival durch.;GenGer
https://go.ifrc.org/;IFRC GO - Disaster Response and Preparedness;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis, Open Source;Katastrophenschutz, Humanitäre Hilfe;https://go.ifrc.org/;International Federation of Red Cross;online - in Betrieb;Die Plattform IFRC GO des Internationalen Roten Kreuzes bündelt Informationen über Katastrophen zentral auf einem Dashboard und interaktiven Karte. Damit sollen Entscheidungen für den Einsatz von humanitärer Hilfe datenbasiert unterstützt, Frühwarnungen ermöglicht und der weltweite Einsatz sichtbar gemacht werden.;GO
