Index,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Projekt-Abkürzung,Lizenz,Lizenz-Organisation
10,https://correlaid.org/projekte/projektdatenbank/2024-11-LAF,Auswertung einer Umfrage zu KI im Ehrenamt,"['reporting', 'visualization', 'exploratory']","['survey', 'text']","https://digital-vereint.de/aktuelles/ki-anwendungen-im-ehrenamt-hype-oder-echter-nutzen/, https://github.com/CorrelAid/dv_ai_survey, https://civic-data.de/ki-ehrenamt/","Civic Data Lab, lagfa bayern, CorrelAid e.V.",Abgeschlossen,Wie nutzen bayerische Vereine KI im Ehrenamt? Wir werten eine Umfrage von digital verein(t) aus und visualisieren die Ergebnisse.,,CC-BY 4.0,https://correlaid.org/
11,https://correlaid.org/projekte/projektdatenbank/2025-01-SGC,Data Story mit Konstanzer Klima- und Wetterdaten,"['visualization', 'data_management']",['open'],"https://stadtdaten.konstanz.digital/stadtklima/ , https://github.com/sgc-kn/dashboards","Smart Green City Konstanz, CorrelAid e.V.",Abgeschlossen,"Offene Klima- und Wetterdaten aus Konstanz werden zur Data Story: Bürger*innen sehen, wie sich das Stadtklima verändert und wo Anpassungsmaßnahmen wirken.",,CC-BY 4.0,https://correlaid.org/
12,https://correlaid.org/projekte/projektdatenbank/2025-05-SIL,Improving and upgrading the Silbernetz dashboard,"['reporting', 'visualization', 'impact']","['process', 'geospatial']",,"Silbernetz e.V., CorrelAid e.V.",Abgeschlossen,"Silbernetz e.V. nutzt ein Dashboard, das die Fundraising-Arbeit revolutioniert hat. Wir modernisieren die Codebasis und optimieren den Bereitstellungsprozess.",,CC-BY 4.0,https://correlaid.org/
13,https://correlaid.org/projekte/projektdatenbank/2025-05-CAS,Automatisierung von Berichten aus Evaluationsdaten,"['reporting', 'visualization', 'automation', 'impact']",['survey'],,"Coach@School, CorrelAid e.V.",Abgeschlossen,"coach@school sammelt wertvolle Umfragedaten, aber die Auswertung kostet viel Zeit. Wir automatisieren die Berichte und machen sie visuell überzeugender.",,CC-BY 4.0,https://correlaid.org/
14,https://correlaid.org/projekte/projektdatenbank/2025-10-ECF,Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI),"['automation', 'open_source', 'data_management', 'data_collection']","['survey', 'open']",,"European Community Foundation Initiative, CorrelAid e.V.",Laufend,Die ECFI braucht einen Überblick über Europas Gemeinschaftsstiftungen. Wir bauen eine DSGVO-konforme Open-Source-Datenbank für systematische Erfassung und Visualisierung.,,CC-BY 4.0,https://correlaid.org/
15,https://correlaid.org/projekte/projektdatenbank/2025-05-PBE, Fortschritts-Monitor,"['automation', 'impact']",['process'],,"Phase BE, CorrelAid e.V.",Abgeschlossen,"Phase BE begleitet Jugendliche in die Berufswelt. Wir entwickeln ein Ampelsystem, das Fortschritte zentral bündelt und Unterstützungsbedarf sofort sichtbar macht.",,CC-BY 4.0,https://correlaid.org/
16,https://correlaid.org/projekte/projektdatenbank/2026-02-DTC,Bedarfsorientierte Wirkungsmessung für mehr sozial-emotionale Kompetenzen an Schulen,"['visualization', 'automation', 'impact', 'data_management', 'data_collection']",['survey'],,"Dare2Care, CorrelAid e.V.",Laufend,"Wirkungsmessung für sozial-emotionale Schulprogramme: Wir entwickeln mit Dare2Care Fragebögen und Tools, die zeigen, wie Resilienztraining an Schulen wirkt.",,CC-BY 4.0,https://correlaid.org/
17,https://correlaid.org/projekte/projektdatenbank/2026-01-KMB,Von Daten zu Wirkung – Datenbasierte Argumente für Bildungsgerechtigkeit,"['reporting', 'visualization', 'automation', 'data_management', 'data_collection']","['survey', 'process', 'text']",,"Stiftung ein Quadratkilometer Bildung, CorrelAid e.V.",Laufend,"km2 Bildung sammelt jährlich Daten aus lokalen Bildungsnetzwerken, doch Auswertungen scheitern an fehlenden Standards. Wir schaffen Strukturen für datenbasierte Argumente.",,CC-BY 4.0,https://correlaid.org/
18,https://correlaid.org/projekte/projektdatenbank/2026-03-CHW,(Teil)-Automatisierung von Datenprozessen im Kontext Wirkungsmessung,"['visualization', 'automation', 'data_management']",['survey'],,"Chancenwerk e.V., CorrelAid e.V.",Laufend,"Wirkungsmessung bei Chancenwerk braucht weniger Handarbeit. Wir automatisieren Datenexport, Bereinigung und Auswertung mit maßgeschneiderten Tools.",,CC-BY 4.0,https://correlaid.org/
19,https://correlaid.org/projekte/projektdatenbank/2026-04-KSJ,Prozessoptimierung und Datenprodukte für besseres Wirkungsmanagement,"['reporting', 'automation', 'impact', 'data_management', 'data_collection']","['survey', 'process', 'text']",,"Kindersprachbrücke Jena e.V., CorrelAid e.V.",Laufend,Die Kindersprachbrücke Jena will Wirkung in der Jugendhilfe besser messen. Wir vereinheitlichen Datenquellen und bauen ein Dashboard für schnelle Auswertungen.,,CC-BY 4.0,https://correlaid.org/
20,https://correlaid.org/projekte/projektdatenbank/2026-03-KMS,“Es war einmal… Wirkung” - Data Storytelling zum Engagement für bessere KI Bildung,"['reporting', 'visualization', 'automation', 'web_development']",['process'],,"KI macht Schule, CorrelAid e.V.",Laufend,Über 100 Ehrenamtliche bringen KI-Bildung an Schulen. Wir machen ihre Wirkung mit Data Storytelling sichtbar – für Förderpartner und die Öffentlichkeit.,,CC-BY 4.0,https://correlaid.org/
21,https://correlaid.org/projekte/projektdatenbank/2026-03-AEF,Wirkungsmessung & Datenintegration für mehr Bildungsgerechtigkeit,"['reporting', 'visualization', 'automation', 'impact', 'data_collection']","['survey', 'process']",,"Aelius Förderwerk e.V., CorrelAid e.V.",Laufend,"Wirkungsmessung für Bildungsgerechtigkeit: Wir integrieren Datenquellen des Aelius Förderwerks und bauen ein Dashboard, das Steuerung und Kommunikation verbessert.",,CC-BY 4.0,https://correlaid.org/
22,https://correlaid.org/projekte/projektdatenbank/2019-01-MAP,Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen,"['exploratory', 'modeling']",['process'],https://osf.io/3zsn6/,"Mannheimer Platte, CorrelAid e.V.",Abgeschlossen,"Die Mannheimer Platte serviert bezahlbare Mahlzeiten für Bedürftige. Wir analysieren 17 Jahre Verkaufsdaten, um Nachfragemuster zu erkennen und Lebensmittelverschwendung zu reduzieren.",,CC-BY 4.0,https://correlaid.org/
23,https://correlaid.org/projekte/projektdatenbank/2025-06-UFZ,Monitoring der Verfügbarkeit und Kapazität des Beratungsangebots U25,"['reporting', 'visualization', 'exploratory']",['process'],,"U25, CorrelAid e.V.",Laufend,"U25 berät suizidgefährdete junge Menschen, doch die Kapazität schwankt. Wir werten Ampeldaten aus und machen Engpässe sichtbar.",,CC-BY 4.0,https://correlaid.org/
24,https://correlaid.org/projekte/projektdatenbank/2020-10-OKP,Python Paket für Open Data der Stadt Konstanz,['open_source'],"['open', 'administrative']","https://github.com/MisterXY89/konstanz-open-data-api/, https://pypi.org/project/opencity/","Offene Daten Konstanz, CorrelAid e.V.",Abgeschlossen,"Die Stadt Konstanz veröffentlicht Open Data, wir machen sie durch die Entwicklung eines Python Pakets einfach nutzbar für Data Scientists.",,CC-BY 4.0,https://correlaid.org/
25,https://correlaid.org/projekte/projektdatenbank/2026-05-MIC,Von Umfragedaten zu Grafiken: App zur Optimierung von Datenvisualisierungsworkflows,"['visualization', 'automation']",['survey'],,"More in Common e.V., CorrelAid e.V.",Laufend,"Import/Export, manuelle Datenaufbereitung in Excel und zeitaufwändige Fehlerprüfung: So sah der Datenvisualisierungsprozess bei More in Common bis jetzt aus. Wir entwickeln eine Shiny-App, um diese Arbeitsabläufe zu optimieren und teilweise zu automatisieren.",,CC-BY 4.0,https://correlaid.org/
26,https://correlaid.org/projekte/projektdatenbank/2026-06-HER,Analyse der Wirkung von außerschulischem Erfahrungslernen auf Lehrkräfte,"['reporting', 'exploratory', 'impact', 'modeling']",['survey'],,"HERAUSFORDERUNG einfach machen, CorrelAid e.V.",Laufend,"„HERAUSFORDERUNG einfach machen“ fehlen Zeit und Kompetenzen, um aus quantitativen Wirkungsdaten fundierte Erkenntnisse zu ziehen. Wir analysieren die Daten und dokumentieren die Ergebnisse in einem Report.",,CC-BY 4.0,https://correlaid.org/
27,https://correlaid.org/projekte/projektdatenbank/2026-06-YFU,Datenbasierte Steuerung für Schüleraustauschprogramme,"['reporting', 'visualization', 'data_management']","['process', 'bevhavioral']",,"Youth For Understanding Deutschland e.V., CorrelAid e.V.",Laufend,YFU will datenbasierte Entscheidungen treffen. Wir konzipieren KPIs und bauen Datenprozesse und ein Dashboard.,,CC-BY 4.0,https://correlaid.org/
28,https://correlaid.org/projekte/projektdatenbank/2026-06-LLH,Datenbasierte Steuerung eines Kursangebots für Menschen mit Krebs ermöglichen,"['data_collection', 'data_management', 'reporting', 'visualization']","['survey', 'process']",,"lebensmut Landshut e.V., CorrelAid e.V.",Laufend,lebensmut Landshut will qualitativ hochwertige und bedarfsorientierte Kurse für Menschen mit Krebs anbieten. Wir ermöglichen eine datenbasierte Steuerung des spendenfinanzierten Kursangebots.,,CC-BY 4.0,https://correlaid.org/
29,https://correlaid.org/projekte/projektdatenbank/2015-08-PBN,Analyse einer Mitgliederbefragung des Pfadfinderbunds Nord,"['reporting', 'exploratory']",['survey'],,"Pfadfinder*innenbund Nord, CorrelAid e.V.",Abgeschlossen,Der Pfadfinderbund Nord befragt regelmäßig seine 1000 Mitglieder. Wir werten die Umfragedaten aus und machen Erkenntnisse für die 15 Stämme nutzbar.,,CC-BY 4.0,https://correlaid.org/
30,https://correlaid.org/projekte/projektdatenbank/2026-03-KKN,Datenvisualisierungen für die Konstanzer Schüler*innen-Umfrage,['visualization'],['survey'],"https://karla-magazin.de/politik/was-konstanzer-schuelerinnen-wirklich-ueber-ihre-schule-denken, https://karla-magazin.de/meinung/wie-wir-die-demokratie-auf-dem-schulklo-retten, https://karla-magazin.de/politik/wir-muessen-schulen-klueger-planen, https://www.instagram.com/p/DYkCE4DiETd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==","karla Magazin, CorrelAid e.V.",Abgeschlossen,Für die Umfrage von karla unter Konstanzer Schüler*innen werten wir die Daten aus und übersetzen sie in Visualisierungen für die Artikel-Serie.,,CC-BY 4.0,https://correlaid.org/
31,https://correlaid.org/projekte/projektdatenbank/2018-11-TVK,Mitgliederbefragung des Turnvereins Käfertal,"['data_collection', 'reporting']",['survey'],,"Turnverein 1880 Käfertal, CorrelAid e.V.",Abgeschlossen,"Der TV Käfertal will wissen, was seine Mitglieder bewegt. Wir werten eine Befragung aus und zeigen, wo Kommunikation und Strukturen besser werden können.",,CC-BY 4.0,https://correlaid.org/
32,https://correlaid.org/projekte/projektdatenbank/2019-02-MIN,tf-idf zu Babel: Text Mining zur Optimierung von automatisierten Prozessen in multilingualen Kontexten,"['exploratory', 'modeling']",['process'],,"Minor Kontor, CorrelAid e.V.",Abgeschlossen,"Minor EU erreicht Migranten über Facebook-Gruppen. Wir bauen ein Tool, das relevante Beiträge automatisch filtert und die manuelle Sortierung erspart.",,CC-BY 4.0,https://correlaid.org/
33,https://correlaid.org/projekte/projektdatenbank/2019-06-WEL,Automatisierte Reportgenerierung zur Verbesserung der Arbeit der Weltläden,['automation'],['process'],,"Weltladen Dachverband, CorrelAid e.V.",Abgeschlossen,Der Weltladen Dachverband befragt jährlich seine Mitglieder. Wir automatisieren die Erstellung von über 300 individualisierten Reports mit R und LaTeX.,,CC-BY 4.0,https://correlaid.org/
34,https://correlaid.org/projekte/projektdatenbank/2019-10-BEE,Mithilfe von Machine Learning Anomalien in Bienenstöcken erkennen,['modeling'],['open'],"https://www.youtube.com/watch?v=POqqK7Qj4cU, https://www.youtube.com/watch?v=eGZ98pMt4YI","Bee Observer BOB, CorrelAid e.V.",Abgeschlossen,Maschinelles Lernen auf Sensordaten aus Bienenstöcken erkennt Anomalien und alarmiert Imker*innen rechtzeitig bei Notfällen.,,CC-BY 4.0,https://correlaid.org/
35,https://correlaid.org/projekte/projektdatenbank/2019-11-WBD,Dashboard für das Tracking von Websitezugriffszahlen,['visualization'],['process'],,CorrelAid e.V.,Abgeschlossen,"Wir bauen ein internes Dashboard, das Website-Zugriffszahlen zentral bündelt und die Analyse wichtiger Metriken auf einen Blick ermöglicht.",,CC-BY 4.0,https://correlaid.org/
36,https://correlaid.org/projekte/projektdatenbank/2019-11-ODA,Weiterbildungen im nachhaltigen Sektor fördern,['web_development'],['process'],https://www.umweltprofis.ch/assessment,"OdA Umwelt, CorrelAid e.V.",Abgeschlossen,"Wer sich im Nachhaltigkeitsbereich weiterbilden will, verliert schnell den Überblick. Wir bauen eine durchsuchbare Datenbank mit Bewertungsfunktion für Qualifikationsangebote.",,CC-BY 4.0,https://correlaid.org/
37,https://correlaid.org/projekte/projektdatenbank/2020-01-KOM,Komunat - die Wirkung von Wahlentscheidungshilfen bei Kommunalwahlen,"['exploratory', 'visualization', 'reporting']","['survey', 'process']",https://youtu.be/JJoEJGc1eNc?t=2745,"VOTO, CorrelAid e.V.",Abgeschlossen,"Wir analysieren Nutzungsdaten des KOMUNAT, einer Wahlentscheidungshilfe für Kommunalwahlen, und zeigen, wie solche Tools Wahlverhalten beeinflussen können.",,CC-BY 4.0,https://correlaid.org/
38,https://correlaid.org/projekte/projektdatenbank/2020-03-DEN,Wer ist interessiert an einem guten Leben im ländlichen Raum?,"['data_collection', 'visualization']","['survey', 'administrative']",https://www.berliner-zeitung.de/mensch-metropole/ein-herrenhaus-in-der-warteschleife-li.102754,"Denk-mal-Kultur e.V., CorrelAid e.V.",Abgeschlossen,Wie gelingt selbstbestimmtes Altwerden auf dem Land? Wir befragen Bevölkerung und lokale Akteur*innen und liefern Erkenntnisse für Fundraising und Partnersuche.,,CC-BY 4.0,https://correlaid.org/
39,https://correlaid.org/projekte/projektdatenbank/2020-03-ERL,Interaktives Dashboard zur besseren Darstellung von Verschuldungsdaten,"['visualization', 'automation']",['administrative'],"https://github.com/CorrelAid/erlassjahr, https://erlassjahr.de/informieren/karte-ueberschuldete-staaten-weltweit/","Erlassjahr e.V., CorrelAid e.V.",Abgeschlossen,"Erlassjahr.de setzt sich für faire Entschuldung ein. Wir bauen eine interaktive Weltkarte mit R und Shiny, die Verschuldungsdaten zugänglich macht.",,CC-BY 4.0,https://correlaid.org/
40,https://correlaid.org/projekte/projektdatenbank/2020-05-EYP,Anschauliche Aufbereitung von Umfragen zur Teilnehmerstruktur und dem Impact von Veranstaltungen,['exploratory'],"['survey', 'process']",,"European Youth Parliament, CorrelAid e.V.",Abgeschlossen,"Das Europäische Jugendparlament will wissen, wie seine Events wirken. Wir analysieren Umfragedaten und visualisieren Teilnehmerprofile und Wirkungsindikatoren.",,CC-BY 4.0,https://correlaid.org/
41,https://correlaid.org/projekte/projektdatenbank/2020-10-CIT,Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform,['modeling'],"['process', 'open']","https://github.com/correlaid-paris/citizen_science_inaturalist, https://youtu.be/JJoEJGc1eNc?t=3032, https://inaturalist-cnc.correlaid.org/, https://arxiv.org/abs/2112.02693, https://github.com/correlaid-paris/open_inaturalist_code",CorrelAid e.V.,Abgeschlossen,"Wer nutzt iNaturalist und wie? Wir analysieren offene Daten der Citizen-Science-Plattform und zeigen, wie sich Nutzertypen und Interaktionsmuster über die Zeit entwickeln.",,CC-BY 4.0,https://correlaid.org/
42,https://correlaid.org/projekte/projektdatenbank/2020-10-ODR,R Paket für Open Data API der Stadt Konstanz,['open_source'],"['open', 'administrative']",https://github.com/PhilippMartinBosch/CitiesRopen,"Offene Daten Konstanz, CorrelAid e.V.",Abgeschlossen,"Die Stadt Konstanz veröffentlicht Open Data, wir machen sie durch die Entwicklung eines R Pakets einfach nutzbar für Data Scientists.",,CC-BY 4.0,https://correlaid.org/
43,https://correlaid.org/projekte/projektdatenbank/2020-11-MAR,Datenvisualisierungen für mehr Aufmerksamkeit für illegale Pushbacks,['visualization'],['process'],"https://cms.correlaid.org/assets/0620a79e-e97d-45d8-aa16-a7b5867f40c3, https://youtu.be/JJoEJGc1eNc?t=222, https://cms.correlaid.org/assets/f804a3f2-e40c-4c04-9867-923c33865910","Mare Liberum, CorrelAid e.V.",Abgeschlossen,"Mare Liberum dokumentiert illegale Pushbacks im Mittelmeer. Wir bereinigen ihre Datenbank und erstellen Visualisierungen, die das Thema sichtbarer machen.",,CC-BY 4.0,https://correlaid.org/
44,https://correlaid.org/projekte/projektdatenbank/2021-02-CFE,Diversität erforschen - Visualisierung der Afrozensus Umfrage in R,['visualization'],['survey'],https://afrozensus.de,"Citizens for Europe, CorrelAid e.V.",Abgeschlossen,"Der Afrozensus ist die größte Umfrage unter Menschen afrikanischer Abstammung in Deutschland. Wir entwickeln ein R-Paket, das Visualisierungen automatisiert und Datenexploration vereinfacht.",,CC-BY 4.0,https://correlaid.org/
45,https://correlaid.org/projekte/projektdatenbank/2021-03-HAC,"Erstellung eines interaktiven Survey-Reports für die Hacklab Foundation, Ghana",['visualization'],['survey'],"https://github.com/CorrelAid/hacklab-foundation, https://correlaid.github.io/hacklab-foundation/Developer-Census-2020-Report.html, https://github.com/Hacklab-Foundation/Developer-Census-2020, https://youtu.be/JJoEJGc1eNc?t=421","Hacklab Foundation, CorrelAid e.V.",Abgeschlossen,Die Hacklab Foundation in Ghana will ihre Developer Community besser verstehen. Wir analysieren Survey-Daten und machen sie in einem interaktiven Report für alle zugänglich.,,CC-BY 4.0,https://correlaid.org/
46,https://correlaid.org/projekte/projektdatenbank/2021-03-NAK,Ein Dashboard zur Steigerung der Motivation von ehrenamtlichen Tutor*innen,['web_development'],['process'],https://github.com/CorrelAid/naklar.io,CorrelAid e.V.,Abgeschlossen,"Eine Nachhilfeplattform braucht motivierte Ehrenamtliche. Wir bauen ein Dashboard, das Tutor*innen ihre Wirkung zeigt – von Schülerfeedback bis Lernfortschritt.",,CC-BY 4.0,https://correlaid.org/
47,https://correlaid.org/projekte/projektdatenbank/2021-04-KOB,R Wrapper für die KoboToolbox API,['open_source'],['survey'],"https://github.com/CorrelAid/kbtbr, https://correlaid.github.io/kbtbr/",CorrelAid e.V.,Abgeschlossen,"Wir entwickeln ein R-Package, das den programmatischen Zugriff auf die KoboToolbox API ermöglicht und so Daten-Workflows für Feldforschung automatisiert.",,CC-BY 4.0,https://correlaid.org/
48,https://correlaid.org/projekte/projektdatenbank/2021-07-CGV,Matching-Algorithmus für die Vereinheitlichung von Ortsnamen in Verlustlisten des 1. Weltkrieges,"['modeling', 'nlp', 'open_source']","['open', 'text']","https://github.com/CorrelAid/compgen-ii-cgv/, https://github.com/CorrelAid/compgen-ii-cgv/wiki","Verein für Computergenealogie e.V., CorrelAid e.V.",Abgeschlossen,Millionen Datenpunkte von vor über 100 Jahren - wir helfen bei der Bereinigung für bessere offene Daten!,,CC-BY 4.0,https://correlaid.org/
49,https://correlaid.org/projekte/projektdatenbank/2021-07-SIL,Zeitersparnisse und verbesserte Wirkungskommunikation dank Automatisierung und Datenvisualisierungen,"['automation', 'visualization']",['process'],,"Silbernetz e.V., CorrelAid e.V.",Abgeschlossen,Silbernetz e.V. wertet Anrufdaten jetzt automatisch aus. Ein Shiny-Dashboard macht die Wirkung der Telefonseelsorge sichtbar und spart dem Team wertvolle Zeit.,,CC-BY 4.0,https://correlaid.org/
50,https://correlaid.org/projekte/projektdatenbank/2021-10-CAR,Alleinerziehend und arbeitslos: Analyse von Daten der Allgemeinen Sozialberatung der Caritas,['exploratory'],"['survey', 'process']","https://www.caritas.de/neue-caritas/heftarchiv/jahrgang2022/artikel/alleinerziehend-und-arbeitslos, https://github.com/CorrelAid/caritas-project","Deutscher Caritasverband e.V., Referat Soziale Lebenslagen und Solidarität, CorrelAid e.V.",Abgeschlossen,Wir analysieren Befragungsdaten der Caritas-Sozialberatung und zeigen: Alleinerziehende Mütter tragen ein besonders hohes Risiko für Langzeitarbeitslosigkeit.,,CC-BY 4.0,https://correlaid.org/
51,https://correlaid.org/projekte/projektdatenbank/2022-04-GEP,Python-Package für die GENESIS Datenbank,['open_source'],"['administrative', 'open']",https://github.com/CorrelAid/pystatis,CorrelAid e.V.,Abgeschlossen,"Wir entwickeln eine Python-Bibliothek, die den Zugriff auf GENESIS-Datenbanken der statistischen Ämter vereinheitlicht und für Analyse und Visualisierung optimiert.",,CC-BY 4.0,https://correlaid.org/
52,https://correlaid.org/projekte/projektdatenbank/2022-04-GER,R Wrapper for the Genesis API,['open_source'],"['administrative', 'open']","https://github.com/CorrelAid/restatis, https://cran.r-project.org/web/packages/restatis/index.html, https://correlaid.github.io/restatis/",CorrelAid e.V.,Abgeschlossen,Das R-Paket restatis macht Daten des Statistischen Bundesamtes leichter zugänglich und bringt GENESIS sowie die Zensus-Datenbank in ein einheitliches Interface.,,CC-BY 4.0,https://correlaid.org/
53,https://correlaid.org/projekte/projektdatenbank/2022-04-LAU,Entwicklung eines interaktiven Fragebogens zur Verbesserung von Kinderschutzmaßnahmen im Sport,"['visualization', 'web_development']",['process'],"https://laureus.shinyapps.io/Safeinsport-selfaudit/, https://www.laureus.de/international-safeguards-for-children-in-sport-laureus-sport-for-good-setzt-sich-aktiv-dafuer-ein-dass-der-sport-ein-sicherer-ort-fuer-jedes-kind-wird/","Laureus Sport For Good Germany, CorrelAid e.V.",Abgeschlossen,"Laureus Sport for Good nutzt einen Kinderschutz-Fragebogen, den wir als mehrsprachige Web-App umsetzen – mit visueller Auswertung und passenden Empfehlungen.",,CC-BY 4.0,https://correlaid.org/
54,https://correlaid.org/projekte/projektdatenbank/2022-07-COP,Wo sollen neue Fahrradparkplätze in Paris entstehen? Unterstützung der Entscheidungsfindung mit offenen Daten,"['exploratory', 'modeling']","['administrative', 'open']","https://github.com/CorrelAid/paris-bikes/, https://paris-bikes-wfiz3bgwsa-ew.a.run.app/","City of Paris , CorrelAid e.V.",Abgeschlossen,"Wo braucht Paris neue Fahrradparkplätze? Wir kombinieren offene Daten zu Angebot und Nachfrage in einer interaktiven Karte, die der Stadtverwaltung bei der Standortwahl hilft.",,CC-BY 4.0,https://correlaid.org/
55,https://correlaid.org/projekte/projektdatenbank/2022-07-MIP,Aufbau eines Systems zur Bewertung der Bodenqualität durch maschinelles Lernen und Computer Vision,"['open_source', 'modeling']",['open'],,CorrelAid e.V.,Unbekannt,"Maschinelles Lernen und Computer Vision ermöglichen neue Wege zur Bodenanalyse. Wir entwickeln ein System, das Bodenqualität automatisiert bewertet.",,CC-BY 4.0,https://correlaid.org/
