Index;Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation;data_source
25;https://correlaid.org/projekte/projektdatenbank/2026-05-MIC;Von Umfragedaten zu Grafiken: App zur Optimierung von Datenvisualisierungsworkflows;Web-App, Datenvisualisierung, Prozessautomatisierung, Dashboard, Automatisierung;Soziale Arbeit, Demokratie, Politische Bildung, Datenanalyse;;More in Common e.V., CorrelAid e.V.;Laufend;Import/Export, manuelle Datenaufbereitung in Excel und zeitaufwändige Fehlerprüfung: So sah der Datenvisualisierungsprozess bei More in Common bis jetzt aus. Wir entwickeln eine Shiny-App, um diese Arbeitsabläufe zu optimieren und teilweise zu automatisieren.;;CC-BY 4.0;https://correlaid.org/;Correlaid
26;https://correlaid.org/projekte/projektdatenbank/2026-06-HER;Analyse der Wirkung von außerschulischem Erfahrungslernen auf Lehrkräfte;Bericht, Reporting, Datenanalyse, Datenvisualisierung, Statistik;Forschung;;HERAUSFORDERUNG einfach machen, CorrelAid e.V.;Laufend;„HERAUSFORDERUNG einfach machen“ fehlen Zeit und Kompetenzen, um aus quantitativen Wirkungsdaten fundierte Erkenntnisse zu ziehen. Wir analysieren die Daten und dokumentieren die Ergebnisse in einem Report.;;CC-BY 4.0;https://correlaid.org/;Correlaid
27;https://correlaid.org/projekte/projektdatenbank/2026-06-YFU;Datenbasierte Steuerung für Schüleraustauschprogramme;Dashboard, Reporting, Datenvisualisierung, Datenanalyse, Datenportal;Bildung, Internationale, Kultur, Kinder- und Jugendhilfe;;Youth For Understanding Deutschland e.V., CorrelAid e.V.;Laufend;YFU will datenbasierte Entscheidungen treffen. Wir konzipieren KPIs und bauen Datenprozesse und ein Dashboard.;YFU;CC-BY 4.0;https://correlaid.org/;Correlaid
28;https://correlaid.org/projekte/projektdatenbank/2026-06-LLH;Datenbasierte Steuerung eines Kursangebots für Menschen mit Krebs ermöglichen;Dashboard, Datenvisualisierung, Prozessautomatisierung, Datenmanagement, Reporting;Gesundheit, Soziale Arbeit, Wohlfahrt;;lebensmut Landshut e.V., CorrelAid e.V.;Laufend;lebensmut Landshut will qualitativ hochwertige und bedarfsorientierte Kurse für Menschen mit Krebs anbieten. Wir ermöglichen eine datenbasierte Steuerung des spendenfinanzierten Kursangebots.;;CC-BY 4.0;https://correlaid.org/;Correlaid
29;https://correlaid.org/projekte/projektdatenbank/2015-08-PBN;Analyse einer Mitgliederbefragung des Pfadfinderbunds Nord;Datenanalyse, Statistik, Reporting, Bericht, Blog, Datenvisualisierung;Jugendarbeit, Bildung, Partizipation, Soziale Arbeit, Stadt;;Pfadfinder*innenbund Nord, CorrelAid e.V.;Abgeschlossen;Der Pfadfinderbund Nord befragt regelmäßig seine 1000 Mitglieder. Wir werten die Umfragedaten aus und machen Erkenntnisse für die 15 Stämme nutzbar.;;CC-BY 4.0;https://correlaid.org/;Correlaid
30;https://correlaid.org/projekte/projektdatenbank/2018-11-TVK;Mitgliederbefragung des Turnvereins Käfertal;Umfrage, Bericht, Datenanalyse, Datenvisualisierung, Reporting, Statistik;Beratung, Evaluation, Partizipation;;Turnverein 1880 Käfertal, CorrelAid e.V.;Abgeschlossen;Der TV Käfertal will wissen, was seine Mitglieder bewegt. Wir werten eine Befragung aus und zeigen, wo Kommunikation und Strukturen besser werden können.;;CC-BY 4.0;https://correlaid.org/;Correlaid
31;https://correlaid.org/projekte/projektdatenbank/2019-02-MIN;tf-idf zu Babel: Text Mining zur Optimierung von automatisierten Prozessen in multilingualen Kontexten;Maschinelles Lernen, Datenanalyse, Bericht, Prozessautomatisierung, Web-App, Interaktive App;Migration, Integration, Arbeit, Soziale Arbeit, Menschenrechte;;Minor Kontor, CorrelAid e.V.;Abgeschlossen;Minor EU erreicht Migranten über Facebook-Gruppen. Wir bauen ein Tool, das relevante Beiträge automatisch filtert und die manuelle Sortierung erspart.;;CC-BY 4.0;https://correlaid.org/;Correlaid
32;https://correlaid.org/projekte/projektdatenbank/2019-06-WEL;Automatisierte Reportgenerierung zur Verbesserung der Arbeit der Weltläden;Automatisierung, Reporting, Datenanalyse, R-Paket;Zivilgesellschaft, Datenanalyse, Wirkungsmessung, International;;Weltladen Dachverband, CorrelAid e.V.;Abgeschlossen;Der Weltladen Dachverband befragt jährlich seine Mitglieder. Wir automatisieren die Erstellung von über 300 individualisierten Reports mit R und LaTeX.;;CC-BY 4.0;https://correlaid.org/;Correlaid
33;https://correlaid.org/projekte/projektdatenbank/2019-10-BEE;Mithilfe von Machine Learning Anomalien in Bienenstöcken erkennen;Maschinelles Lernen;Umwelt, Nachhaltigkeit;https://www.youtube.com/watch?v=POqqK7Qj4cU, https://www.youtube.com/watch?v=eGZ98pMt4YI;Bee Observer BOB, CorrelAid e.V.;Abgeschlossen;Maschinelles Lernen auf Sensordaten aus Bienenstöcken erkennt Anomalien und alarmiert Imker*innen rechtzeitig bei Notfällen.;;CC-BY 4.0;https://correlaid.org/;Correlaid
34;https://correlaid.org/projekte/projektdatenbank/2019-11-WBD;Dashboard für das Tracking von Websitezugriffszahlen;Dashboard, Datenvisualisierung;Datenanalyse, Technologie;;CorrelAid e.V.;Abgeschlossen;Wir bauen ein internes Dashboard, das Website-Zugriffszahlen zentral bündelt und die Analyse wichtiger Metriken auf einen Blick ermöglicht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
35;https://correlaid.org/projekte/projektdatenbank/2019-11-ODA;Weiterbildungen im nachhaltigen Sektor fördern;Web-App, Datenportal, Dashboard;Umweltschutz, Klimaschutz;https://www.umweltprofis.ch/assessment;OdA Umwelt, CorrelAid e.V.;Abgeschlossen;Wer sich im Nachhaltigkeitsbereich weiterbilden will, verliert schnell den Überblick. Wir bauen eine durchsuchbare Datenbank mit Bewertungsfunktion für Qualifikationsangebote.;;CC-BY 4.0;https://correlaid.org/;Correlaid
36;https://correlaid.org/projekte/projektdatenbank/2020-01-KOM;Komunat - die Wirkung von Wahlentscheidungshilfen bei Kommunalwahlen;Bericht, Web-App, Datenanalyse, Wirkungsmessung, Datenvisualisierung, Plattform für Wahlentscheidungen;Wahlen, Stadt, Politische Bildung, Partizipation;https://youtu.be/JJoEJGc1eNc?t=2745;VOTO, CorrelAid e.V.;Abgeschlossen;Wir analysieren Nutzungsdaten des KOMUNAT, einer Wahlentscheidungshilfe für Kommunalwahlen, und zeigen, wie solche Tools Wahlverhalten beeinflussen können.;KOMUNAT;CC-BY 4.0;https://correlaid.org/;Correlaid
37;https://correlaid.org/projekte/projektdatenbank/2020-03-DEN;Wer ist interessiert an einem guten Leben im ländlichen Raum?;Umfrage, Bericht, Datenanalyse;Senioren, Gesundheit, Ländlicher Raum, Partizipation;https://www.berliner-zeitung.de/mensch-metropole/ein-herrenhaus-in-der-warteschleife-li.102754;Denk-mal-Kultur e.V., CorrelAid e.V.;Abgeschlossen;Wie gelingt selbstbestimmtes Altwerden auf dem Land? Wir befragen Bevölkerung und lokale Akteur*innen und liefern Erkenntnisse für Fundraising und Partnersuche.;;CC-BY 4.0;https://correlaid.org/;Correlaid
38;https://correlaid.org/projekte/projektdatenbank/2020-03-ERL;Interaktives Dashboard zur besseren Darstellung von Verschuldungsdaten;Web-App, Dashboard, Interaktive Karte, Datenvisualisierung, Open Data;Zivilgesellschaft, Transparenz, Datenanalyse, International, Open Data;https://github.com/CorrelAid/erlassjahr, https://erlassjahr.de/informieren/karte-ueberschuldete-staaten-weltweit/;Erlassjahr e.V., CorrelAid e.V.;Abgeschlossen;Erlassjahr.de setzt sich für faire Entschuldung ein. Wir bauen eine interaktive Weltkarte mit R und Shiny, die Verschuldungsdaten zugänglich macht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
39;https://correlaid.org/projekte/projektdatenbank/2020-05-EYP;Anschauliche Aufbereitung von Umfragen zur Teilnehmerstruktur und dem Impact von Veranstaltungen;Bericht, Datenanalyse;Jugend, Bildung, Europa, Partizipation, Demokratie, International;;European Youth Parliament, CorrelAid e.V.;Abgeschlossen;Das Europäische Jugendparlament will wissen, wie seine Events wirken. Wir analysieren Umfragedaten und visualisieren Teilnehmerprofile und Wirkungsindikatoren.;EYP;CC-BY 4.0;https://correlaid.org/;Correlaid
40;https://correlaid.org/projekte/projektdatenbank/2020-10-CIT;Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform;Datenanalyse, Open-Source, Web-App, Dashboard, Datenvisualisierung;Umwelt, Nachhaltigkeit, Bildung;https://github.com/correlaid-paris/citizen_science_inaturalist, https://youtu.be/JJoEJGc1eNc?t=3032, https://inaturalist-cnc.correlaid.org/, https://arxiv.org/abs/2112.02693, https://github.com/correlaid-paris/open_inaturalist_code;CorrelAid e.V.;Abgeschlossen;Wer nutzt iNaturalist und wie? Wir analysieren offene Daten der Citizen-Science-Plattform und zeigen, wie sich Nutzertypen und Interaktionsmuster über die Zeit entwickeln.;;CC-BY 4.0;https://correlaid.org/;Correlaid
41;https://correlaid.org/projekte/projektdatenbank/2020-11-MAR;Datenvisualisierungen für mehr Aufmerksamkeit für illegale Pushbacks;Bericht, Datenvisualisierung;Flucht und Migration;https://cms.correlaid.org/assets/0620a79e-e97d-45d8-aa16-a7b5867f40c3, https://youtu.be/JJoEJGc1eNc?t=222, https://cms.correlaid.org/assets/f804a3f2-e40c-4c04-9867-923c33865910;Mare Liberum, CorrelAid e.V.;Abgeschlossen;Mare Liberum dokumentiert illegale Pushbacks im Mittelmeer. Wir bereinigen ihre Datenbank und erstellen Visualisierungen, die das Thema sichtbarer machen.;Data4Good;CC-BY 4.0;https://correlaid.org/;Correlaid
42;https://correlaid.org/projekte/projektdatenbank/2021-02-CFE;Diversität erforschen - Visualisierung der Afrozensus Umfrage in R;Open-Source, R-Paket, Datenvisualisierung, Reporting, Interaktive Datenexploration, Automatisierung;Antidiskriminierung, Antirassismus, Vielfalt, Datenanalyse, Zivilgesellschaft, Integration, International;https://afrozensus.de;Citizens for Europe, CorrelAid e.V.;Abgeschlossen;Der Afrozensus ist die größte Umfrage unter Menschen afrikanischer Abstammung in Deutschland. Wir entwickeln ein R-Paket, das Visualisierungen automatisiert und Datenexploration vereinfacht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
43;https://correlaid.org/projekte/projektdatenbank/2021-03-HAC;Erstellung eines interaktiven Survey-Reports für die Hacklab Foundation, Ghana;Bericht, Datenvisualisierung, Interaktive App, Web-App, Datenanalyse, Dashboard;Ghana, Bildung, Technologie, Datenanalyse, Partizipation, Geschlechtergerechtigkeit, Vielfalt;https://github.com/CorrelAid/hacklab-foundation, https://correlaid.github.io/hacklab-foundation/Developer-Census-2020-Report.html, https://github.com/Hacklab-Foundation/Developer-Census-2020, https://youtu.be/JJoEJGc1eNc?t=421;Hacklab Foundation, CorrelAid e.V.;Abgeschlossen;Die Hacklab Foundation in Ghana will ihre Developer Community besser verstehen. Wir analysieren Survey-Daten und machen sie in einem interaktiven Report für alle zugänglich.;;CC-BY 4.0;https://correlaid.org/;Correlaid
44;https://correlaid.org/projekte/projektdatenbank/2021-03-NAK;Ein Dashboard zur Steigerung der Motivation von ehrenamtlichen Tutor*innen;Dashboard, Web-App, Datenvisualisierung;Bildung, Chancengleichheit;https://github.com/CorrelAid/naklar.io;CorrelAid e.V.;Abgeschlossen;Eine Nachhilfeplattform braucht motivierte Ehrenamtliche. Wir bauen ein Dashboard, das Tutor*innen ihre Wirkung zeigt – von Schülerfeedback bis Lernfortschritt.;;CC-BY 4.0;https://correlaid.org/;Correlaid
45;https://correlaid.org/projekte/projektdatenbank/2021-04-KOB;R Wrapper für die KoboToolbox API;Open-Source, R-Paket, Prozessautomatisierung, API;International, Technologie, Open Data, Partizipation;https://github.com/CorrelAid/kbtbr, https://correlaid.github.io/kbtbr/;CorrelAid e.V.;Abgeschlossen;Wir entwickeln ein R-Package, das den programmatischen Zugriff auf die KoboToolbox API ermöglicht und so Daten-Workflows für Feldforschung automatisiert.;;CC-BY 4.0;https://correlaid.org/;Correlaid
46;https://correlaid.org/projekte/projektdatenbank/2021-07-SIL;Zeitersparnisse und verbesserte Wirkungskommunikation dank Automatisierung und Datenvisualisierungen;Prozessautomatisierung, Datenvisualisierung, Dashboard, Web-App, Datenportal;Senioren, Soziale Arbeit, Wohlfahrt;;Silbernetz e.V., CorrelAid e.V.;Abgeschlossen;Silbernetz e.V. wertet Anrufdaten jetzt automatisch aus. Ein Shiny-Dashboard macht die Wirkung der Telefonseelsorge sichtbar und spart dem Team wertvolle Zeit.;;CC-BY 4.0;https://correlaid.org/;Correlaid
47;https://correlaid.org/projekte/projektdatenbank/2021-10-CAR;Alleinerziehend und arbeitslos: Analyse von Daten der Allgemeinen Sozialberatung der Caritas;Explorative Analyse, Datenanalyse, Bericht;Armut, Geschlechtergerechtigkeit, Arbeit, Soziale Arbeit, Chancengleichheit;https://www.caritas.de/neue-caritas/heftarchiv/jahrgang2022/artikel/alleinerziehend-und-arbeitslos, https://github.com/CorrelAid/caritas-project;Deutscher Caritasverband e.V., Referat Soziale Lebenslagen und Solidarität, CorrelAid e.V.;Abgeschlossen;Wir analysieren Befragungsdaten der Caritas-Sozialberatung und zeigen: Alleinerziehende Mütter tragen ein besonders hohes Risiko für Langzeitarbeitslosigkeit.;;CC-BY 4.0;https://correlaid.org/;Correlaid
