Projektname;Art;Einsatzbereich;Quelle;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Webseite-Link
Kann ein Algorithmus im Konflikt moralisch kalkulieren?;KI Anwendung, Entscheidungsassistent, Datenanalyse, Visualisierung, Large Language Model (LLM);Kinderschutz, Kinder- und Jugendhilfe, Soziale Arbeit, Ethik, KI;https://www.e-beratungsinstitut.de/projekte/kaimo/;Hochschule für Philosophie in München (HfPH), Technische Hochschule für Angewandte Wissenschaften Würzburg Schweinfurt (THWS), Institut für E-Beratung der Technische Hochschule Nürnberg Georg Simon Ohm (IEB);Eingestellt;Das Projekt KAIMo untersuchte, ob Künstliche Intelligenz ethische Reflexionsprozesse im Kontext der Kindeswohlgefährdung automatisieren kann. Es entwickelte und testete ein prototypisches KI-Modell, das Fachkräfte bei der Strukturierung von Fallinformationen und der Generierung von Hypothesen unterstützt, aber die menschliche Entscheidungsfindung nicht ersetzt.;KAIMo;https://www.e-beratungsinstitut.de/projekte/kaimo/
Automatisierte Datenanalyse und Visualisierung für Silbernetz e.V.;Automatisierte Datenübermittlung, Datenanalyse, Dashboard, Visualisierung, Berichterstattung;Senioren, Wohlfahrt, Soziale Arbeit, Wirkungs-messung;https://correlaid.org/en/using-data/project-database/2021-07-SIL/;CorrelAid, Silbernetz e.V.;In Betrieb;CorrelAid automatisierte die Datenverarbeitung und erstellte ein interaktives Shiny Dashboard für Silbernetz e.V. zur wöchentlichen Auswertung von Anrufdaten. Dies spart Zeit bei der manuellen Erfassung und verbessert die Wirkungs-kommunikation des Vereins, beispielsweise für die Spenderansprache.;;
Fair Text - KI-Übersetzer für Leichte und Einfache Sprache;KI Anwendung, Übersetzungsassistent, Digitale Plattform, Interaktive App, Prozessautomatisierung;Barrierefreiheit, Inklusion, Kommunikation, Stadt, Verwaltung;https://fair-text.com/;Fair Text, Fachhochschule Aachen, Bundesministerium für Arbeit und Soziales (BMAS), ISI;In Betrieb;Fair Text ist ein KI-Übersetzer, der Texte per Knopfdruck in Einfache und Leichte Sprache vereinfacht, um barrierefreie Kommunikation zu ermöglichen. Das Tool bietet Funktionen zur Textvereinfachung, Formatierung und Inhaltsanalyse und ist als Assistant oder Plug & Play-Lösung verfügbar.;Fair Text;https://fair-text.com/
CareMates – Das KI-unterstützte CRM für die Sozialwirtschaft;KI Anwendung, CRM, Prozessautomatisierung, Automatisierte Datenübermittlung, Entscheidungsassistent, Digitale Plattform, Datenanalyse;Sozialwirtschaft, Pflege, Altenhilfe, Eingliederungshilfe, Kinder- und Jugendhilfe, Ambulant, Stationär, Tagespflege, Hospiz, Datenschutz, KI, Wohlfahrt;https://www.caremates.de;Caritas;In Betrieb;CareMates ist eine KI-unterstützte CRM-Software für die Sozialwirtschaft, die Verwaltungsprozesse bei Anfragen und Aufnahmen digitalisiert und automatisiert. Sie hilft, den manuellen Aufwand zu reduzieren und mehr Zeit für die Betreuung von Klienten zu gewinnen.;CareMates;https://www.caremates.de/
CarDia;interne Datenanwendung, Erhebung, Dashboard;Beratung, Soziale Arbeit, Organisationsentwicklung;;Caritasverband Hannover;online - in Betrieb;"CarDia ist eine Software, die ermöglicht, Soziale Arbeit qualitativ zu bewerten und damit eine Brücke zu den kaufmännischen Schnittstellen im Unternehmen zu bauen. Beratende reflektieren damit ihre Arbeit datenbasiert, Führungskräfte entwickeln ihre Organisation werteorientiert, hierarchie- und professionsübergreifend. Ein Ansatz wie CarDia macht deutlich, wie viel mehr als eine Anzahl an Stunden und Menschen mit Sozialer Arbeit verbunden ist und dabei, unsere Dienste zu verbessern.";;
Berliner Erfrischungskarte;Datenvisualisierung, Interaktive Karte, Offene Daten;Stadt, Stadtplanung, Umwelt, Klimaanpassung;https://erfrischungskarte.odis-berlin.de/;Open Data Informationsstelle Berlin, CityLAB Berlin;In Weiterentwicklung;Die Berliner Erfrischungskarte ist eine prototypische Datenvisualisierung, die kühle, windige und schattige Flächen sowie Orte mit Infrastruktur zum Erfrischen und Verweilen im Sommer in Berlin anzeigt.;;https://erfrischungskarte.odis-berlin.de/
Analyse der Wohnungslosenhilfen im DRK mittels Web Scraping und Data Science;Automatisierte Datenerhebung, Datenanalyse, KI Anwendung;Wohnungslosenhilfe, Soziale Arbeit, Wohlfahrt;https://drk-wohlfahrt.de/blog/eintrag/mit-webscraping-data-science-die-wohnungslosenhilfen-im-drk-verstehen/;DRK-Wohlfahrt, Data Science for Social Good Berlin, Heidelberg Experimental Geometry Lab der Universität Heidelberg;In Weiterentwicklung;Dieses Projekt der DRK-Wohlfahrt in Zusammenarbeit mit DSSG Berlin nutzte Web Scraping und datenwissenschaftliche Methoden, um systematisch Hilfsangebote für wohnungslose Menschen auf den Websites der DRK-Gliederungen zu identifizieren und zu analysieren. Es diente als Machbarkeitsstudie (Proof of Concept) und demonstrierte das Potenzial datengetriebener Ansätze zur Verbesserung des Verständnisses und der Skalierbarkeit von Angeboten im DRK.;;
Energy Harvest Trust, India;Datenanwendung für Öffentlichkeit, Dashboard, KI Anwendung, Machine Learning, Computer Vision;International, Indien, Energie, Landwirtschaft;https://www.cropburning.in, www.energyharvesttrust.com;Energy Harvest Trust, India;Unbekannt;MIthilfe von Satellitendaten idetifiziert die NGO Energy Harvest Trust Reisfelder, auf denen das Reisstroh verbrannt wird. Als Alternative zur Verbrennung wird den Bäuerinnen und Bauren angeboten, ihr Stroh an ein Biomassekraftwerk zu verkaufen. Zu Pellets verarbeitet, kann so Strom gewonnen werden, Luftverschmutzung verringert und den Bäuerinnen und Bauern ein zusätzliches Einkommen ermöglicht werden.;;https://www.cropburning.in, www.energyharvesttrust.com
Plus Code;Digitale Plattform, Interaktive Karte, Datenerhebung, Datenanwendung für Öffentlichkeit, Geodaten;Armut, Wohnen, Stadtplanung, Soziale Arbeit, Zugänglichkeit, Verwaltung, Partizipation;https://shelter-associates.org/plus-code/;Shelter Associates, Google;In Betrieb;Das Projekt „Plus Code“ generiert und weist digitalen Adressen für Slum-Haushalte und kritische Infrastruktur zu. Es nutzt Google Plus Codes und GIS-Technologie, um die Zugänglichkeit wesentlicher Dienstleistungen für Bewohner in abgelegenen Gebieten zu verbessern und die Stadtplanung zu unterstützen.;;https://shelter-associates.org/plus-code/
Statistische Daten und Dashboards von Shelter Associates;Datenerhebung, Datenanalyse, Dashboard, Offene Daten, Visualisierung mit Karten;Armut, Wohnen, Gleichstellung, Nachhaltigkeit, Partizipation, Stadtplanung, Transparenz;https://shelter-associates.org/statistical-data-2/;Shelter Associates, Pramiti Philanthropy Partners, DMI Finance, Tata Trust, Sun Vacuum Formers Private Ltd. and TRW Sun Steering Wheels Pvt. Ltd, UNICEF, Bank of America and HT Parekh Foundation;In Betrieb;Shelter Associates erhebt, organisiert und veröffentlicht Slumdaten, um städtische Armut zu bekämpfen und den Zugang zu grundlegenden Dienstleistungen zu verbessern. Die Daten werden über Dashboards visualisiert, um Gemeinschaften zu befähigen und Lücken in der Dienstleistungsversorgung aufzuzeigen.;;https://shelter-associates.org/statistical-data-2/, https://app.shelter-associates.org/dashboard/city::Pune, https://app.shelter-associates.org/dashboard/city::Panvel, https://app.shelter-associates.org/dashboard/city::Kolhapur, https://app.shelter-associates.org/dashboard/city::PCMC, https://app.shelter-associates.org/dashboard/city::Thane, https://app.shelter-associates.org/dashboard/city::Navi%20Mumbai
Inclusive data at Sightsavers;Datenerhebung, Datenanalyse, Datenanwendung für Öffentlichkeit, Monitoring, Bericht;Behinderung, Inklusion, Teilhabe, Menschenrechte, Chancengleichheit, Gleichberechtigung, International;https://www.sightsavers.org/programmes/inclusive-data/;Sightsavers;In Weiterentwicklung;Sightsavers setzt sich weltweit dafür ein, den Mangel an genauen Daten über Behinderungen zu beheben. Dies geschieht durch das Sammeln, Analysieren und Nutzen inklusiver Daten, um marginalisierte Menschen besser zu verstehen und Barrieren für ihre Teilhabe und den Zugang zu Dienstleistungen abzubauen.;;https://www.sightsavers.org/programmes/inclusive-data/
Inclusive Mobility: Public And Collaborative Trusted Spaces;Digitale Plattform, Interaktive App, Datenerhebung, Reporting, Crowd-Sourced Daten, Vernetzungsassistent, Offene Daten;Stadt, Stadtplanung, Vernetzung;https://www.impactsproject.com/;Technical University of Berlin, Centre for Research & Technology, Hellas, Wizgo UG (haftungsbeschränkt), Municipality of Dugopolje, ISBAK Istanbul IT and Smart City Technologies Inc., nexus Institut GmbH, European Passengers' Federation, Urbanex d.o.o., EIT Urban Mobility;Eingestellt;IMPACTS testete die Einführung von Feedback-Mechanismen zwischen Nutzern öffentlicher Verkehrssysteme, um die Sicherheit zu stärken, gegenseitige Unterstützung zu ermöglichen und das urbane Umfeld zu verbessern. Das Projekt zielte darauf ab, ein sozio-technisches Tool zu implementieren, das die Online- und Offline-Konnektivität unter Passagieren förderte, Vertrauen durch ein Bewertungssystem aufbaute und Passagiere befähigte, Probleme im urbanen Umfeld zu melden.;IMPACTS;https://www.impactsproject.com/
Erkennung von Meeresmüll über Satelliten;Analyse von Satellitendaten und ML, KI Anwendung, Computer Vision, Digitale Plattform, Interaktive Karte, Datenerhebung, Datenanwendung für Öffentlichkeit;Meeresschutz, Umweltschutz, Nachhaltigkeit, KI, Transparenz;https://de.mi4people.org/marinelitterdetectionviasatellites;MI4People gGmbH, Alexander Thamm;In Weiterentwicklung;Das Projekt entwickelt ein KI/ML-gestütztes Computer-Vision-System, das Meeresmüll auf Satellitenbildern in (fast) Echtzeit identifiziert. Ziel ist es, diese Informationen Forschern, Umweltschützern und Behörden kostenlos über eine interaktive Karte zur Verfügung zu stellen und das öffentliche Bewusstsein zu stärken.;;https://de.mi4people.org/marinelitterdetectionviasatellites, https://mi4people.projects.earthengine.app/view/marine-litter
General Computer Vision für das Gesundheitswesen;Analyse von Sensordaten und ML, KI Anwendung, Entscheidungsassistent;Gesundheit, International, Afrika, Kongo, KI;https://de.mi4people.org/general-computer-vision-for-healthcare;MI4People gGmbH;In Weiterentwicklung;Das Projekt entwickelt ein kostenloses und leicht zugängliches Open-Source General Computer Vision System, das mithilfe von Machine Learning ein breites Krankheitsspektrum anhand verschiedener medizinischer Bildarten diagnostizieren kann. Ziel ist es, AllgemeinärztInnen, insbesondere in Entwicklungsländern, bei der schnelleren und genaueren Diagnose zu unterstützen.;;https://de.mi4people.org/general-computer-vision-for-healthcare
CHAIN (Combined Homelessness and Information Network);Datenbank, Datenerhebung, Datenanalyse, Reporting, Visualisierung mit Karten;Wohnungslosenhilfe, Kältehilfe, Armut, Soziale Arbeit, Gesundheit, Stadt;https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/;Homeless Link, Mayor of London, Greater London Authority (GLA);In Betrieb;CHAIN ist eine behördenübergreifende Datenbank, die Informationen über obdachlose Menschen und die Straßenbevölkerung in London erfasst. Das System ermöglicht den Informationsaustausch zwischen Nutzern, um die Unterstützung zu optimieren und Berichte für operative Überwachung und strategische Politikgestaltung zu erstellen.;CHAIN;https://homeless.org.uk/what-we-do/streetlink-and-chain/chain/
social map Paritätischer Wegweiser für soziale Angebote;Digitale Plattform, Interaktive Karte, Verzeichnis / Karte, Datenbank;Soziale Arbeit, Stadt, Beratung, Jugendarbeit, Kinder- und Jugendhilfe, Gesundheit, Mentale Gesundheit, Pflege, Senioren, Wohnen, Wohnungslosenhilfe, Inklusion, Menschen mit Behinderung, Geflüchtete, Migration, Integration, Chancengleichheit, Frauen, Queere Sichtbarkeit, Vernetzung;https://socialmap-berlin.de/l/de;Paritätischer Wohlfahrtsverband LV Berlin e.V.;In Betrieb;socialmap berlin ist eine Online-Datenbank mit vielen bunten Angeboten der sozialen Arbeit für Berlinerinnen und Berliner. Über die interaktive Karte finden Sie schnell Angebote in Ihrer Nachbarschaft.;socialmap;https://socialmap-berlin.de/l/de
Berliner Beratungsnetz für Zugewanderte;Verzeichnis / Karte, Datenanwendung für Öffentlichkeit, Digitale Plattform, Beratung;Migration, Integration, Geflüchtete, Arbeit, Bildung, Gesundheit, Wohnen, Antidiskriminierung, Behinderung, Familien, Soziale Arbeit;https://www.beratungsnetz-migration.de/l/de;VIA Service-Akademie für MO im Kompetenznetzwerk für Migrationsgesellschaft, Beauftragte des Berliner Senats für Partizipation, Integration und Migration;In Weiterentwicklung;Das Berliner Beratungsnetz für Zugewanderte ist eine digitale Plattform und ein Verzeichnis, das Zugewanderten und Geflüchteten in Berlin eine Übersicht über verschiedene Beratungsangebote zu Themen wie Migration, Arbeit, Bildung und Gesundheit bietet. Es ermöglicht die Suche nach Angeboten und die Nutzung einer interaktiven Karte.;BfZ;https://www.beratungsnetz-migration.de/l/de
mittendrin.in Brandenburg;Digitale Plattform, Verzeichnis / Karte, Interaktive Karte, Datenanwendung für Öffentlichkeit, Offene Daten;Senioren, Pflege, Demenz, Barrierefreiheit, Teilhabe, Gesundheit, Bildung, Kultur, Wissensmanagement;https://mittendrin.in/l/de;Deutsche Fernsehlotterie;In Weiterentwicklung;Mittendrin in Brandenburg ist eine digitale Pinnwand und Plattform für Menschen in der zweiten Lebenshälfte, die nichtkommerzielle Einrichtungen und Angebote im Land Brandenburg listet. Sie ermöglicht das Suchen und Stöbern nach Angeboten über eine interaktive Karte und verschiedene Themenbereiche, mit Fokus auf Barrierefreiheit.;;https://mittendrin.in/
KI-gestützte Moderation von Online-Diskussionen diskriminierungsarm gestalten;KI Anwendung, Analyse von Sensordaten und ML, Prozessautomatisierung, Large Language Model (LLM), Monitoring;Demokratie, Ethik, Antidiskriminierung, Gleichberechtigung, Inklusion, KI;https://beyond-ai-collective.org/de/projects/kimodi/;Beyond AI Collective, Liquid Democracy;In Planung;Das Projekt KI-MoDi zielt darauf ab, modellhaft zu zeigen, wie Diskriminierungsrisiken von KI-Systemen analysiert und reduziert werden können, insbesondere bei der KI-gestützten Moderation von Online-Diskussionen. Es entwickelt ein Verfahren zur Erkennung und Vermeidung von Diskriminierung in KI-Sprachmodellen, exemplarisch am Content-Moderation-Assistenz-System KOSMO.;KI-MoDi;https://beyond-ai-collective.org/de/projects/kimodi/
GLAICE Health;Analyse von Sensordaten und ML, KI Anwendung, Entscheidungsassistent, Interaktive App;Gesundheit;https://www.glaice.de;GLAICE;Im Testbetrieb;GLAICE Health ist eine digitale Plattform, die Menschen mit Typ-1 und Typ-2 Diabetes unterstützt, indem sie persönliche Gesundheitsdaten mit medizinischer Wissenschaft kombiniert, um individuelle Einblicke und Empfehlungen für ein besseres Diabetesmanagement zu bieten.;GLAICE;https://www.glaice.de/
StereOFF - Automatisierte Identifikation und Analyse von Geschlechterstereotypen;KI Anwendung, Datenanalyse, Analyse von Textdaten und ML;Gleichberechtigung, Gleichstellung, Antidiskriminierung;https://www.dfki.de/web/forschung/projekte-publikationen/projekt/stereoff;DFKI;Unbekannt;Das Projekt StereOFF befasst sich mit der automatisierten Identifikation und Analyse von Geschlechterstereotypen. Ziel ist es, durch KI-Anwendungen und Datenanalyse stereotype Inhalte zu erkennen.;StereOFF;https://www.dfki.de/web/forschung/projekte-publikationen/projekt/stereoff
Integreat;Digitale Plattform, Interaktive App, Datenerhebung, Datenanwendung für Öffentlichkeit, Offene Daten;Migration, Integration, Geflüchtete, Beratung, Partizipation;https://integreat-app.de/;Digitalfabrik gGmbH;In Betrieb;Integreat ist eine digitale Integrationsplattform, die Kommunen dabei hilft, mehrsprachige lokale Informationen an zugewanderte Menschen weiterzugeben und deren gesellschaftliche Teilhabe zu fördern.;;https://integreat-app.de/, https://www.integreat.app
Netzwerk Obdach & Wohnen;Digitale Plattform, Interaktive App, Karte, Datenerhebung, Datenanwendung für Öffentlichkeit;Wohnungslosenhilfe, Wohlfahrt, Soziale Arbeit, Migration, Integration;https://tuerantuer.de/digitalfabrik/projekte/netzwerkobdachwohnen/;Tür an Tür, Bundesministerium für Wirtschaft und Klimaschutz;Im Testbetrieb;Netzwerk Obdach & Wohnen ist eine mehrsprachige Orientierungs-App und digitale Plattform für wohnungslose und von Wohnungslosigkeit bedrohte Menschen. Sie stellt Informationen zu Beratungsstellen, Notübernachtungen und Unterstützungsprogrammen bereit, um informierte Entscheidungen zu ermöglichen und bei der Inanspruchnahme von Leistungen zu begleiten.;;https://netzwerkobdachwohnen.de/
DOfE - Data Open for Everyone;Digitale Plattform, Datenanalyse, Datenerhebung, Visualisierung, Offene Daten, Datenanwendung für Öffentlichkeit, Datensatz und Visualisierung;Offene Daten, Transparenz, Demokratie, Partizipation, Wirtschaft, Umwelt, Gesundheit, Verwaltung, Nachhaltigkeit, Deutschland;https://de.mi4people.org/dofe;MI4People gGmbH;In Weiterentwicklung;DOfE ist eine Plattform, die relevante offene Daten aus ganz Deutschland sammelt, konsolidiert, harmonisiert, visualisiert und erklärt. Ziel ist es, diese Daten für jeden verständlich und zugänglich zu machen und so zur Demokratisierung von Daten und mehr Transparenz beizutragen.;DOfE;https://dofe-mi4people.streamlit.app/
Unique United;Digitale Plattform, Datenerhebung, Datenanwendung für Öffentlichkeit, Verzeichnis / Karte, Beratung, Dokumentations- und Netzwerktool;Inklusion, Menschen mit Behinderung, Barrierefreiheit, Chancengleichheit, Arbeit, Beratung, Sport;https://unique-united.de/;Unique United GmbH, Einzigartig wie du” gUG;In Betrieb;Unique United ist eine inklusive Online-Plattform, die es Unternehmen, Vereinen, gUGs und Privatpersonen ermöglicht, barrierefreie Angebote und Suchanzeigen für Menschen mit Behinderung zu veröffentlichen und zu finden. Sie fördert Chancengleichheit und eine inklusive Arbeitswelt.;;https://www.unique-united.com/
Consul;Digitale Plattform, Offene Daten, Partizipation;Demokratie, Partizipation, Stadt, Stadtplanung, Verwaltung, Jugendbeteiligung, Transparenz, Nachhaltigkeit;https://consul.mehr-demokratie.info/;Mehr Demokratie e.V.;In Betrieb;Consul ist eine Open-Source-Plattform, die umfassende Bürgerbeteiligung ermöglicht. Sie vereinfacht Diskussionen, das Einbringen von Vorschlägen und Abstimmungen, um die Stadt mitzugestalten und politische Maßnahmen transparent zu kommunizieren.;;https://consul.mehr-demokratie.info/, https://demo.consuldemocracy.org/
Senf.app;Digitale Plattform, Partizipation;Stadt, Stadtplanung, Partizipation;https://senf.app;Fuhr, Morino, Wild von Hohenborn GbR;Unbekannt;Senf.app ist eine digitale Partizipationsplattform für lebenswerte Städte, die die Beteiligung an Stadtentwicklungsprojekten attraktiv und flexibel gestaltet.;;https://senf.app/
Machine Against the Rage;Online-Magazin, Datenanalyse, Monitoring, Bericht;Demokratie, Antidiskriminierung, Transparenz, Wissensmanagement;https://machine-vs-rage.bag-gegen-hass.net/;Institut für Demokratie und Zivilgesellschaft (IDZ), Civic Research and Innovation (CRI), toneshift - Netzwerk gegen Hass im Netz und Desinformation, Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend, BAG »Gegen Hass im Netz«;In Betrieb;Machine Against the Rage ist ein Online-Magazin und Trendreport, das vierteljährlich Datenanalysen zu Hass und Desinformation sowie Untersuchungen des politischen Streits im digitalen Raum präsentiert. Es bietet Einblicke in digitale Konfliktforschung und Monitoring-Ergebnisse.;;https://machine-vs-rage.net/
Frankfurter Plattform 55+;Digitale Plattform, Verzeichnis / Karte, Datenanwendung für Öffentlichkeit, Vernetzungsassistent, Beratung, Datenerhebung;Senioren, Bildung, Beratung, Vernetzung, Stadt, Teilhabe, Mentale Gesundheit, Sport, Inklusion, KI;https://frankfurter-plattform-55plus.de/;VHS Frankfurt;In Betrieb;Die Frankfurter Plattform 55+ ist ein Netzwerk, das Bildungs-, Beratungs- und Hilfsangebote für Personen ab 55 Jahren in Frankfurt am Main bündelt und zugänglich macht. Sie bietet eine Vielzahl von Kursen, Treffpunkten, Workshops und Unterstützung in verschiedenen Lebenslagen an.;FP55+;https://frankfurter-plattform-55plus.de/
Jugendhilfe.ai - Die Suchmaschine für die SGB;KI Anwendung, Suchmaschine, Digitale Plattform, Entscheidungsassistent, Large Language Model (LLM), Datenanalyse;Jugendhilfe, Soziale Arbeit, Kinder- und Jugendhilfe, Sozialrecht;https://jugendhilfe.ai/;AWO Bezirksverband Braunschweig e. V., WALHALLA Fachverlag, Social Impact gGmbH, AFET – Bundesverband für Erziehungshilfe e. V., Syndicats eG, DROSOS STIFTUNG, Deutsche Postcode Lotterie;In Weiterentwicklung;Jugendhilfe.ai ist eine KI-gestützte Suchmaschine und Plattform, die Fachkräften in der Jugendhilfe hilft, komplexe Rechtsfragen, gesetzliche Ansprüche und Finanzierungsmöglichkeiten im Sozialrecht schnell und fundiert zu finden. Sie basiert auf geprüften Quellen und soll die Recherchezeit verkürzen, damit mehr Zeit für die pädagogische Arbeit bleibt.;JUGENDHILFE.ai;https://jugendhilfe.ai/, https://app.jugendhilfe.ai
Telemedizinzentrum Hamm;Digitale Plattform, Beratung, Telemedizin, Datenanalyse, Monitoring, Vernetzungsassistent;Pflege, Gesundheit, Medizin, Demenz, Pflegende Angehörige, Senioren, Teilhabe, Telemedizin, Vernetzung;https://www.tmz-hamm.de/;Telemedizinzentrum Hamm;In Weiterentwicklung;Das Telemedizinzentrum Hamm ist eine gemeinnützige und wissenschaftliche Einrichtung, die sich auf Telemedizin und Digitalisierung in Pflege, Gesundheit und Medizin konzentriert. Es bietet Unterstützungsangebote wie Kurse, ein Online-Beratungsportal und Therapien, um die Lebensqualität von Pflegebedürftigen und pflegenden Angehörigen zu steigern.;TMZ Hamm;https://www.tmz-hamm.de/, https://tmz-hamm.de/online-beratungsportal, https://tmz-hamm.de/therapieangebot, https://www.tmz-hamm.de/unser-angebot/
