Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Projekt-Abkürzung,Lizenz,Lizenz-Organisation
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,KIKI (KI-basierte Kanalinstandhaltung),https://www.aws-institut.de/research/kiki-ki-basierte-kanalinstandhaltung/,August Wilhelm Scheer Institut für digitale Produkte und Prozesse gGmbH,Unbekannt,"Ziel von KIKI ist es, die Inspektionsverfahren für die Instandhaltung von Abwasserkanälen mit KI-Methoden anzureichern, sodass eine automatische Schadenserkennung auf Basis von Bilddaten möglich ist.",KIKI,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,KIWA,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/kiwa/,B2M Software GmbH; THD – Technische Hochschule Deggendorf; Quantum-Systems GmbH; Universität Bayreuth,Unbekannt,Das Projekt ergänzt bestehende Systeme zur Überwachung der Wasserqualität durch KI-basierte Vorhersagemodelle.,KIWA,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,TOP.KI (text optimisation using artificial intelligence),https://www.tmdt.uni-wuppertal.de/en/research/research-projects/hws-40-1/,"Bergi­sche Uni­ver­sität Wupper­tal, Insti­tut für Text­op­timierung, Halle/Saale, Zen­tral-Fach­aus­schuss Berufs­bildung Druck und Medien, Berufs­bildungs­werke Ober­lin­haus Potsdam und Lei­pzig, deep­sight GmbH Osna­brück",Laufend,"Das Projektteam TOP.KI will zu mehr Chancengleichheit bei Prüfungen beitragen. Gemeinsam werden die Beteiligten ein Übersetzungstool entwickeln, erproben und evaluieren, das mit Unterstützung künstlicher Intelligenz die Erstellung von Prüfungsfragen in leicht verständlicher Sprache erleichtert. Die mit diesem Tool erstellten Fragen und Texte sollen für Prüflinge leichter verständlich sein, während Inhalt und Schwierigkeitsgrad gleich bleiben. Diese Übersetzung in einfache Sprache soll dazu beitragen, dass Prüfungsergebnisse primär das Fach- und Anwendungswissen widerspiegeln und nicht die Textverständniskompetenz der Auszubildenden.",TOP.KI,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,biaslyze - The NLP bias identification toolkit,https://biaslyze.org/,Biaslyze ,Abgeschlossen,"Biaslyze ist ein Python-Paket, das den Einstieg in die Analyse von Bias in NLP-Modellen erleichtert und einen konkreten Ansatzpunkt für weitere Folgenabschätzungen und Minderungsmaßnahmen bietet. Die Toolbox bietet einen aufwandsarmen Ansatz für Bias-Tests in NLP-Anwendungsfällen unter Verwendung von kontrafaktischen Bewertungsmethoden. Alle Textklassifizierungsmodelle mit Wahrscheinlichkeitsausgabe werden unterstützt.",biaslyze,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Chatbot Familie,https://digitalstrategie-deutschland.de/digitale-familienassistenten/,BMFSFJ,Abgeschlossen,Der Chatbot soll die Informationssuche der Nutzer optimieren und individuelle Informationen schneller als bisher bereitstellen.,,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,DC2HEAT,https://www.borderstep.de/projekte/dc2heat/,Borderstep Institut,Unbekannt,"Umsetzung der Erkenntnisse aus dem vorangegangenen Projekt DC-HEAT. Ziel ist die Schaffung eines KI-Leuchtturms für die Abwärmenutzung aus Rechenzentren am Beispiel Frankfurt. DC2HEAT soll dazu beitragen, dass die dynamisch wachsende Rechenzentrumsinfrastruktur klimafreundlich betrieben werden kann.",DC2HEAT,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,AI-Chatbot for political discourse ,https://www.pnas.org/doi/full/10.1073/pnas.2311627120,"Brigham Young University,Duke University,University of Washington",Laufend,"Es wurde ein KI-Chat-Assistent entwickelt, der als skalierbarer Echtzeit-Moderator in spaltenden politischen Gesprächen fungiert. Der Assistent macht maßgeschneiderte Vorschläge zur Umformulierung spezifischer Texte im Verlauf einer Live-Online-Diskussion, ohne den politischen Inhalt oder die eingenommene Position in den Nachrichten grundlegend zu beeinflussen.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Erkennung von Studienbescheinigungen für Kindergeld,https://www.oeffentliche-it.de/documents/10181/14412/KI+im+Beh%C3%B6rdeneinsatz+-+Erfahrungen+und+Empfehlungen,Bundesagentur für Arbeit,Unbekannt,Die Prüfung von Immatrikulationsbescheinigungen für die Genehmigung von Kindergeld soll automatisiert und damit schneller und weniger arbeitsintensiv erfolgen.,,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,KITE II,https://www.kite-bga.de/kite-ii/,bundesweite gründerinnenagentur (bga) ; Hochschule Heilbronn,Laufend,"Fortführung von Kite: Die im Projekt KITE zu entwickelnde KI-gestützte Anwendung soll Gründerinnen dabei unterstützen, resilienter im Umgang mit Diskriminierungserfahrungen im Gründungsprozess zu werden – z. B. durch die Vorbereitung auf schwierige Situationen.",KITE II,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Tech4Nature México,https://www.forclimate.ai/tech4nature ,C Minds,Unbekannt,"Stärkung effektiver Monitoring-Praktiken für den Schutz des Jaguars und seiner Beutetiere sowie Vertiefung des Verständnisses der Auswirkungen des Klimawandels in prioritären Ökosystemen an der Nordküste der Halbinsel Yucatan durch die Installation eines ganzheitlichen und kontinuierlichen Monitoring-Systems. Dieses besteht aus einem Netzwerk von Kamerafallen und der Entwicklung offener Algorithmen zur Erkennung und Identifizierung von Jaguaren. Mit 20 Kameras und 60 akustischen Überwachungsgeräten (Audiomoths) überwachen wir die biologische Vielfalt im Reservat Dzilam de Bravo, um Arten in der Region zu identifizieren. Mit den Huawei Cloud Artificial Intelligence Plattformen werden die gesammelten Daten analysiert, um Jaguare und andere Schirmarten zu klassifizieren und zu identifizieren.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Neverending-Altruistic-Donor Initiative (NEAD),https://www.cs.cmu.edu/~conitzer/kidneyAAAI18.pdf,Carnegie Mellon University,Unbekannt,"Der Kettenalgorithmus der Initiative „Neverending Altruistic Donor“ (NEAD), entwickelt von Prof. Tuomas Sandholm, wird wöchentlich vom United Network for Organ Sharing (UNOS) für deren Nierentausch verwendet. Er gewann in diesem Jahr den „AAAI for the Benefit of Humanity“ Award.",NEAD,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Kidney Donation Algorithm,https://www.cs.cmu.edu/news/2010/organ-network-uses-carnegie-mellon-algorithm-match-live-kidney-donors-recipients,Carnegie Mellon University ,Unbekannt,"Ein an der Carnegie Mellon University entwickelter Computeralgorithmus vermittelte Ende letzten Monats lebende Nierenspender an medizinisch kompatible Transplantationskandidaten, als das nationale Organbeschaffungs- und Transplantationsnetzwerk (OPTN), betrieben vom United Network for Organ Sharing (UNOS), ein nationales Pilotprogramm startete, um die Anzahl der Nieren-Paarspende-Transplantationen (KPD) zu erhöhen.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,vera.ai,https://www.veraai.eu/home,CERTH,Unbekannt,"vera.ai ist ein Forschungs- und Entwicklungsprojekt, das sich auf die Analyse von Desinformation sowie KI-gestützte Verifizierungs-Tools und -Dienste konzentriert.",vera.ai,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,CRTX,https://crtx.ai/project/,"circular.fashion, TU Berlin, FU Berlin",Unbekannt,"Ziel ist es, die Lücke zwischen der Alttextilsammlung und der gezielten Sortierung für Second-Hand- und Faser-zu-Faser-Recycling mittels KI-gestützter Spektroskopie und Bildanalyse zu schließen und so einen kontinuierlichen Stoffkreislauf zu ermöglichen.",CRTX,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Bike Angels,https://ride.citibikenyc.com/blog/rebalancing-the-citi-bike-system,Citibike (provided by lyft),Unbekannt,"In Zusammenarbeit mit dem New Yorker Bike-Sharing-Anbieter Citi Bike haben Forschende eine Anwendung entwickelt, mit der Fahrradstationen gezielter „aufgefüllt“ werden können, sodass Kunden stets Zugriff auf Fahrräder haben.",Bike Angels,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,QTrees ,https://citylab-berlin.org/de/projects/qtrees/ sowie https://qtrees.ai/,"CityLab Berlin, Technologiestiftung Berlin",Abgeschlossen,"Das Konsortium „Quantified Trees“ (kurz QTrees) zielt darauf ab, dem Baumsterben langfristig entgegenzuwirken, indem ein durch künstliche Intelligenz (KI) unterstütztes Vorhersagesystem entwickelt wird, das anhand einer Vielzahl von Daten akut trockenheitsgefährdete Stadtbäume frühzeitig identifiziert.",QTrees ,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Climate TRACE,https://climatetrace.org/,Climate TRACE ,Abgeschlossen,"Climate TRACE ist eine gemeinnützige Koalition von Organisationen, die eine zeitnahe, offene und zugängliche Bestandsaufnahme darüber erstellen, wo genau Treibhausgasemissionen entstehen. Wir machen aussagekräftigen Klimaschutz schneller und einfacher, indem wir Technologie nutzen, um Treibhausgasemissionen (THG) mit beispielloser Detailgenauigkeit und Geschwindigkeit zu verfolgen und Informationen bereitzustellen, die für alle Parteien relevant sind, die auf das Ziel von Netto-Null-Emissionen hinarbeiten.",Climate TRACE,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,ZuSiNa,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/zusina/,ConPolicy GmbH; Deutsches Forschungszentrum für Künstliche Intelligenz GmbH; Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,Unbekannt,Besserer Zugang und Sichtbarkeit von Nachhaltigkeitsinformationen im Online-Handel durch künstliche Intelligenz.,ZuSiNa,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Chatbot Bobbi,https://service.berlin.de/chatbot/chatbot-bobbi-606279.php,DAI-Labor der TU Berlin in Kooperation mit ITDZ Berlin,Unbekannt,„Bobbi“ ist ein mehrsprachiger Chatbot für Fragen rund um die Berliner Verwaltung. Er beherrscht neun Sprachen und basiert auf DeepL.,Bobbi,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Frag nach! – Die interaktiven Zeitzeugnisse von Inge Auerbacher und Kurt S. Maier,https://fragnach.org/,"Deutsche Exilarchiv 1933-1945 (Deutsche Nationalbibliothek), USC Shoah Foundation - The Institute for Visual History and Education",Laufend,"Seit September 2023 zeigt das Deutsche Exilarchiv 1933–1945 die Ausstellung „Frag nach! Digitale interaktive Interviews mit Inge Auerbacher und Kurt S. Maier“, die den Lebensgeschichten und Erinnerungen der Zeitzeugen Inge Auerbacher und Kurt S. Maier gewidmet ist. Das Exilarchiv erprobt eine neue Form des digitalen Zeugnisses, die darauf abzielt, die Möglichkeit der Befragung von Zeitzeugen für die Zukunft zu bewahren. Besucher der Ausstellung können bereits in einen Dialog mit dem digitalen interaktiven Interview mit Kurt S. Maier treten. Eine Spracherkennungssoftware wandelt die mündlichen Fragen in Textdaten um. Mittels natürlicher Sprachverarbeitung werden die Fragen mit dem Inhalt einer Datenbank abgeglichen. Anschließend wird die passende Antwortsequenz abgespielt.",Frag nach!,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,"Caritas ""Lernende Systeme in der Beratung""",https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/,Deutscher Caritasverband e.V.,Unbekannt,"CariFIX ist eine webbasierte Plattform, über die sich Caritas-Berater vernetzen und zu spezifischen Fragen aus ihrem Arbeitsalltag austauschen können – deutschlandweit.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,PlasticObs_plus,https://www.plasticobs.de/   https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/plasticobs-plus/,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH; OPTIMARE Systems GmbH; Jade Hochschule Wilhelmshaven/Oldenburg/Elsflet; everwave GmbH,Unbekannt,"Plastikmüll im Meer aus der Luft erkennen: Das Projekt „PlasticObs_plus“ zielt darauf ab, Quellen und Verteilungswege von Plastikmüll mithilfe von Luftfahrzeugen und KI zu identifizieren.",PlasticObs_plus,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,AuSeSol_AI,https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/ausesol-ai/,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR); Concentrating Solar Power España S.L (CSPS); Industrial Solar GmbH; Technische Universität München; Forschungszentrum Jülich GmbH; fortiss GmbH,Unbekannt,KI-Methoden für die Wärme- und Stromerzeugung mit solarthermischen Kollektorsystemen.,AuSeSol_AI,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Smart Recycling,https://robotik.dfki-bremen.de/de/forschung/projekte/smartrecycling-up/ https://www.z-u-g.org/foerderung/ki-leuchttuerme-fuer-umwelt-klima-natur-und-ressourcen/projekt/smart-recycling-up/,DFKI Bremen,Unbekannt,KI-basierte Methoden zur automatischen Sortierung großer Abfallstücke.,,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,MBAZA A.I CHATBOT ,https://digitalumuganda.com/chatbot/,Digital Umuganda / GIZ,Unbekannt,"Dies ist ein Regierungs-Chatbot in der Landessprache (Sprache und Text), über den Bürger Zugangsinformationen und Unterstützung erhalten sowie Feedback geben können. Darüber hinaus werden „Kontaminationsfälle über diese Schnittstelle verfolgt“. Ziel ist es, Zugangs- und Alphabetisierungsbarrieren zu überwinden.",MBAZA A.I,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,RBC-Mbaza Chatbot,https://international-partnerships.ec.europa.eu/policies/programming/projects/mbaza-chatbot-giving-access-covid-19-information-throughout-rwanda_en,Digital Umuganda; GIZ Digital Transformation Center,Abgeschlossen,"Was soll ich tun, wenn ich Fieber habe? Woran erkenne ich, ob ich das Coronavirus habe? Der „RBC-Mbaza Chatbot“ hat die Antworten. Er berät bei Fragen zum Coronavirus, informiert über Symptome und Prävention – und wird dabei immer besser. Denn der Chatbot basiert auf künstlicher Intelligenz. Wenn Ruander ihn nutzen, erhalten sie nicht nur verlässliche Antworten, sondern das System lernt auch dazu, indem es sich hilfreiche Antworten und häufig gestellte Fragen merkt und diese entsprechend verknüpft. Der Chatbot baut auf bestehenden Informationssystemen in Ruanda auf, darunter Datenbanken des Biomedical Center und der Rwanda Information Society Authority.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,NiMo – Nitrat-Monitoring 4.0,https://nimo-projekt.de/,"Disy Informationssysteme GmbH, Fraunhofer IOSB, Karlsruher Institut für Technologie (KIT) (Abteilung Hydrogeologie), TZW: DVGW-Technologiezentrum Wasser",Unbekannt,Das intelligente System zur nachhaltigen Reduzierung von Nitrat im Grundwasser soll mithilfe von KI den Anteil von Nitrat im Grundwasser vorhersagen und so eine angemessene Reaktion und Prävention ermöglichen.,NiMo,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Zamba,https://zamba.drivendata.org/,DrivenData,Unbekannt,"Zamba ist das Ergebnis eines Wettbewerbs von DrivenData, bei dem Computer Vision zur Analyse von Wildtierkamera-Videos eingesetzt wird. So können beispielsweise typische Fehlauslösungen ohne erkennbare Tiere oder durch Menschen ausgelöste Bilder herausgefiltert und Tierarten erkannt werden. Das bereitgestellte Modell ist in der Lage, 31 typischerweise in Zentral- und Westafrika vorkommende Tierarten sowie 10 westeuropäische Tierarten zu erkennen.",Zamba,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Earth Species Project,https://www.earthspecies.org/,Earth Species Project (ESP),Unbekannt,"Das Earth Species Project (ESP) ist ein gemeinnütziges Forschungslabor und eine Impact-Organisation, die sich darauf konzentriert, künstliche Intelligenz einzusetzen, um unser Verständnis der tierischen Kommunikation zu vertiefen und letztlich nicht-menschliche Sprachen zu entschlüsseln.",,CC-BY 4.0,https://publicinterest.ai/
