Index;Quelle;Projektname;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;data_source;Projekt-Abkürzung;Art;Einsatzbereich
10;https://codefor.de/projekte/2018-23-09-aufbau-von-lorawan-gateways-im-laendlichen-raum/;Aufbau von LoRaWAN Gateways im ländlichen Raum;https://nucleon-ev.eu/best-of-digital-2018/;OK Lab Kreis Schleswig-Flensburg, Code for Germany;Laufend;Wir ermöglichen mit dem Aufbau von LoRaWAN Gateways in Schleswig-Holstein anderen Projekten, Firmen, Kommunen und der Landwirtschaft den Zugang zum größten IoT Netzwerk. Durch diese Gateways wird es …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Plattform, Monitoring;Landwirtschaft, Technologie, Ländlicher Raum
11;https://codefor.de/projekte/badeseen-berlin/;Baden in Berlin;https://badestellen.berlin.codefor.de, https://github.com/MagdaN/berliner-badestellen;OK Lab Berlin, Code for Germany;Unbekannt;Die Badesaison hat eröffnet! Erfahre, wo gebadet werden kann und wie die Wasserqualität an den einzelnen Badestellen ist.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite;Stadt, Umweltschutz, Gesundheit
12;https://codefor.de/projekte/badeseen-hessen/;Badeseen in Hessen;https://play.google.com/store/apps/details?id=de.codefor.giessen.Badeseenapp, https://github.com/CodeForGiessen/badeseenapp, https://github.com/CodeForGiessen/badeseenservice, http://badeseen.hlug.de/;OK Lab Gießen, Code for Germany;Abgeschlossen;Die App soll einen Überblick über alle Badeseen in Hessen bieten. Seien es aktuelle oder historische Messwerte, die Qualitätseinstufung der EU oder andere hilfreiche Informationen, wie das …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Umwelt, Umweltschutz, Klima
13;https://codefor.de/projekte/fl-open-bath-map/;Badestellenkarte Schleswig-Holstein;https://github.com/oklabflensburg/open-bath-map, https://opendata.schleswig-holstein.de/dataset/badegewasser-stammdaten-2026-04-01, https://badestellenkarte.oklabflensburg.de;OK Lab Flensburg, Code for Germany;Laufend;Die Badestellenkarte Schleswig-Holstein ist eine offene, webbasierte Kartenanwendung, die Badestellen und wassernahe Points of Interest in Schleswig-Holstein übersichtlich auf einer interaktiven Karte …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Karten, Datenvisualisierung;Open Data, Umweltschutz
14;https://codefor.de/projekte/pricemap-eu/;Bahn- und Buspreiskarte;https://pricemap.eu, https://github.com/juliuste/pricemap.eu;OK Lab Berlin, Code for Germany;Laufend;Preiskarte für Bahn- und Busreisen in Europa: Zeigt die günstigsten Verbindungen in viele europäische Städte.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Kartenanwendung, Web-App, Datenvisualisierung;Mobilität, Verkehr, Tourismus
15;https://codefor.de/projekte/bahn-guru/;Bahn-Guru;https://bahn.guru, https://github.com/juliuste/bahn.guru, https://github.com/derhuerst/db-prices-cli, https://github.com/juliuste/db-prices;OK Lab Berlin, Code for Germany;Laufend;Preiskalender für den Bahn-Fernverkehr: Zeigt die täglich günstigste Zugverbindung auf der gewählten Strecke für die kommenden Wochen.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Open-Source, Web-App;Mobilität, Öffentlicher Nahverkehr
16;https://codefor.de/projekte/baumbie_bielefeld/;BaumBie;https://github.com/codeforbielefeld/baumbie;Code for Bielefeld, Code for Germany;Laufend;BaumBie bringt Menschen mit der Natur in Verbindung. Die interaktive Karte zeigt Bäume an und bringt sie zum Sprechen. Für jeden Baum zeigt die App grundlegende Informationen an, etwa Alter, Baumart …;CC-BY 4.0;https://codefor.de;CodeFor Germany;BaumBie;Web-App, Kartenanwendung, Open-Source, Interaktive Karte;Stadtplanung, Umweltschutz, Klimaschutz, Nachhaltigkeit, Partizipation
17;https://codefor.de/projekte/le-baumfilter/;Baumfilter;https://codeforleipzig.github.io/giessdeibohm/, https://github.com/CodeforLeipzig/giessdeibohm;OK Lab Leipzig, Code for Germany;Abgeschlossen;"Auf dieser Webseite kannst Du Dich über die Straßenbäume in Leipzig informieren.
Die Bäume können nach Stadtteil oder für komplett Leipzig angezeigt werden. Die Anzeige lässt sich über die …";CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Open-Source, Datenvisualisierung;Stadtplanung, Umweltschutz, Klima, Nachhaltigkeit
18;https://codefor.de/projekte/magdeburg-baumfreunde-md/;Baumfreunde-MD;https://www.baumfreunde-md.de, https://www.magdeburg.de/Start/B%C3%BCrger-Stadt/Stadt/Aktionen/index.php?NavID=37.452&object=tx%7C37.9220.1&La=1;OK Lab Magdeburg, Code for Germany;Laufend;Das Projekt “Baumfreunde-MD” informiert über aktuelle Baumfällungen der Landeshauptstadt Magdeburg. Diese Informationen werden offiziell auf der Homepage der Stadt veröffentlicht, sind …;CC-BY 4.0;https://codefor.de;CodeFor Germany;Baumfreunde-MD;Webseite;Stadtplanung, Umwelt, Nachhaltigkeit, Klima, Klimaschutz, Partizipation
19;https://codefor.de/projekte/cologne-baumkataster/;Baumkataster Köln Editor;https://giesst.koeln/editor/, https://github.com/codeforcologne/baumkataster;OK Lab Köln, Code for Germany;Abgeschlossen;Mit dieser Web Anwendung könnt Ihr das Baumkataster der Stadt Köln pflegen. Das zugrunde liegende Baumkataster der Stadt Köln ist ein freier Datensatz (CC BY 3.0 DE) der Stadt vom Juni 2020. Leider …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Stadtplanung, Umwelt, Klimaschutz, Nachhaltigkeit
20;https://codefor.de/projekte/hh-baumkataster/;Baumkataster nutzen;"http://achim-tack.de/projects/strassenbaeume/hh_strassenbaumkataster.html, http://www.hmdk.de/portal/_ns:YTU4fGMwfGQwfGVwbHVnaWQ9MT0vaW5ncmlkLWdyb3VwOmRzYy1zY3JpcHRlZC1pbnRlcm5ldHxlZG9jdXVpZD0xPUQzRkE3OTZGLTNEMTItNDc4NC1CN0YyLUUxOTg1NTQ3MkQyQQ__/search-detail.psml;jsessionid=7079CB7853A5FFD7B935CBEFFF66AD8F";OK Lab Hamburg, Code for Germany;Unbekannt;Im Straßenbaumkataster der Stadt Hamburg sind rund 240.000 Straßenbäume mit Standort und Attributen wie Pflanzjahr, Baumart usw. erfasst. Das Projekt versucht, diese Daten kartografisch aufzubereiten …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Kartenanwendung, Datenvisualisierung;Stadtplanung, Umwelt, Klima, Nachhaltigkeit, Stadt
21;https://codefor.de/projekte/bn-baustellen/;Baustellen Übersicht;http://wipokar.de/maps/bonn_baustelle/;OK Lab Bonn-Rhein-Sieg, Code for Germany;Laufend;Transparenz über die existierenden und die geplanten Baustellen in und um Bonn. Eine spätere Erweiterung um Parkhausdaten (Belegung, Tendenz etc.) ist angedacht.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Datenportal;Stadtplanung, Verkehr
22;https://codefor.de/projekte/be-berliner-schulen/;Berliner Schulen;http://berlinerschulen.ini20.de, https://github.com/ini20/berliner-schulen;OK Lab Berlin, Code for Germany;Laufend;Wir wissen, dass die Wahl der „richtigen“ Schule sehr wichtig ist, da sie ein prägendes Fundament für den Bildungsweg eines Menschen setzt. Entsprechend schwierig ist es auch eine Schule zu finden, …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Kartenanwendung, Datenportal, Interaktive Karte;Stadt, Kinder- und Jugendhilfe
23;https://codefor.de/projekte/vornamen-in-berlin/;Berliner Vornamen;https://codefor.de/projekte/vornamen-in-berlin/;OK Lab Berlin, Code for Germany;Unbekannt;Welche Vornamen wurden in den Jahren 2012 und 2013 in Berlin vergeben? Mithilfe der App kann nach Vornamen gesucht werden und es wird angezeigt, wie häufig der Name in den beiden Jahren - nach Bezirk …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Datenvisualisierung;Datenanalyse, Open Data, Stadt
24;https://codefor.de/projekte/fl-open-school-map/;Bildungsatlas Flensburg;https://github.com/oklabflensburg/open-school-map, https://www.statistik-nord.de/fileadmin/Dokumente/Verzeichnisse/Schulverzeichnis_A_22-23.pdf, https://schulkarte.oklabflensburg.de;OK Lab Flensburg, Code for Germany;Laufend;Die Idee, einen offenen Bildungsatlas für Flensburg zu entwickeln, ist aus der eigenen Suche nach einer Grundschule für den Lütten entstanden. Auf der städtischen Website finden sich zwar …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Kartenanwendung, Datenvisualisierung, Datenportal;Bildung, Stadt, Kinder- und Jugendhilfe
25;https://codefor.de/projekte/ruhrgebiet-blitzerkarte/;Blitzerkarte;https://blitzerkarte.openruhr.de, https://github.com/CodeForRuhrgebiet/speed-cam-map;OK Lab Ruhrgebiet, Code for Germany;Laufend;Die Blitzerkarte visualisiert täglich Straßen, auf denen die Stadt möglicherweise mobile Geschwindigkeitskontrollen durchführt. Die Daten werden freundlicherweise bereitgestellt durch das Ordnungsamt …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Kartenanwendung, Datenvisualisierung;Verkehr, Mobilität, Stadt
26;https://codefor.de/projekte/be-blume/;BLUME Messnetz API/Map;https://github.com/dirkschumacher/blume_messnet_api, https://github.com/dirkschumacher/blume_crawler;OK Lab Berlin, Code for Germany;Unbekannt;Feinstaub Daten aus dem BLUME Messnetzwerk verfügbar machen und visualisieren. Ziel sollte sein, eine gute API bereitzustellen, eine gute Visualisierung anzubieten und evtl. ein statistisches Modell …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Datenportal;Luftqualität, Stadt, Umwelt, Datenanalyse
27;https://codefor.de/projekte/fl-open-surface-map/;Bodenfläche nach Art der Nutzung;https://github.com/oklabflensburg/open-surface-map, https://service.destatis.de/DE/karten/flaechenatlas2019daten.xlsx, https://bodennutzung.oklabflensburg.de;OK Lab Flensburg, Code for Germany;Unbekannt;Diese interaktive Karte zeigt die Verteilung der verschiedenen Flächennutzungsarten beim Klick auf die entsprechende Gemeinde an. So lässt sich in Kürze herausfinden in welchen Regionen der …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Interaktive Karte, Web-App, Datenvisualisierung;Stadtplanung, Umwelt, Klimaschutz
28;https://codefor.de/projekte/bodenrichtwerte/;Bodenrichtwerte im Zeitverlauf;http://hanshans.ursa.uberspace.de/bodenrichtwerte/bodenrichtwerte.html;OK Lab Berlin, Code for Germany;Unbekannt;Bodenrichtwerte im Zeitverlauf - gefunden im FIS-Broker. Was sind Bodenrichtwerte? Laut Wikipedia ist “der Bodenrichtwert im deutschen Städtebaurecht ein durchschnittlicher Lagewert, ermittelt …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Datenportal;Stadtplanung, Datenanalyse
29;https://codefor.de/projekte/bn-bonn-o-mat/;BONN-O-MAT Wahlautomat für die Oberbürgermeisterwahl 2015;http://bonn-o-mat.de/, https://github.com/OKLabBonn/bonn-o-mat;OK Lab Bonn-Rhein-Sieg, Code for Germany;Abgeschlossen;Was ist der Bonn-O-Mat? Der Bonn-O-Mat ist eine Wahl-O-Mat, nach dem Vorbild der von Bundes- und Landeszentrale für politische Bildung eingesetzter Wahl-O-Maten. Der Bonn-O-Mat möchte den Nutzer mit …;CC-BY 4.0;https://codefor.de;CodeFor Germany;BONN-O-MAT;Open-Source, Web-App, Plattform, Interaktive App;Wahlen, Demokratie, Politische Bildung, Partizipation
30;https://codefor.de/projekte/p-brandengo/;BrandenGo;https://brandengo.de, https://github.com/open-data-potsdam/brandengo;OK Lab Potsdam, Code for Germany;Laufend;Was fährt an öffentlichem Nahverkehr in meiner Nähe? Nach dem Vorbild von MagdeGo. Derzeit noch in der Prototyphase.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite;Verkehr
31;https://codefor.de/projekte/hn-buga/;Buga2019-Visualisierung;http://opendata-heilbronn.github.io/feld/, https://github.com/opendata-heilbronn/feld;Code for Heilbronn, Code for Germany;Laufend;2019 findet die Bundesgartenschau in Heilbronn statt. Schon heute verändert sie das Stadtbild: Heilbronn bekommt ein neues Stadtquartier, den Neckarbogen. Die Stadt soll näher an den Fluss rücken, …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Open-Source, Web-App, Datenvisualisierung, Webseite;Stadtplanung, Partizipation
32;https://codefor.de/projekte/cctvwatch/;cctvwatch - big brother is watching you;http://cctv.antares.uberspace.de, https://github.com/moklick/cctvwatch, https://github.com/moklick/cctvwatch-api;OK Lab Berlin, Code for Germany;Laufend;Berlin ist voll von CCTV Cams. Das visualisieren wir mit unserer interaktiven Karte ‘cctvwatch’. Neben der Darstellung der Kameras wird es für den Nutzer auch möglich sein neue Kameras …;CC-BY 4.0;https://codefor.de;CodeFor Germany;cctvwatch;Kartenanwendung, Interaktive Karte, Web-App, Datenvisualisierung;Stadt
33;https://codefor.de/projekte/hn-bad-wimpfen-app/;City-App für Bad Wimpfen;http://blog.opendatalab.de/opendata/2015/04/29/bad-wimpfen-app/, https://itunes.apple.com/app/apple-store/id989719442?pt=74937800&ct=ODL&mt=8;Code for Heilbronn, Code for Germany;Abgeschlossen;Der Markt der CityApps ist sehr groß. Fast jede größere Stadt und vor allem Touristenorte bieten in den App Stores eigene Apps an, die den Besucher über das Geschehene vor Ort informieren sollen. …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Plattform;Tourismus, Stadt, Kultur
34;https://codefor.de/projekte/le-cityconnect/;CityConnect;https://cityconnect.now.sh/index, https://github.com/CityConnect11/app, https://devpost.com/software/1_025_e-kulturangebote_virtuelles_pizzaessen/;OK Lab Leipzig, Code for Germany;Abgeschlossen;"CityConnect sieht aus wie ein Computerspiel im Retro Style, ist aber kein Spiel, sondern ein virtueller Raum, in dem sich Menschen zufällig als Avatare treffen.
Ein virtueller Raum ist dabei einer …";CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Plattform;Stadt, Kultur, Tourismus
35;https://codefor.de/projekte/hn-codeweek/;Code Week Heilbronn;http://coworking-heilbronn.org/code-week-heilbronn-2015/, http://blog.opendatalab.de/opendata/2016/01/18/code-week-2015;Code for Heilbronn, Code for Germany;Unbekannt;Basierend auf einer Idee der Young Advisors Gruppe der EU Kommission ging die “EU Code Week” vom 10. – 18. Oktober 2015 bereits in die dritte Runde. Letztes Jahr haben in ganz Europa über 150.000 …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Workshops, Bericht;Bildung, Jugendarbeit, Open Data, Technologie
36;https://codefor.de/projekte/cologne-cute-pets/;CutePetsCologne;https://github.com/karen-sch/CutePetsCologne;OK Lab Köln, Code for Germany;Abgeschlossen;Ein Twitterbot, der süße Tiere aus den Kölner Tierheimen Dellbrück und Zollstock postet. Implementiert auf Basis von CutePetsChemnitz im Rahmen des #openimpact Marathon von DataLook.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Wohlfahrt, Köln, Stadt
37;https://codefor.de/projekte/dus-cycledorf/;CycleDorf;http://www.cycledorf.de/, https://github.com/codefordus/CycleDorf-iOS, https://github.com/codefordus/CycleDorf-Android, https://codefordus.hackpad.com/collection/FvUzMKdDmvA;OK Lab Düsseldorf, Code for Germany;Laufend;CycleDorf ist eine App, die Deine Fahrradtouren aufnimmt. Dadurch gesammelte Daten können für die kommunale Verkahrsplanung verwendet werden, um Düsseldorf zu einer besseren Stadt für Fahrradfahrer zu …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Stadtplanung, Verkehr, Mobilität, Nachhaltigkeit, Umwelt
38;https://codefor.de/projekte/le-damals/;damals in Leipzig;http://damals.codeforleipzig.de/leipzig/, https://github.com/CodeforLeipzig/codingdavinciost2018;OK Lab Leipzig, Code for Germany;Abgeschlossen;"Dieses Projekt ist als Beitrag für den Kulturhackathon Coding da Vinci Ost entstanden.
Die Bilder wurden bereitgestellt vom Stadtgeschichtlichen Museum Leipzig und dem Stadtarchiv Leipzig im Rahmen …";CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Karte;Kultur, Stadt
39;https://codefor.de/projekte/fis-broker/;Daten aus dem Geoportal Berlin;https://berlin.codefor.de/luftbilder/, https://github.com/jochenklar/berlin-aerial, https://berlin.codefor.de/maps/, https://github.com/jochenklar/berlin-maps;OK Lab Berlin, Code for Germany;Unbekannt;Berlin veröffentlicht Datensätze über das Geoportal Berlin, den sog. FIS Broker. Die Daten sind über WMS und WFS Schnittstellen erreichbar und daher nicht ohne weiteres für eigene Webanwendungen …;CC-BY 4.0;https://codefor.de;CodeFor Germany;FIS Broker;Datenportal, Web-App, Datenvisualisierung, Open Data;Stadt, Umwelt, Open Data, Verwaltung
40;https://codefor.de/projekte/rberlindata/;daten.berlin.de für R;http://dirkschumacher.github.io/RBerlinData, https://github.com/dirkschumacher/RBerlinData, http://cran.r-project.org/web/packages/BerlinData/index.html;OK Lab Berlin, Code for Germany;Unbekannt;Ein R Paket, um einfach auf die Daten von daten.berlin.de zuzugreifen. Führ nähere Infos, folgt den Links unten:;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Open-Source;Open Data
41;https://codefor.de/projekte/be-datenwaben/;Datenwaben;http://daten-waben.tursics.de/, https://github.com/tursics/data-dashboard;OK Lab Berlin, Code for Germany;Laufend;Die moderne Art ein Datenportal darzustellen: Pro Datensatz wird eine Wabe dargestellt. Mit einem bunten Hintergrund und kurzem Text können sowohl statische als auch Live-Daten angezeigt werden. …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Datenportal;Open Data, Stadt, Datenanalyse
42;https://codefor.de/projekte/dbpediaplacesberlin/;DBpedia Places Berlin;https://github.com/notapirate/dbpediaplacesberlin;OK Lab Berlin, Code for Germany;Unbekannt;Eine Webseite/WebApp, die Wikipediaseiten mit Berliner Koordinaten auf einer Karte markiert und beim Anklicken Titel, Bild, Zusammenfassung und Wikipedialink anzeigt. Die Koordinaten stammen aus …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Web-App;Stadt, Kultur, Open Data, Datenvisualisierung, Karten
43;https://codefor.de/projekte/aedmap/;Defibrillatoren in Köln;https://github.com/KoelnAPI/aedmap;OK Lab Köln, Code for Germany;Abgeschlossen;Defibrillatoren können im Fall eines plötzlichen Herzstillstandes Leben retten. Deshalb werden im öffentlichen Raum immer mehr sogenannte Laiendefibrillatoren oder AEDs (Automatisierte Externe …;CC-BY 4.0;https://codefor.de;CodeFor Germany;AED;Web-App, Karten, Datenvisualisierung, Open Data, Interaktive Karte, Datenportal;Stadt, Köln, Gesundheit, Rettungsdienst
44;https://codefor.de/projekte/muc-defis/;Defibrillatoren in OpenStreetMap eintragen (für FinderApp);http://wiki.osm.org/M%c3%bcnchen/Defi;OK Lab München, Code for Germany;Abgeschlossen;"Die Standorte der Defis (AEDs) werden von diversen öffentlichen Stellen erfragt und in OpenStreetMap gemappt. Als zweiter Schritt soll die FinderApp damit gefüllt werden.
Auf Der Projektseite im …";CC-BY 4.0;https://codefor.de;CodeFor Germany;Defis;Open-Source, Web-App, Datenportal;Gesundheit, Stadt, Mobilität, Öffentlicher Nahverkehr
45;https://codefor.de/projekte/hh-demogenerator/;Demogenerator;http://achim-tack.de/projects/Demofinder/index.html, https://github.com/ATack/demofinder;OK Lab Hamburg, Code for Germany;Unbekannt;Deine Montagsdemo wurde abgesagt? Kein Problem - es gibt Alternativen. Finde deine Lieblingsdemo mit dem Demogenerator!;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Web-App, Interaktive App;Demokratie, Partizipation
46;https://codefor.de/projekte/cologne-denkmal4d/;Denkmal 4D Köln;https://codeforcologne.github.io/Denkmal-4D-Koeln/, https://github.com/codeforcologne/Denkmal-4D-Koeln;OK Lab Köln, Code for Germany;Laufend;Mit dieser Web-Anwendung könnt Ihr Metadaten über die Denkmäler der Stadt Köln pflegen. Der besondere Fokus liegt auf der Verlinkung von existierenden 3D-Modellen und der Erfassung geplanter Modelle. …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Stadtplanung, Kultur, Tourismus, Stadt
47;https://codefor.de/projekte/cologne-denkmaeler/;Denkmal in Köln;http://denkmalinkoeln.github.io/, https://github.com/weberius/denkmalinkoeln;OK Lab Köln, Code for Germany;Abgeschlossen;Du interessierst Dich für Baudenkmäler? Du wolltest auch schon immer mal wissen, ob es welche in Deiner Umgebung gibt? Diese Webapp zeigt sie Dir alle. Wähle aus, in welchem Zeitraum das Baujahr …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App;Stadt, Kultur, Tourismus
48;https://codefor.de/projekte/denkmal-magdeburg/;Denkmal Magdeburg;https://vis.one/denkmal-magdeburg/, https://github.com/code-for-magdeburg/denkmal-magdeburg;OK Lab Magdeburg, Code for Germany;Abgeschlossen;Denkmal Magdeburg zeigt dir Informationen zu Denkmälern in deiner Umgebung an. Das Projekt ist gerade nur ein Minimum Viaable Prodct (MVP) und es sind herzlichst Mistreiter*innen gesucht es zu …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite;Kultur, Stadtplanung, Tourismus
49;https://codefor.de/projekte/hh-kitakarte/;Die passende Kita in Hamburg finden;http://www.hamburg.de/kita-finden/;OK Lab Hamburg, Code for Germany;Unbekannt;Visualisierung aller Hamburger Kitas auf einer Karte mit der Möglichkeit nach einer Bestimmten zu suchen.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Kartenanwendung, Datenvisualisierung, Webseite;Soziale Arbeit, Stadt
50;https://codefor.de/projekte/hh-zuwendungen/;Die Zuwendungen der Hamburger Behörden.;http://hannes.enjoys.it/oklab/zuwendungen/datatablesmityadcf.html, https://github.com/kannes/hh_zuwendungen;OK Lab Hamburg, Code for Germany;Unbekannt;Die Zuwendungen der Hamburger Behörden als filterbare Tabelle. Weitere Features kommen noch dazu.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Datenportal, Web-App, Datenvisualisierung;Verwaltung, Offene Daten
51;https://codefor.de/projekte/hn-crimemap/;Diebstähle Region Heilbronn;http://opendata-heilbronn.github.io/crimemap/, https://github.com/opendata-heilbronn/crimemap;Code for Heilbronn, Code for Germany;Abgeschlossen;Visualisierung der Einbrüche in der Region Heilbronn, Daten aus den Polizeimeldungen seit November 2013. Entwickelt am Open Data Day 2014 in Zusammenarbeit mit der Heilbronner Stimme.;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Datenvisualisierung, Karten;Stadt, Transparenz, Open Data, Datenanalyse
